Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,952,721.0235824584961,720.0,704,2112,720.0,1040.0,793.3333333333334,600.8529853820801,600.0,586.6666666666666,1760.0,600.0,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,65536,64,953,722.7462768554688,720.0,704,1856,736.0,1040.0,794.1666666666666,602.288564046224,600.0,586.6666666666666,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,262144,64,954,722.7667694091797,720.0,704,1840,736.0,1040.0,795.0,602.3056411743164,600.0,586.6666666666666,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,524288,64,953,722.8485565185547,720.0,704,2048,736.0,1040.0,794.1666666666666,602.3737970987955,600.0,586.6666666666666,1706.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1048576,64,953,722.8009414672852,720.0,704,1968,736.0,1040.0,794.1666666666666,602.3341178894043,600.0,586.6666666666666,1640.0,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1572864.0,64,953,722.6470184326172,720.0,704,1856,736.0,1040.0,794.1666666666666,602.2058486938477,600.0,586.6666666666666,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,2097152,64,954,722.8860778808594,720.0,704,1856,736.0,1040.0,795.0,602.4050649007162,600.0,586.6666666666666,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,4194304,64,953,722.6407623291016,720.0,704,1840,736.0,1040.0,794.1666666666666,602.2006352742513,600.0,586.6666666666666,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,8388608,64,954,722.9004364013672,720.0,704,2032,736.0,1040.0,795.0,602.4170303344727,600.0,586.6666666666666,1693.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,16777216,64,954,722.8936157226562,720.0,704,1904,736.0,1040.0,795.0,602.4113464355469,600.0,586.6666666666666,1586.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,33554432,64,953,722.7113265991211,720.0,704,2080,736.0,1040.0,794.1666666666666,602.259438832601,600.0,586.6666666666666,1733.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,953,722.6939849853516,720.0,704,2176,736.0,1040.0,794.1666666666666,602.244987487793,600.0,586.6666666666666,1813.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8192,64,950,718.9174957275391,720.0,624,2128,720.0,1024.0,791.6666666666666,599.0979131062826,600.0,520.0,1773.3333333333333,600.0,853.3333333333334,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,65536,64,951,720.3368911743164,720.0,624,1840,736.0,1040.0,792.5,600.2807426452637,600.0,520.0,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,262144,64,952,720.8263778686523,720.0,624,1952,720.0,1040.0,793.3333333333334,600.688648223877,600.0,520.0,1626.6666666666667,600.0,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,524288,64,951,721.1260299682617,720.0,624,1856,736.0,1040.0,792.5,600.9383583068848,600.0,520.0,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1048576,64,952,721.128791809082,720.0,624,1136,736.0,1040.0,793.3333333333334,600.9406598409017,600.0,520.0,946.6666666666666,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1572864.0,64,952,720.9146041870117,720.0,624,2112,736.0,1040.0,793.3333333333334,600.7621701558431,600.0,520.0,1760.0,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,2097152,64,952,721.0823593139648,720.0,624,1856,736.0,1040.0,793.3333333333334,600.9019660949707,600.0,520.0,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,4194304,64,952,720.7033081054688,720.0,624,1840,736.0,1040.0,793.3333333333334,600.5860900878906,600.0,520.0,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8388608,64,952,720.9201965332031,720.0,624,1856,736.0,1040.0,793.3333333333334,600.7668304443359,600.0,520.0,1546.6666666666667,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,16777216,64,952,721.0287246704102,720.0,624,1840,736.0,1040.0,793.3333333333334,600.8572705586752,600.0,520.0,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,33554432,64,952,720.7727279663086,720.0,624,1264,736.0,1040.0,793.3333333333334,600.6439399719238,600.0,520.0,1053.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,67108864,64,952,721.0070419311523,720.0,624,1840,736.0,1040.0,793.3333333333334,600.8392016092936,600.0,520.0,1533.3333333333333,613.3333333333334,866.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8192,64,872,641.4162445068359,640.0,624,1776,656.0,672.0,726.6666666666666,534.5135370890299,533.3333333333334,520.0,1480.0,546.6666666666666,560.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,65536,64,872,641.4295120239258,640.0,624,1792,656.0,672.0,726.6666666666666,534.5245933532715,533.3333333333334,520.0,1493.3333333333333,546.6666666666666,560.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,262144,64,872,641.7681274414062,640.0,624,1776,656.0,720.0,726.6666666666666,534.8067728678385,533.3333333333334,520.0,1480.0,546.6666666666666,600.0,0,2097152
