Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,HWarm,1,0,8192,64,212411312,177009426.66666666,536870912,8388608,24.2640596994194,47390741.600428514
BW_DMA_WR,Seq,HWarm,2,0,8192,64,212411264,177009386.66666666,536870912,8388608,24.26406518253194,47390752.309632696
BW_DMA_WR,Seq,HWarm,3,0,8192,64,212411344,177009453.33333334,536870912,8388608,24.264056044012413,47390734.460961744
BW_DMA_WR,Seq,HWarm,4,0,8192,64,212372176,176976813.33333334,536870912,8388608,24.268531086671164,47399474.77865462
BW_DMA_WR,Seq,HWarm,6,0,8192,64,212411248,177009373.33333334,536870912,8388608,24.26406701023667,47390755.8793685
BW_DMA_WR,Seq,HWarm,8,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,12,0,8192,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Seq,HWarm,16,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,20,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,HWarm,25,0,8192,64,212411232,177009360.0,536870912,8388608,24.26406883794168,47390759.44910484
BW_DMA_WR,Seq,HWarm,32,0,8192,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Seq,HWarm,41,0,8192,64,212411264,177009386.66666666,536870912,8388608,24.26406518253194,47390752.309632696
BW_DMA_WR,Seq,HWarm,48,0,8192,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Seq,HWarm,63,0,8192,64,212411216,177009346.66666666,536870912,8388608,24.264070665646962,47390763.01884172
BW_DMA_WR,Seq,HWarm,0,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,HWarm,0,1,8192,64,212734928,177279106.66666666,536870912,8388608,24.22714879805727,47318649.996205606
BW_DMA_WR,Seq,HWarm,0,2,8192,64,212735184,177279320.0,536870912,8388608,24.227119643735097,47318593.05417011
BW_DMA_WR,Seq,HWarm,0,3,8192,64,212734768,177278973.33333334,536870912,8388608,24.22716701954426,47318685.58504739
BW_DMA_WR,Seq,HWarm,0,4,8192,64,212734928,177279106.66666666,536870912,8388608,24.22714879805727,47318649.996205606
BW_DMA_WR,Seq,HWarm,0,6,8192,64,212735248,177279373.33333334,536870912,8388608,24.227112355165513,47318578.81868264
BW_DMA_WR,Seq,HWarm,0,8,8192,64,212372144,176976786.66666666,536870912,8388608,24.268534743426617,47399481.92075511
BW_DMA_WR,Seq,HWarm,0,12,8192,64,212734992,177279160.0,536870912,8388608,24.227141509470147,47318635.76068389
BW_DMA_WR,Seq,HWarm,0,16,8192,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Seq,HWarm,0,20,8192,64,212734560,177278800.0,536870912,8388608,24.22719070751833,47318731.85062174
BW_DMA_WR,Seq,HWarm,0,25,8192,64,212734880,177279066.66666666,536870912,8388608,24.22715426450049,47318660.67285252
BW_DMA_WR,Seq,HWarm,0,32,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,HWarm,0,41,8192,64,212735280,177279400.0,536870912,8388608,24.22710871088237,47318571.70094213
