Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,Cold,0,0,8192,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Seq,Cold,1,0,8192,64,212411280,177009400.0,536870912,8388608,24.264063354827485,47390748.73989742
BW_DMA_WR,Seq,Cold,2,0,8192,64,212411200,177009333.33333334,536870912,8388608,24.264072493352515,47390766.588579126
BW_DMA_WR,Seq,Cold,3,0,8192,64,212411280,177009400.0,536870912,8388608,24.264063354827485,47390748.73989742
BW_DMA_WR,Seq,Cold,4,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,Cold,6,0,8192,64,212411296,177009413.33333334,536870912,8388608,24.264061527123303,47390745.1701627
BW_DMA_WR,Seq,Cold,8,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,Cold,12,0,8192,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Seq,Cold,16,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,Cold,20,0,8192,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Seq,Cold,25,0,8192,64,212411184,177009320.0,536870912,8388608,24.26407432105835,47390770.15831709
BW_DMA_WR,Seq,Cold,32,0,8192,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Seq,Cold,41,0,8192,64,212411200,177009333.33333334,536870912,8388608,24.264072493352515,47390766.588579126
BW_DMA_WR,Seq,Cold,48,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Seq,Cold,63,0,8192,64,212411376,177009480.0,536870912,8388608,24.26405238860653,47390727.321497135
BW_DMA_WR,Seq,Cold,0,0,8192,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Seq,Cold,0,1,8192,64,212734624,177278853.33333334,536870912,8388608,24.227183418905987,47318717.615050755
BW_DMA_WR,Seq,Cold,0,2,8192,64,212735008,177279173.33333334,536870912,8388608,24.22713968732405,47318632.20180479
BW_DMA_WR,Seq,Cold,0,3,8192,64,212735280,177279400.0,536870912,8388608,24.22710871088237,47318571.70094213
BW_DMA_WR,Seq,Cold,0,4,8192,64,212734816,177279013.33333334,536870912,8388608,24.227161553095286,47318674.908389226
BW_DMA_WR,Seq,Cold,0,6,8192,64,212735552,177279626.66666666,536870912,8388608,24.2270777345199,47318511.200234175
BW_DMA_WR,Seq,Cold,0,8,8192,64,212372160,176976800.0,536870912,8388608,24.268532915048752,47399478.34970459
BW_DMA_WR,Seq,Cold,0,12,8192,64,212735136,177279280.0,536870912,8388608,24.227125110165158,47318603.73079132
BW_DMA_WR,Seq,Cold,0,16,8192,64,212372176,176976813.33333334,536870912,8388608,24.268531086671164,47399474.77865462
BW_DMA_WR,Seq,Cold,0,20,8192,64,212734912,177279093.33333334,536870912,8388608,24.227150620204736,47318653.55508737
BW_DMA_WR,Seq,Cold,0,25,8192,64,212733120,177277600.0,536870912,8388608,24.227354702455358,47319052.15323312
BW_DMA_WR,Seq,Cold,0,32,8192,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Seq,Cold,0,41,8192,64,212734768,177278973.33333334,536870912,8388608,24.22716701954426,47318685.58504739
BW_DMA_WR,Seq,Cold,0,48,8192,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Seq,Cold,0,63,8192,64,212732880,177277400.0,536870912,8388608,24.227382035160716,47319105.53742327
BW_DMA_WR,Seq,Cold,0,0,8192,128,243368592,202807160.0,1073741824,8388608,42.35518406746586,41362484.440884635
BW_DMA_WR,Seq,Cold,1,0,8192,128,279330656,232775546.66666666,1073741824,8388608,36.90222067999583,36037324.882808425
BW_DMA_WR,Seq,Cold,2,0,8192,128,279331856,232776546.66666666,1073741824,8388608,36.90206214933108,36037170.06770613
BW_DMA_WR,Seq,Cold,3,0,8192,128,279329248,232774373.33333334,1073741824,8388608,36.902406691045826,36037506.53422444
BW_DMA_WR,Seq,Cold,4,0,8192,128,263155152,219295960.0,1073741824,8388608,39.170509990243325,38252451.16234699
BW_DMA_WR,Seq,Cold,6,0,8192,128,279342320,232785266.66666666,1073741824,8388608,36.9006798196564,36035820.136383206
BW_DMA_WR,Seq,Cold,8,0,8192,128,263155264,219296053.33333334,1073741824,8388608,39.170493319107614,38252434.88194103
BW_DMA_WR,Seq,Cold,12,0,8192,128,263154640,219295533.33333334,1073741824,8388608,39.17058620133014,38252525.587236464
BW_DMA_WR,Seq,Cold,16,0,8192,128,259537968,216281640.0,1073741824,8388608,39.71642989206111,38785576.06646593
