Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Rand,Cold,0,0,4096,128,243368544,202807120.0,1073741824,8388608,42.35519242125227,41362492.59887917
BW_DMA_WR,Rand,Cold,0,0,16384,128,243368608,202807173.33333334,1073741824,8388608,42.35518128287112,41362481.72155383
BW_DMA_WR,Rand,Cold,0,0,262144,128,243368528,202807106.66666666,1073741824,8388608,42.355195205848474,41362495.3182114
BW_DMA_WR,Rand,Cold,0,0,524288,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,Cold,0,0,1048576,128,243368544,202807120.0,1073741824,8388608,42.35519242125227,41362492.59887917
BW_DMA_WR,Rand,Cold,0,0,1572864.0,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,Cold,0,0,2097152,128,243368512,202807093.33333334,1073741824,8388608,42.35519799044504,41362498.03754398
BW_DMA_WR,Rand,Cold,0,0,3145728,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,Cold,0,0,4194304,128,243368528,202807106.66666666,1073741824,8388608,42.355195205848474,41362495.3182114
BW_DMA_WR,Rand,Cold,0,0,8388608,128,243368512,202807093.33333334,1073741824,8388608,42.35519799044504,41362498.03754398
BW_DMA_WR,Rand,Cold,0,0,16777216,128,243403552,202836293.33333334,1073741824,8388608,42.34910060145712,41356543.55611047
BW_DMA_WR,Rand,Cold,0,0,33554432,128,243405280,202837733.33333334,1073741824,8388608,42.34879995372327,41356249.95480788
BW_DMA_WR,Rand,Cold,0,0,67108864,128,243397360,202831133.33333334,1073741824,8388608,42.350177957558785,41357595.6616785
BW_DMA_WR,Rand,DThrash,0,0,4096,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,DThrash,0,0,16384,128,243368592,202807160.0,1073741824,8388608,42.35518406746586,41362484.440884635
BW_DMA_WR,Rand,DThrash,0,0,262144,128,243368624,202807186.66666666,1073741824,8388608,42.35517849827676,41362479.002223395
BW_DMA_WR,Rand,DThrash,0,0,524288,128,243368544,202807120.0,1073741824,8388608,42.35519242125227,41362492.59887917
BW_DMA_WR,Rand,DThrash,0,0,1048576,128,243368544,202807120.0,1073741824,8388608,42.35519242125227,41362492.59887917
BW_DMA_WR,Rand,DThrash,0,0,1572864.0,128,243368576,202807146.66666666,1073741824,8388608,42.35518685206097,41362487.16021579
BW_DMA_WR,Rand,DThrash,0,0,2097152,128,243368528,202807106.66666666,1073741824,8388608,42.355195205848474,41362495.3182114
BW_DMA_WR,Rand,DThrash,0,0,3145728,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,DThrash,0,0,4194304,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,DThrash,0,0,8388608,128,243368608,202807173.33333334,1073741824,8388608,42.35518128287112,41362481.72155383
BW_DMA_WR,Rand,DThrash,0,0,16777216,128,243402944,202835786.66666666,1073741824,8388608,42.34920638593427,41356646.86126393
BW_DMA_WR,Rand,DThrash,0,0,33554432,128,243404016,202836680.0,1073741824,8388608,42.34901987155381,41356464.71831426
BW_DMA_WR,Rand,DThrash,0,0,67108864,128,243397232,202831026.66666666,1073741824,8388608,42.350200229064235,41357617.41119554
BW_DMA_WR,Rand,DWarm,0,0,4096,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,DWarm,0,0,16384,128,243368544,202807120.0,1073741824,8388608,42.35519242125227,41362492.59887917
BW_DMA_WR,Rand,DWarm,0,0,262144,128,243368560,202807133.33333334,1073741824,8388608,42.35518963665643,41362489.8795473
BW_DMA_WR,Rand,DWarm,0,0,524288,128,243368512,202807093.33333334,1073741824,8388608,42.35519799044504,41362498.03754398
BW_DMA_WR,Rand,DWarm,0,0,1048576,128,243368512,202807093.33333334,1073741824,8388608,42.35519799044504,41362498.03754398
