Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,8,788,557.4355392456055,560.0,544,1008,560.0,864.0,656.6666666666666,464.5296160380046,466.6666666666667,453.3333333333333,840.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,8,789,557.5371856689453,560.0,544,1088,560.0,864.0,657.5,464.6143213907878,466.6666666666667,453.3333333333333,906.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,8,788,557.359260559082,560.0,544,1040,560.0,864.0,656.6666666666666,464.4660504659017,466.6666666666667,453.3333333333333,866.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,8,790,558.0611877441406,560.0,544,1152,560.0,864.0,658.3333333333334,465.0509897867839,466.6666666666667,453.3333333333333,960.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,8,788,557.7976150512695,560.0,544,1024,560.0,864.0,656.6666666666666,464.8313458760579,466.6666666666667,453.3333333333333,853.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,8,788,558.2362060546875,560.0,544,1040,560.0,864.0,656.6666666666666,465.19683837890625,466.6666666666667,453.3333333333333,866.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,8,790,558.0612258911133,560.0,544,1152,560.0,864.0,658.3333333333334,465.05102157592773,466.6666666666667,453.3333333333333,960.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,8,789,558.0465545654297,560.0,544,1152,560.0,864.0,657.5,465.0387954711914,466.6666666666667,453.3333333333333,960.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,8,790,558.2212600708008,560.0,544,1040,560.0,864.0,658.3333333333334,465.184383392334,466.6666666666667,453.3333333333333,866.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,8,789,558.3161544799805,560.0,544,960,560.0,864.0,657.5,465.2634620666504,466.6666666666667,453.3333333333333,800.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,8388608,8,871,558.690055847168,560.0,544,976,560.0,880.0,725.8333333333334,465.57504653930664,466.6666666666667,453.3333333333333,813.3333333333334,466.6666666666667,733.3333333333334,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,16777216,8,911,559.0498657226562,560.0,544,1088,560.0,880.0,759.1666666666666,465.87488810221356,466.6666666666667,453.3333333333333,906.6666666666666,466.6666666666667,733.3333333333334,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,33554432,8,931,559.1211776733398,560.0,544,1024,560.0,864.0,775.8333333333334,465.9343147277832,466.6666666666667,453.3333333333333,853.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,Cold,0,0,67108864,8,940,558.8785400390625,560.0,544,1152,560.0,864.0,783.3333333333334,465.73211669921875,466.6666666666667,453.3333333333333,960.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1024,8,788,557.5878295898438,560.0,544,1088,560.0,864.0,656.6666666666666,464.6565246582031,466.6666666666667,453.3333333333333,906.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4096,8,788,557.6640548706055,560.0,544,1024,560.0,864.0,656.6666666666666,464.7200457255046,466.6666666666667,453.3333333333333,853.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16384,8,787,556.4971389770508,560.0,464,960,560.0,864.0,655.8333333333334,463.747615814209,466.6666666666667,386.6666666666667,800.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,262144,8,788,556.0168762207031,560.0,464,1072,560.0,864.0,656.6666666666666,463.34739685058594,466.6666666666667,386.6666666666667,893.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,524288,8,787,556.3909606933594,560.0,464,976,560.0,864.0,655.8333333333334,463.6591339111328,466.6666666666667,386.6666666666667,813.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1048576,8,787,556.2719497680664,560.0,464,976,560.0,864.0,655.8333333333334,463.55995814005536,466.6666666666667,386.6666666666667,813.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1572864.0,8,787,556.3922805786133,560.0,464,960,560.0,864.0,655.8333333333334,463.66023381551105,466.6666666666667,386.6666666666667,800.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,2097152,8,788,556.6311111450195,560.0,464,1072,560.0,864.0,656.6666666666666,463.8592592875163,466.6666666666667,386.6666666666667,893.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,3145728,8,787,556.6574478149414,560.0,464,992,560.0,864.0,655.8333333333334,463.8812065124512,466.6666666666667,386.6666666666667,826.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4194304,8,787,556.5716323852539,560.0,464,1104,560.0,864.0,655.8333333333334,463.80969365437824,466.6666666666667,386.6666666666667,920.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,8388608,8,869,556.9701995849609,560.0,464,1056,560.0,864.0,724.1666666666666,464.14183298746747,466.6666666666667,386.6666666666667,880.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16777216,8,909,557.1362457275391,560.0,464,992,560.0,880.0,757.5,464.2802047729492,466.6666666666667,386.6666666666667,826.6666666666666,466.6666666666667,733.3333333333334,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,33554432,8,931,556.9766998291016,560.0,464,1088,560.0,864.0,775.8333333333334,464.14724985758465,466.6666666666667,386.6666666666667,906.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,67108864,8,940,557.0654449462891,560.0,464,960,560.0,864.0,783.3333333333334,464.22120412190753,466.6666666666667,386.6666666666667,800.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,1024,8,708,476.4977264404297,480.0,464,544,480.0,512.0,590.0,397.0814387003581,400.0,386.6666666666667,453.3333333333333,400.0,426.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,4096,8,708,476.5907745361328,480.0,464,544,480.0,512.0,590.0,397.15897878011066,400.0,386.6666666666667,453.3333333333333,400.0,426.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,16384,8,708,476.822265625,480.0,464,560,480.0,512.0,590.0,397.3518880208333,400.0,386.6666666666667,466.6666666666667,400.0,426.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,262144,8,708,476.7525939941406,480.0,464,928,480.0,544.0,590.0,397.2938283284505,400.0,386.6666666666667,773.3333333333334,400.0,453.3333333333333,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,524288,8,708,477.0929412841797,480.0,464,944,480.0,560.0,590.0,397.5774510701497,400.0,386.6666666666667,786.6666666666666,400.0,466.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,1048576,8,709,477.29007720947266,480.0,464,944,480.0,560.0,590.8333333333334,397.74173100789386,400.0,386.6666666666667,786.6666666666666,400.0,466.6666666666667,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,1572864.0,8,719,487.5934295654297,480.0,464,944,560.0,816.0,599.1666666666666,406.3278579711914,400.0,386.6666666666667,786.6666666666666,466.6666666666667,680.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,2097152,8,729,497.50154876708984,480.0,464,944,560.0,848.0,607.5,414.5846239725749,400.0,386.6666666666667,786.6666666666666,466.6666666666667,706.6666666666666,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,3145728,8,750,518.831298828125,544.0,464,1088,560.0,864.0,625.0,432.3594156901042,453.3333333333333,386.6666666666667,906.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,4194304,8,760,528.5073699951172,544.0,464,1056,560.0,864.0,633.3333333333334,440.42280832926434,453.3333333333333,386.6666666666667,880.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,8388608,8,855,543.6821899414062,544.0,464,1040,560.0,864.0,712.5,453.06849161783856,453.3333333333333,386.6666666666667,866.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,16777216,8,904,551.1815414428711,560.0,464,1072,560.0,864.0,753.3333333333334,459.3179512023926,466.6666666666667,386.6666666666667,893.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,33554432,8,927,555.3724822998047,560.0,464,1040,560.0,864.0,772.5,462.8104019165039,466.6666666666667,386.6666666666667,866.6666666666666,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,DWarm,0,0,67108864,8,939,557.0164794921875,560.0,464,1008,560.0,864.0,782.5,464.18039957682294,466.6666666666667,386.6666666666667,840.0,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,HWarm,0,0,1024,8,788,557.6152191162109,560.0,544,976,560.0,864.0,656.6666666666666,464.6793492635091,466.6666666666667,453.3333333333333,813.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,HWarm,0,0,4096,8,788,557.6634902954102,560.0,544,1024,560.0,864.0,656.6666666666666,464.7195752461751,466.6666666666667,453.3333333333333,853.3333333333334,466.6666666666667,720.0,0,2097152
LAT_CMD_RD,Rand,HWarm,0,0,16384,8,788,557.3994216918945,560.0,544,960,560.0,864.0,656.6666666666666,464.4995180765788,466.6666666666667,453.3333333333333,800.0,466.6666666666667,720.0,0,2097152
