        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB   64    810.0  578.2   576   560  1072   576   896      675.0   481.8     480     466     893     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB   64    811.0  578.3   576   560   976   576   896      675.8   481.9     480     466     813     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB   64    810.0  578.0   576   560  1088   576   896      675.0   481.7     480     466     906     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB   64    810.0  577.9   576   560  1072   576   896      675.0   481.5     480     466     893     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB   64    810.0  577.9   576   560   992   576   896      675.0   481.6     480     466     826     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB   64    809.0  577.9   576   560  1120   576   896      674.2   481.6     480     466     933     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB   64    810.0  577.9   576   560   992   576   896      675.0   481.6     480     466     826     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB   64    810.0  577.9   576   560   992   576   896      675.0   481.6     480     466     826     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB   64    811.0  577.9   576   560  1168   576   896      675.8   481.6     480     466     973     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB   64    811.0  577.9   576   560  1088   576   896      675.8   481.6     480     466     906     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB   64    891.0  578.3   576   560  1072   576   896      742.5   481.9     480     466     893     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB   64    931.0  578.2   576   560  1008   576   896      775.8   481.9     480     466     840     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB   64    951.0  578.2   576   560  1072   576   896      792.5   481.9     480     466     893     480       746            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB   64    961.0  578.1   576   560  1088   576   880      800.8   481.8     480     466     906     480       733            0    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB   64    805.0  573.0   576   480  1072   576   896      670.8   477.5     480     400     893     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB   64    808.0  575.4   576   480  1120   576   896      673.3   479.5     480     400     933     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  16KB   64    809.0  575.8   576   480   976   576   896      674.2   479.8     480     400     813     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 256KB   64    808.0  575.9   576   480   976   576   896      673.3   479.9     480     400     813     480       746            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 512KB   64    808.0  575.8   576   480  1168   576   896      673.3   479.8     480     400     973     480       746            0    2097152
