#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192   64    895.0  661.8   656   624   752   672   704      745.8   551.5     546     520     626     560       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  1  0  8192   64    913.0  681.0   688   640   752   688   720      760.8   567.5     573     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0  8192   64    913.0  680.9   688   640   752   688   720      760.8   567.4     573     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0  8192   64    913.0  681.1   688   640   752   688   720      760.8   567.6     573     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0  8192   64    912.0  679.9   688   640   752   688   720      760.0   566.6     573     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0  8192   64    913.0  681.1   688   640   752   688   720      760.8   567.6     573     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0  8192   64    910.0  677.3   672   640   752   688   720      758.3   564.4     560     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0  8192   64    910.0  677.3   672   640   752   688   720      758.3   564.4     560     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0  8192   64    909.0  676.8   672   640  1120   688   720      757.5   564.0     560     533     933     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0  8192   64    909.0  677.7   672   640   752   688   720      757.5   564.8     560     533     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0  8192   64    909.0  676.3   672   656   752   688   720      757.5   563.6     560     546     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0  8192   64    905.0  673.2   672   656   752   688   704      754.2   561.0     560     546     626     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0  8192   64    915.0  682.7   688   656   752   688   720      762.5   568.9     573     546     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0  8192   64    911.0  679.2   672   656   752   688   720      759.2   566.0     560     546     626     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0  8192   64    917.0  685.4   688   656   768   704   720      764.2   571.2     573     546     640     586       600            0    2097152


