Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1164,932.2414093017578,928.0,912,992,944.0,960.0,970.0,776.8678410847982,773.3333333333334,760.0,826.6666666666666,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,1,0,8192,64,1182,951.2766952514648,944.0,928,1008,960.0,992.0,985.0,792.7305793762207,786.6666666666666,773.3333333333334,840.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,2,0,8192,64,1182,951.3484725952148,944.0,928,1024,960.0,992.0,985.0,792.7903938293457,786.6666666666666,773.3333333333334,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,3,0,8192,64,1182,951.3116912841797,944.0,928,1024,960.0,992.0,985.0,792.7597427368164,786.6666666666666,773.3333333333334,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,4,0,8192,64,1180,948.9292144775391,944.0,928,1024,960.0,992.0,983.3333333333334,790.7743453979492,786.6666666666666,773.3333333333334,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,6,0,8192,64,1181,951.2947463989258,944.0,928,1040,960.0,992.0,984.1666666666666,792.7456219991049,786.6666666666666,773.3333333333334,866.6666666666666,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,8,0,8192,64,1177,946.7323684692383,944.0,928,1024,960.0,976.0,980.8333333333334,788.9436403910319,786.6666666666666,773.3333333333334,853.3333333333334,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,12,0,8192,64,1177,946.5731964111328,944.0,928,1024,960.0,976.0,980.8333333333334,788.8109970092773,786.6666666666666,773.3333333333334,853.3333333333334,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,16,0,8192,64,1176,945.4332275390625,944.0,928,1008,960.0,976.0,980.0,787.8610229492188,786.6666666666666,773.3333333333334,840.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,20,0,8192,64,1177,946.6613998413086,944.0,928,1024,960.0,976.0,980.8333333333334,788.8844998677572,786.6666666666666,773.3333333333334,853.3333333333334,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,25,0,8192,64,1176,946.7655181884766,944.0,928,1008,960.0,976.0,980.0,788.9712651570638,786.6666666666666,773.3333333333334,840.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,32,0,8192,64,1172,941.9554443359375,944.0,928,1024,944.0,976.0,976.6666666666666,784.9628702799479,786.6666666666666,773.3333333333334,853.3333333333334,786.6666666666666,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,41,0,8192,64,1182,952.0578842163086,944.0,944,1024,960.0,992.0,985.0,793.3815701802572,786.6666666666666,786.6666666666666,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,48,0,8192,64,1177,947.1697387695312,944.0,928,1024,960.0,992.0,980.8333333333334,789.308115641276,786.6666666666666,773.3333333333334,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,63,0,8192,64,1185,954.4270858764648,960.0,944,1024,960.0,992.0,987.5,795.3559048970541,800.0,786.6666666666666,853.3333333333334,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1164,932.2729034423828,928.0,912,1008,944.0,960.0,970.0,776.8940862019857,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,1,8192,64,1206,974.2066802978516,976.0,960,1040,976.0,1008.0,1005.0,811.8389002482096,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,2,8192,64,1206,974.2643127441406,976.0,960,1040,976.0,1008.0,1005.0,811.8869272867838,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,3,8192,64,1206,974.2602767944336,976.0,960,1040,976.0,1008.0,1005.0,811.8835639953613,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,4,8192,64,1206,974.3646545410156,976.0,960,1040,976.0,1008.0,1005.0,811.9705454508463,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,6,8192,64,1206,974.3707809448242,976.0,960,1056,976.0,1008.0,1005.0,811.9756507873535,813.3333333333334,800.0,880.0,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,8,8192,64,1164,932.2327270507812,928.0,912,1008,944.0,960.0,970.0,776.860605875651,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,12,8192,64,1205,974.3614730834961,976.0,960,1040,976.0,1008.0,1004.1666666666666,811.9678942362467,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,16,8192,64,1164,932.3986511230469,928.0,912,1008,944.0,960.0,970.0,776.9988759358724,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,20,8192,64,1207,974.23583984375,976.0,960,1040,976.0,1008.0,1005.8333333333334,811.8631998697916,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,25,8192,64,1206,974.3953552246094,976.0,960,1040,976.0,1008.0,1005.0,811.9961293538412,813.3333333333334,800.0,866.6666666666666,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,32,8192,64,1164,932.1977157592773,928.0,912,1008,944.0,960.0,970.0,776.8314297993978,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,41,8192,64,1206,974.3914260864258,976.0,960,1056,976.0,1008.0,1005.0,811.9928550720215,813.3333333333334,800.0,880.0,813.3333333333334,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,48,8192,64,1164,932.3909530639648,928.0,912,1008,944.0,960.0,970.0,776.9924608866373,773.3333333333334,760.0,840.0,786.6666666666666,800.0,0,2097152
