        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  240    974.0  743.0   736   720   816   768   784      811.7   619.2     613     600     680     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  241    983.0  751.9   752   720   832   768   800      819.2   626.6     626     600     693     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  242    983.0  751.8   752   720   832   768   800      819.2   626.5     626     600     693     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  243    987.0  756.3   752   720   832   784   800      822.5   630.3     626     600     693     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  244    987.0  756.3   752   720   832   784   800      822.5   630.2     626     600     693     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  245    988.0  756.3   752   720   832   784   800      823.3   630.2     626     600     693     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  246    983.0  752.0   752   720   832   768   800      819.2   626.7     626     600     693     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  247    983.0  751.9   752   720   832   768   800      819.2   626.6     626     600     693     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  248    978.0  746.1   752   720   816   768   784      815.0   621.8     626     600     680     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  249    988.0  757.4   752   720   848   784   800      823.3   631.2     626     600     706     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  250    989.0  757.4   752   720   832   784   800      824.2   631.2     626     600     693     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  251    989.0  757.7   752   720   848   784   800      824.2   631.4     626     600     706     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  252    989.0  757.4   752   720   832   784   800      824.2   631.2     626     600     693     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  253    989.0  757.4   752   720   848   784   800      824.2   631.2     626     600     706     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  254    989.0  757.7   752   720   848   784   800      824.2   631.4     626     600     706     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  255    985.0  753.1   752   720   832   768   800      820.8   627.6     626     600     693     640       666            0    2097152
