Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,Cold,0,0,8192,64,212373440,176977866.66666666,536870912,8388608,24.268386645712383,47399192.667407
BW_DMA_WR,Seq,Cold,1,0,8192,64,212421584,177017986.66666666,536870912,8388608,24.26288637034173,47388449.94207369
BW_DMA_WR,Seq,Cold,2,0,8192,64,212421184,177017653.33333334,536870912,8388608,24.262932058602967,47388539.176958926
BW_DMA_WR,Seq,Cold,3,0,8192,64,212421168,177017640.0,536870912,8388608,24.262933886137,47388542.74636132
BW_DMA_WR,Seq,Cold,4,0,8192,64,212380000,176983333.33333334,536870912,8388608,24.267637043036068,47397728.59967981
BW_DMA_WR,Seq,Cold,6,0,8192,64,212421520,177017933.33333334,536870912,8388608,24.26289368045196,47388464.21963273
BW_DMA_WR,Seq,Cold,8,0,8192,64,212379920,176983266.66666666,536870912,8388608,24.267646184253202,47397746.45361953
BW_DMA_WR,Seq,Cold,12,0,8192,64,212380336,176983613.33333334,536870912,8388608,24.26759864999931,47397653.6132799
BW_DMA_WR,Seq,Cold,16,0,8192,64,212379936,176983280.0,536870912,8388608,24.267644356009225,47397742.882830516
BW_DMA_WR,Seq,Cold,20,0,8192,64,212380224,176983520.0,536870912,8388608,24.26761144766473,47397678.608720176
BW_DMA_WR,Seq,Cold,25,0,8192,64,212421056,177017546.66666666,536870912,8388608,24.26294667888291,47388567.73219318
BW_DMA_WR,Seq,Cold,32,0,8192,64,212380080,176983400.0,536870912,8388608,24.267627901825822,47397710.74575356
BW_DMA_WR,Seq,Cold,41,0,8192,64,212421248,177017706.66666666,536870912,8388608,24.262924748469608,47388524.8993547
BW_DMA_WR,Seq,Cold,48,0,8192,64,212380576,176983813.33333334,536870912,8388608,24.267571226476,47397600.05171094
BW_DMA_WR,Seq,Cold,63,0,8192,64,212421760,177018133.33333334,536870912,8388608,24.26286626756129,47388410.67883064
BW_DMA_WR,Seq,Cold,0,0,8192,64,212373568,176977973.33333334,536870912,8388608,24.26837201887572,47399164.099366635
BW_DMA_WR,Seq,Cold,0,1,8192,64,212734368,177278640.0,536870912,8388608,24.227212573381657,47318774.55738605
BW_DMA_WR,Seq,Cold,0,2,8192,64,212734224,177278520.0,536870912,8388608,24.227228972805054,47318806.58750987
BW_DMA_WR,Seq,Cold,0,3,8192,64,212734240,177278533.33333334,536870912,8388608,24.2272271506458,47318803.02860507
BW_DMA_WR,Seq,Cold,0,4,8192,64,212734576,177278813.33333334,536870912,8388608,24.22718888536483,47318728.29172818
BW_DMA_WR,Seq,Cold,0,6,8192,64,212734272,177278560.0,536870912,8388608,24.22722350632812,47318795.91079711
BW_DMA_WR,Seq,Cold,0,8,8192,64,212373520,176977933.33333334,536870912,8388608,24.2683775039374,47399174.812377736
BW_DMA_WR,Seq,Cold,0,12,8192,64,212734544,177278786.66666666,536870912,8388608,24.2271925296721,47318735.40951581
BW_DMA_WR,Seq,Cold,0,16,8192,64,212373440,176977866.66666666,536870912,8388608,24.268386645712383,47399192.667407
BW_DMA_WR,Seq,Cold,0,20,8192,64,212734288,177278573.33333334,536870912,8388608,24.227221684169688,47318792.351893924
BW_DMA_WR,Seq,Cold,0,25,8192,64,212734240,177278533.33333334,536870912,8388608,24.2272271506458,47318803.02860507
BW_DMA_WR,Seq,Cold,0,32,8192,64,212373424,176977853.33333334,536870912,8388608,24.268388474068203,47399196.23841446
BW_DMA_WR,Seq,Cold,0,41,8192,64,212734128,177278440.0,536870912,8388608,24.227239905766318,47318827.94094984
BW_DMA_WR,Seq,Cold,0,48,8192,64,212373424,176977853.33333334,536870912,8388608,24.268388474068203,47399196.23841446
BW_DMA_WR,Seq,Cold,0,63,8192,64,212734240,177278533.33333334,536870912,8388608,24.2272271506458,47318803.02860507
BW_DMA_WR,Seq,Cold,0,0,8192,128,243102608,202585506.66666666,1073741824,8388608,42.40152582155762,41407740.06011486
BW_DMA_WR,Seq,Cold,1,0,8192,128,278784624,232320520.0,1073741824,8388608,36.97449795653006,36107908.16067388
BW_DMA_WR,Seq,Cold,2,0,8192,128,278786096,232321746.66666666,1073741824,8388608,36.97430272993242,36107717.50969962
BW_DMA_WR,Seq,Cold,3,0,8192,128,278778112,232315093.33333334,1073741824,8388608,36.97536164675654,36108751.60816069
BW_DMA_WR,Seq,Cold,4,0,8192,128,262828864,219024053.33333334,1073741824,8388608,39.219138086751386,38299939.53784315
BW_DMA_WR,Seq,Cold,6,0,8192,128,278774928,232312440.0,1073741824,8388608,36.975783957157006,36109164.02066114
BW_DMA_WR,Seq,Cold,8,0,8192,128,262845264,219037720.0,1073741824,8388608,39.21669104298566,38297549.84666568
BW_DMA_WR,Seq,Cold,12,0,8192,128,262845312,219037760.0,1073741824,8388608,39.21668388135452,38297542.852885276
BW_DMA_WR,Seq,Cold,16,0,8192,128,258922912,215769093.33333334,1073741824,8388608,39.81077391250721,38877708.898932815
BW_DMA_WR,Seq,Cold,20,0,8192,128,264810400,220675333.33333334,1073741824,8388608,38.92566723361318,38013346.90782537
BW_DMA_WR,Seq,Cold,25,0,8192,128,281681216,234734346.66666666,1073741824,8388608,36.59428078583699,35736602.32991894
BW_DMA_WR,Seq,Cold,32,0,8192,128,262148640,218457200.0,1073741824,8388608,39.32090401231912,38399320.32453039
BW_DMA_WR,Seq,Cold,41,0,8192,128,281321312,234434426.66666666,1073741824,8388608,36.64109710394071,35782321.390567094
BW_DMA_WR,Seq,Cold,48,0,8192,128,259427312,216189426.66666666,1073741824,8388608,39.73337051882957,38802119.6472945
BW_DMA_WR,Seq,Cold,63,0,8192,128,279293936,232744946.66666666,1073741824,8388608,36.907072376967044,36042062.868131876
BW_DMA_WR,Seq,Cold,0,0,8192,128,243102848,202585706.66666666,1073741824,8388608,42.401483961224514,41407699.18088331
BW_DMA_WR,Seq,Cold,0,1,8192,128,382528448,318773706.6666667,1073741824,8388608,26.946810268082334,26315244.402424153
BW_DMA_WR,Seq,Cold,0,2,8192,128,382528448,318773706.6666667,1073741824,8388608,26.946810268082334,26315244.402424153
BW_DMA_WR,Seq,Cold,0,3,8192,128,382528480,318773733.3333333,1073741824,8388608,26.94680801387651,26315242.20105128
BW_DMA_WR,Seq,Cold,0,4,8192,128,382528464,318773720.0,1073741824,8388608,26.946809140979376,26315243.301737674
BW_DMA_WR,Seq,Cold,0,6,8192,128,382528432,318773693.3333333,1073741824,8388608,26.946811395185392,26315245.503110733
BW_DMA_WR,Seq,Cold,0,8,8192,128,243102800,202585666.66666666,1073741824,8388608,42.40149233328452,41407707.35672317
BW_DMA_WR,Seq,Cold,0,12,8192,128,382528464,318773720.0,1073741824,8388608,26.946809140979376,26315243.301737674
BW_DMA_WR,Seq,Cold,0,16,8192,128,243102832,202585693.33333334,1073741824,8388608,42.40148675191081,41407701.9061629
BW_DMA_WR,Seq,Cold,0,20,8192,128,382528480,318773733.3333333,1073741824,8388608,26.94680801387651,26315242.20105128
BW_DMA_WR,Seq,Cold,0,25,8192,128,382528432,318773693.3333333,1073741824,8388608,26.946811395185392,26315245.503110733
BW_DMA_WR,Seq,Cold,0,32,8192,128,243102656,202585546.66666666,1073741824,8388608,42.40151744948439,41407731.8842621
BW_DMA_WR,Seq,Cold,0,41,8192,128,382528624,318773853.3333333,1073741824,8388608,26.946797869954956,26315232.29487789
BW_DMA_WR,Seq,Cold,0,48,8192,128,243102576,202585480.0,1073741824,8388608,42.401531402941615,41407745.51068517
BW_DMA_WR,Seq,Cold,0,63,8192,128,382528656,318773880.0,1073741824,8388608,26.946795615751203,26315230.093507033
BW_DMA_WR,Seq,Cold,0,0,8192,256,407873664,339894720.0,2147483648,8388608,50.544678022653606,24680018.56574883
BW_DMA_WR,Seq,Cold,1,0,8192,256,463443488,386202906.6666667,2147483648,8388608,44.484049414024774,21720727.252941787
BW_DMA_WR,Seq,Cold,2,0,8192,256,463441616,386201346.6666667,2147483648,8388608,44.48422910039223,21720814.990425892
