Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Rand,Cold,0,0,4096,256,407873632,339894693.3333333,2147483648,8388608,50.5446819881703,24680020.502036277
BW_DMA_WR,Rand,Cold,0,0,16384,256,407874928,339895773.3333333,2147483648,8388608,50.5445213852419,24679942.08263765
BW_DMA_WR,Rand,Cold,0,0,262144,256,407874000,339895000.0,2147483648,8388608,50.54463638476588,24679998.234748967
BW_DMA_WR,Rand,Cold,0,0,524288,256,407873584,339894653.3333333,2147483648,8388608,50.54468793644651,24680023.406468023
BW_DMA_WR,Rand,Cold,0,0,1048576,256,407874352,339895293.3333333,2147483648,8388608,50.54459276419519,24679976.935642183
BW_DMA_WR,Rand,Cold,0,0,1572864.0,256,407875840,339896533.3333333,2147483648,8388608,50.54440836897817,24679886.898915123
BW_DMA_WR,Rand,Cold,0,0,2097152,256,407881328,339901106.6666667,2147483648,8388608,50.54372829932534,24679554.833654948
BW_DMA_WR,Rand,Cold,0,0,3145728,256,408146320,340121933.3333333,2147483648,8388608,50.5109124119997,24663531.45117173
BW_DMA_WR,Rand,Cold,0,0,4194304,256,409935504,341612920.0,2147483648,8388608,50.2904550097227,24555886.235216163
BW_DMA_WR,Rand,Cold,0,0,8388608,256,426507344,355422786.6666667,2147483648,8388608,48.336431507730374,23601773.197133973
BW_DMA_WR,Rand,Cold,0,0,16777216,256,437256640,364380533.3333333,2147483648,8388608,47.14815313222002,23021559.146591805
BW_DMA_WR,Rand,Cold,0,0,33554432,256,442713536,368927946.6666667,2147483648,8388608,46.56700404299362,22737794.942867976
BW_DMA_WR,Rand,Cold,0,0,67108864,256,445817840,371514866.6666667,2147483648,8388608,46.242750224620885,22579467.883115668
BW_DMA_WR,Rand,DThrash,0,0,4096,256,407868960,339890800.0,2147483648,8388608,50.54526096028489,24680303.203264106
BW_DMA_WR,Rand,DThrash,0,0,16384,256,407868976,339890813.3333333,2147483648,8388608,50.54525897748105,24680302.23509817
BW_DMA_WR,Rand,DThrash,0,0,262144,256,407869120,339890933.3333333,2147483648,8388608,50.54524113225341,24680293.52160811
BW_DMA_WR,Rand,DThrash,0,0,524288,256,407869184,339890986.6666667,2147483648,8388608,50.545233201045164,24680289.648947835
BW_DMA_WR,Rand,DThrash,0,0,1048576,256,407869584,339891320.0,2147483648,8388608,50.545183631050065,24680265.444848664
BW_DMA_WR,Rand,DThrash,0,0,1572864.0,256,407871216,339892680.0,2147483648,8388608,50.54498138647764,24680166.692616034
BW_DMA_WR,Rand,DThrash,0,0,2097152,256,407877040,339897533.3333333,2147483648,8388608,50.544259664137996,24679814.28912988
BW_DMA_WR,Rand,DThrash,0,0,3145728,256,408124432,340103693.3333333,2147483648,8388608,50.51362134771682,24664854.173689853
BW_DMA_WR,Rand,DThrash,0,0,4194304,256,410057712,341714760.0,2147483648,8388608,50.275467129368366,24548567.934261896
BW_DMA_WR,Rand,DThrash,0,0,8388608,256,426968032,355806693.3333333,2147483648,8388608,48.28427768756234,23576307.464630045
BW_DMA_WR,Rand,DThrash,0,0,16777216,256,437246912,364372426.6666667,2147483648,8388608,47.149202098424425,23022071.3371213
BW_DMA_WR,Rand,DThrash,0,0,33554432,256,442674208,368895173.3333333,2147483648,8388608,46.571141142246084,22739815.010862347
BW_DMA_WR,Rand,DThrash,0,0,67108864,256,445772128,371476773.3333333,2147483648,8388608,46.24749221826628,22581783.309700336
BW_DMA_WR,Rand,DWarm,0,0,4096,256,407868944,339890786.6666667,2147483648,8388608,50.54526294308889,24680304.171430126
BW_DMA_WR,Rand,DWarm,0,0,16384,256,407869040,339890866.6666667,2147483648,8388608,50.545251046267204,24680298.36243516
BW_DMA_WR,Rand,DWarm,0,0,262144,256,407868864,339890720.0,2147483648,8388608,50.54527285711125,24680309.012261353
BW_DMA_WR,Rand,DWarm,0,0,524288,256,407872048,339893373.3333333,2147483648,8388608,50.54487828202437,24680116.34864471
BW_DMA_WR,Rand,DWarm,0,0,1048576,256,407876880,339897400.0,2147483648,8388608,50.544279491399465,24679823.970409892
BW_DMA_WR,Rand,DWarm,0,0,1572864.0,256,407876928,339897440.0,2147483648,8388608,50.54427354321939,24679821.066025093
BW_DMA_WR,Rand,DWarm,0,0,2097152,256,407893792,339911493.3333333,2147483648,8388608,50.54218383593345,24678800.70113938
BW_DMA_WR,Rand,DWarm,0,0,3145728,256,408124208,340103506.6666667,2147483648,8388608,50.51364907224518,24664867.71105722
BW_DMA_WR,Rand,DWarm,0,0,4194304,256,410064880,341720733.3333333,2147483648,8388608,50.27458830612366,24548138.821349442
BW_DMA_WR,Rand,DWarm,0,0,8388608,256,426824944,355687453.3333333,2147483648,8388608,48.300464418967984,23584211.142074212
