#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  8192    8    846.0  612.5   608   576  6880   624   928      705.0   510.4     506     480    5733     520       773            3   16777216
  LAT_CMD_RD Rand   HWarm  0  0  8192    8    782.0  548.7   544   480 11488   560   592      651.7   457.3     453     400    9573     466       493           55   16777216
  LAT_CMD_RD Rand    Cold  0  0 67108864    8   1324.0  934.5   928   592  7088  1024  1568     1103.3   778.7     773     493    5906     853      1306            1   16777216
  LAT_CMD_RD Rand   HWarm  0  0 67108864    8   1312.0  921.8   928   480 11376   992  1552     1093.3   768.1     773     400    9480     826      1293           71   16777216


LAT_CMD_WRRD Rand    Cold  0  0  8192    8    988.0  729.3   736   704  7120   752   768      823.3   607.7     613     586    5933     626       640            4   16777216
LAT_CMD_WRRD Rand   HWarm  0  0  8192    8    988.0  729.3   736   704  7040   752   768      823.3   607.7     613     586    5866     626       640            1   16777216
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1566.0 1150.7  1152   704  9456  1200  1744     1305.0   958.9     960     586    7880    1000      1453            3   16777216
LAT_CMD_WRRD Rand   HWarm  0  0 67108864    8   1547.0 1132.3  1136   704 10320  1216  1760     1289.2   943.6     946     586    8600    1013      1466           11   16777216
