#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0  4096    8    986.0  729.4   736   704  6896   752   768      821.7   607.8     613     586    5746     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096    8    985.0  729.4   736   704  6896   752   768      820.8   607.8     613     586    5746     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096    8    985.0  729.4   736   704  6912   752   768      820.8   607.8     613     586    5760     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096    8    985.0  729.2   736   704  6896   752   768      820.8   607.7     613     586    5746     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096    8    985.0  729.2   736   704  6928   752   768      820.8   607.7     613     586    5773     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096    8    986.0  729.2   736   704  6896   752   768      821.7   607.6     613     586    5746     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096    8    985.0  729.2   736   704  6896   752   768      820.8   607.6     613     586    5746     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096    8    985.0  729.2   736   704  6912   752   768      820.8   607.7     613     586    5760     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096    8    988.0  732.0   736   704  6912   752   768      823.3   610.0     613     586    5760     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold 48  0  4096    8    988.0  732.0   736   704  6912   752   768      823.3   610.0     613     586    5760     626       640            1    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0  4096    8    985.0  729.2   736   704  6816   752   768      820.8   607.7     613     586    5680     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0  4096    8    985.0  729.2   736   704  6816   752   768      820.8   607.7     613     586    5680     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0  4096    8    985.0  729.2   736   704  6944   752   768      820.8   607.7     613     586    5786     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0  4096    8    985.0  729.2   736   704  6800   752   768      820.8   607.6     613     586    5666     626       640            2    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0  4096    8    986.0  729.4   736   704  6800   752   768      821.7   607.8     613     586    5666     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0  4096    8    985.0  729.2   736   704  6832   752   768      820.8   607.7     613     586    5693     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0  4096    8    986.0  729.2   736   704  6800   752   768      821.7   607.7     613     586    5666     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0  4096    8    986.0  729.2   736   704  6816   752   768      821.7   607.7     613     586    5680     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0  4096    8    988.0  732.0   736   704  6816   752   768      823.3   610.0     613     586    5680     626       640            1    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0  4096    8    988.0  732.2   736   704  6800   752   768      823.3   610.2     613     586    5666     626       640            1    2097152


LAT_CMD_WRRD  Seq    Cold  0  0 8388608    8   1097.0  841.2   832   752  6912   864  1216      914.2   701.0     693     626    5760     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold  1  0 8388608    8   1097.0  840.9   832   736  9632   864  1216      914.2   700.8     693     613    8026     720      1013            3    2097152
LAT_CMD_WRRD  Seq    Cold  2  0 8388608    8   1097.0  840.9   832   736  6896   864  1216      914.2   700.8     693     613    5746     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold  3  0 8388608    8   1097.0  841.1   832   752  7136   864  1216      914.2   700.9     693     626    5946     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold  4  0 8388608    8   1097.0  841.2   832   736  6912   864  1216      914.2   701.0     693     613    5760     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold  6  0 8388608    8   1097.0  840.9   832   736  6912   864  1216      914.2   700.8     693     613    5760     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold  8  0 8388608    8   1097.0  841.0   832   720  6912   864  1216      914.2   700.8     693     600    5760     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold 16  0 8388608    8   1097.0  841.0   832   736  8912   864  1216      914.2   700.8     693     613    7426     720      1013            2    2097152
LAT_CMD_WRRD  Seq    Cold 32  0 8388608    8   1099.0  843.5   832   736  6912   864  1216      915.8   702.9     693     613    5760     720      1013            1    2097152
LAT_CMD_WRRD  Seq    Cold 48  0 8388608    8   1100.0  843.4   832   752  6912   864  1216      916.7   702.8     693     626    5760     720      1013            1    2097152


LAT_CMD_WRRD  Seq   HWarm  0  0 8388608    8    994.0  738.0   736   704  6800   768  1136      828.3   615.0     613     586    5666     640       946         1382    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0 8388608    8    994.0  737.9   736   704 10848   768  1152      828.3   614.9     613     586    9040     640       960         1366    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0 8388608    8    994.0  738.0   736   704 10304   768  1152      828.3   615.0     613     586    8586     640       960         1374    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0 8388608    8    994.0  738.0   736   704  6848   768  1136      828.3   615.0     613     586    5706     640       946         1374    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0 8388608    8    994.0  738.0   736   704  6992   768  1152      828.3   615.0     613     586    5826     640       960         1373    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0 8388608    8    994.0  738.0   736   704 11264   768  1152      828.3   615.0     613     586    9386     640       960         1382    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0 8388608    8    994.0  738.0   736   704 10896   768  1152      828.3   615.0     613     586    9080     640       960         1384    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0 8388608    8    994.0  738.0   736   704  6800   768  1136      828.3   615.0     613     586    5666     640       946         1368    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0 8388608    8    996.0  740.7   736   704 11232   768  1136      830.0   617.3     613     586    9360     640       946         1374    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0 8388608    8    997.0  740.8   736   704  6816   784  1152      830.8   617.4     613     586    5680     653       960         1373    2097152


LAT_CMD_WRRD  Seq    Cold  0  0  4096   64   1075.0  749.1   752   720  6880   768   784      895.8   624.3     626     600    5733     640       653            1    2097152
LAT_CMD_WRRD  Seq    Cold  1  0  4096   64   1075.0  749.1   752   720  6880   768   784      895.8   624.3     626     600    5733     640       653            1    2097152
LAT_CMD_WRRD  Seq    Cold  2  0  4096   64   1075.0  749.1   752   720  6880   768   784      895.8   624.3     626     600    5733     640       653            1    2097152
LAT_CMD_WRRD  Seq    Cold  3  0  4096   64   1076.0  749.1   752   720  6880   768   784      896.7   624.3     626     600    5733     640       653            1    2097152
LAT_CMD_WRRD  Seq    Cold  4  0  4096   64   1107.0  780.3   784   752  6960   800   816      922.5   650.2     653     626    5800     666       680            2    2097152
LAT_CMD_WRRD  Seq    Cold  6  0  4096   64   1107.0  780.3   784   752  6960   800   816      922.5   650.2     653     626    5800     666       680            1    2097152
LAT_CMD_WRRD  Seq    Cold  8  0  4096   64   1103.0  776.6   784   736  6960   800   816      919.2   647.2     653     613    5800     666       680            1    2097152
LAT_CMD_WRRD  Seq    Cold 16  0  4096   64   1103.0  777.1   784   752  6944   800   816      919.2   647.6     653     626    5786     666       680            1    2097152
LAT_CMD_WRRD  Seq    Cold 32  0  4096   64   1100.0  773.9   768   736  6944   784   816      916.7   644.9     640     613    5786     653       680            1    2097152
