#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024   64    857.0  626.1   624   608  6992   640   928      714.2   521.8     520     506    5826     533       773            1    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096   64    857.0  626.1   624   608  6896   640   928      714.2   521.7     520     506    5746     533       773            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384   64    857.0  626.1   624   608  6880   640   928      714.2   521.7     520     506    5733     533       773            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144   64    858.0  627.6   624   608  6896   640   944      715.0   523.0     520     506    5746     533       786            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288   64    882.0  651.3   624   608  7152   928  1312      735.0   542.7     520     506    5960     773      1093            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576   64   1034.0  803.1   928   608  6896   960  1584      861.7   669.3     773     506    5746     800      1320            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0   64   1085.0  853.7   928   608  5648   960  1600      904.2   711.5     773     506    4706     800      1333            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152   64   1109.0  879.0   928   608  5408   976  1616      924.2   732.5     773     506    4506     813      1346            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728   64   1134.0  904.0   944   608  5392   992  1616      945.0   753.3     786     506    4493     826      1346            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304   64   1146.0  915.7   944   608  5408  1008  1600      955.0   763.1     786     506    4506     840      1333            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608   64   1249.0  935.6   944   608  6880  1024  1584     1040.8   779.7     786     506    5733     853      1320            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216   64   1301.0  946.2   944   608  5408  1040  1584     1084.2   788.5     786     506    4506     866      1320            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432   64   1327.0  950.7   944   608  5712  1040  1568     1105.8   792.3     786     506    4760     866      1306            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 67108864   64   1339.0  952.9   944   608  5520  1024  1568     1115.8   794.1     786     506    4600     853      1306            1    2097152


  LAT_CMD_RD Rand DThrash  0  0  1024   64    852.0  621.5   624   496  1072   640   928      710.0   517.9     520     413     893     533       773            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  4096   64    854.0  622.9   624   496  1040   640   928      711.7   519.1     520     413     866     533       773            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16384   64    857.0  625.6   624   496  1040   640   928      714.2   521.3     520     413     866     533       773            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 262144   64   1112.0  881.7   928   496  1680   976  1600      926.7   734.8     773     413    1400     813      1333            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 524288   64   1147.0  916.3   944   496  1744  1008  1600      955.8   763.5     786     413    1453     840      1333            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1048576   64   1161.0  930.4   944   496  1776   992  1600      967.5   775.3     786     413    1480     826      1333            0    2097152
