#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8    985.0  729.0   736   704  2432   752   768      820.8   607.5     613     586    2026     626       640            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8    985.0  729.3   736   704  7088   752   768      820.8   607.8     613     586    5906     626       640            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8    986.0  729.5   736   704  7072   752   768      821.7   607.9     613     586    5893     626       640            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8    986.0  729.6   736   704  6064   752   832      821.7   608.0     613     586    5053     626       693           16    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8   1009.0  752.6   736   704  5600  1040  1232      840.8   627.1     613     586    4666     866      1026            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8   1161.0  904.2  1040   704  5872  1072  1360      967.5   753.5     866     586    4893     893      1133            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8   1224.0  967.4  1040   704  2432  1152  1552     1020.0   806.2     866     586    2026     960      1293            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8   1264.0 1007.3  1056   704  6064  1152  1728     1053.3   839.4     880     586    5053     960      1440            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8   1316.0 1059.5  1056   704  5616  1168  1776     1096.7   883.0     880     586    4680     973      1480            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8   1340.0 1084.7  1136   704  5616  1168  1792     1116.7   903.9     946     586    4680     973      1493            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   1462.0 1121.8  1136   704  5600  1200  1776     1218.3   934.8     946     586    4666    1000      1480            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   1522.0 1140.6  1152   704  5616  1232  1792     1268.3   950.5     960     586    4680    1026      1493            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432    8   1551.0 1148.6  1152   704  5600  1248  1760     1292.5   957.2     960     586    4666    1040      1466            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1563.0 1150.9  1152   704  5616  1200  1728     1302.5   959.1     960     586    4680    1000      1440            1    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024    8    985.0  728.9   736   704  1136   752   768      820.8   607.4     613     586     946     626       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  4096    8    986.0  729.3   736   704  1152   752   768      821.7   607.8     613     586     960     626       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16384    8    986.0  729.5   736   704  1264   752   768      821.7   607.9     613     586    1053     626       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 262144    8   1245.0  988.5  1040   704  1840  1072  1360     1037.5   823.7     866     586    1533     893      1133            0    2097152
