Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,945,714.815299987793,720.0,656,11056,736.0,752.0,787.5,595.6794166564941,600.0,546.6666666666666,9213.333333333334,613.3333333333334,626.6666666666666,7,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,64,963,733.1468200683594,736.0,688,11424,752.0,768.0,802.5,610.9556833902994,613.3333333333334,573.3333333333334,9520.0,626.6666666666666,640.0,15,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,64,963,732.9955139160156,736.0,688,11440,752.0,768.0,802.5,610.8295949300131,613.3333333333334,573.3333333333334,9533.333333333334,626.6666666666666,640.0,10,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,64,963,733.1080780029297,736.0,688,11072,752.0,768.0,802.5,610.9233983357748,613.3333333333334,573.3333333333334,9226.666666666666,626.6666666666666,640.0,9,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,64,963,733.234504699707,736.0,688,11312,752.0,768.0,802.5,611.0287539164225,613.3333333333334,573.3333333333334,9426.666666666666,626.6666666666666,640.0,10,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,64,963,733.4454727172852,736.0,672,11072,752.0,768.0,802.5,611.2045605977377,613.3333333333334,560.0,9226.666666666666,626.6666666666666,640.0,9,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,64,962,731.9352645874023,736.0,688,11472,752.0,768.0,801.6666666666666,609.9460538228353,613.3333333333334,573.3333333333334,9560.0,626.6666666666666,640.0,11,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,64,960,728.6052703857422,736.0,688,10992,752.0,768.0,800.0,607.1710586547852,613.3333333333334,573.3333333333334,9160.0,626.6666666666666,640.0,9,2097152
LAT_DMA_RD,Seq,HWarm,16,0,8192,64,960,729.6254348754883,736.0,704,7008,752.0,768.0,800.0,608.0211957295736,613.3333333333334,586.6666666666666,5840.0,626.6666666666666,640.0,1,2097152
LAT_DMA_RD,Seq,HWarm,20,0,8192,64,964,733.5705718994141,736.0,688,7040,752.0,800.0,803.3333333333334,611.3088099161783,613.3333333333334,573.3333333333334,5866.666666666667,626.6666666666666,666.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,25,0,8192,64,963,731.8909759521484,736.0,688,11200,752.0,768.0,802.5,609.9091466267904,613.3333333333334,573.3333333333334,9333.333333333334,626.6666666666666,640.0,9,2097152
LAT_DMA_RD,Seq,HWarm,32,0,8192,64,961,729.7110290527344,736.0,688,11264,736.0,768.0,800.8333333333334,608.0925242106119,613.3333333333334,573.3333333333334,9386.666666666666,613.3333333333334,640.0,5,2097152
LAT_DMA_RD,Seq,HWarm,41,0,8192,64,968,737.0730285644531,736.0,704,11232,752.0,768.0,806.6666666666666,614.2275238037109,613.3333333333334,586.6666666666666,9360.0,626.6666666666666,640.0,11,2097152
