#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192  240   1031.0  800.4   800   768 11008   832   848      859.2   667.0     666     640    9173     693       706            5    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  241   1043.0  811.6   816   768 10960   832   864      869.2   676.3     680     640    9133     693       720            5    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  242   1043.0  812.0   816   768 10800   832   848      869.2   676.7     680     640    9000     693       706            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  243   1042.0  811.9   816   768 11376   832   864      868.3   676.6     680     640    9480     693       720           43    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  244   1039.0  808.4   800   768 11248   832   848      865.8   673.7     666     640    9373     693       706            9    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  245   1042.0  811.6   816   768 11504   832   864      868.3   676.3     680     640    9586     693       720           13    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  246   1043.0  812.0   816   768 11152   832   848      869.2   676.7     680     640    9293     693       706            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  247   1043.0  812.3   816   768 10976   832   848      869.2   676.9     680     640    9146     693       706            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  248   1033.0  802.6   800   768 11328   832   848      860.8   668.8     666     640    9440     693       706           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  249   1044.0  813.4   816   768 11280   832   848      870.0   677.8     680     640    9400     693       706           13    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  250   1045.0  813.4   816   768 10928   832   848      870.8   677.8     680     640    9106     693       706           13    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  251   1043.0  812.6   816   768 11632   832   848      869.2   677.1     680     640    9693     693       706           15    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  252   1040.0  809.3   816   768 11424   832   848      866.7   674.4     680     640    9520     693       706            9    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  253   1043.0  811.9   816   768 11456   832   848      869.2   676.6     680     640    9546     693       706            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  254   1040.0  809.4   816   768 11168   832   848      866.7   674.5     680     640    9306     693       706            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  255   1043.0  812.5   816   768  6896   832   848      869.2   677.0     680     640    5746     693       706            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  256   1039.0  808.2   816   752 11664   832   848      865.8   673.5     680     626    9720     693       706           11    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  257   1059.0  827.6   816   784 10768   864   896      882.5   689.6     680     653    8973     720       746            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  258   1059.0  827.8   832   784 11648   864   896      882.5   689.8     693     653    9706     720       746            9    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  259   1058.0  826.6   816   768 11136   864   896      881.7   688.9     680     640    9280     720       746            9    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  260   1060.0  828.8   816   784 11392   880   896      883.3   690.6     680     653    9493     733       746           11    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  261   1058.0  826.6   816   768 11536   864   896      881.7   688.9     680     640    9613     720       746           13    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  262   1060.0  828.7   816   784 11232   880   896      883.3   690.6     680     653    9360     733       746            9    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  263   1058.0  826.6   816   768 11424   864   896      881.7   688.8     680     640    9520     720       746           19    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  264   1060.0  828.6   816   784 11392   880   896      883.3   690.5     680     653    9493     733       746            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  265   1078.0  847.7   848   784 11232   896   912      898.3   706.4     706     653    9360     746       760            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  266   1079.0  848.8   848   800 11344   896   912      899.2   707.4     706     666    9453     746       760            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  267   1078.0  847.7   848   784 11296   896   912      898.3   706.4     706     653    9413     746       760            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  268   1080.0  849.6   848   800 11216   896   912      900.0   708.0     706     666    9346     746       760            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  269   1079.0  849.1   848   800 11584   896   912      899.2   707.6     706     666    9653     746       760            7    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  270   1079.0  849.1   848   800 11584   896   912      899.2   707.6     706     666    9653     746       760           13    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  271   1080.0  849.6   848   800 11408   896   912      900.0   708.0     706     666    9506     746       760            5    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192  240   1312.0 1082.1  1088  1056  7184  1104  1120     1093.3   901.8     906     880    5986     920       933            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  241   1319.0 1089.4  1088  1072  7232  1104  1136     1099.2   907.8     906     893    6026     920       946            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  242   1319.0 1089.4  1088  1072  7184  1104  1136     1099.2   907.8     906     893    5986     920       946            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0  8192  243   1318.0 1089.4  1088  1056  7216  1104  1136     1098.3   907.8     906     880    6013     920       946            1    2097152
