Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,1006,775.8683700561523,768.0,752,7056,784.0,1088.0,838.3333333333334,646.5569750467936,640.0,626.6666666666666,5880.0,653.3333333333334,906.6666666666666,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,65536,64,1005,775.2668914794922,768.0,752,6928,784.0,1088.0,837.5,646.0557428995768,640.0,626.6666666666666,5773.333333333333,653.3333333333334,906.6666666666666,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,262144,64,1005,775.281005859375,768.0,752,7104,784.0,1088.0,837.5,646.0675048828125,640.0,626.6666666666666,5920.0,653.3333333333334,906.6666666666666,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,524288,64,1028,798.1420288085938,768.0,752,5360,1088.0,1488.0,856.6666666666666,665.1183573404948,640.0,626.6666666666666,4466.666666666667,906.6666666666666,1240.0,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,1048576,64,1179,949.6985549926758,1072.0,752,6832,1104.0,1728.0,982.5,791.4154624938965,893.3333333333334,626.6666666666666,5693.333333333333,920.0,1440.0,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,1572864.0,64,1230,999.4977798461914,1088.0,752,6832,1120.0,1744.0,1025.0,832.9148165384928,906.6666666666666,626.6666666666666,5693.333333333333,933.3333333333334,1453.3333333333333,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,2097152,64,1256,1025.8251266479492,1088.0,752,6832,1120.0,1744.0,1046.6666666666667,854.8542722066244,906.6666666666666,626.6666666666666,5693.333333333333,933.3333333333334,1453.3333333333333,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,4194304,64,1294,1063.7017288208008,1088.0,752,5344,1184.0,1744.0,1078.3333333333333,886.4181073506674,906.6666666666666,626.6666666666666,4453.333333333333,986.6666666666666,1453.3333333333333,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,8388608,64,1310,1079.4906387329102,1088.0,752,6832,1184.0,1712.0,1091.6666666666667,899.5755322774252,906.6666666666666,626.6666666666666,5693.333333333333,986.6666666666666,1426.6666666666667,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,16777216,64,1319,1088.9355926513672,1088.0,752,5344,1200.0,1712.0,1099.1666666666667,907.4463272094727,906.6666666666666,626.6666666666666,4453.333333333333,1000.0,1426.6666666666667,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,33554432,64,1323,1092.984130859375,1088.0,752,5376,1200.0,1696.0,1102.5,910.8201090494791,906.6666666666666,626.6666666666666,4480.0,1000.0,1413.3333333333333,1,2097152
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,1326,1096.0757369995117,1088.0,752,5360,1200.0,1712.0,1105.0,913.3964474995931,906.6666666666666,626.6666666666666,4466.666666666667,1000.0,1426.6666666666667,1,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8192,64,1005,774.8420486450195,768.0,640,1200,784.0,1088.0,837.5,645.701707204183,640.0,533.3333333333334,1000.0,653.3333333333334,906.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,65536,64,1057,826.8924255371094,768.0,640,1792,1088.0,1616.0,880.8333333333334,689.0770212809244,640.0,533.3333333333334,1493.3333333333333,906.6666666666666,1346.6666666666667,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,262144,64,1268,1037.839584350586,1088.0,656,1808,1136.0,1744.0,1056.6666666666667,864.8663202921549,906.6666666666666,546.6666666666666,1506.6666666666667,946.6666666666666,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,524288,64,1295,1064.498764038086,1088.0,640,1808,1184.0,1744.0,1079.1666666666667,887.0823033650717,906.6666666666666,533.3333333333334,1506.6666666666667,986.6666666666666,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1048576,64,1313,1082.3001251220703,1088.0,640,1808,1200.0,1744.0,1094.1666666666667,901.9167709350586,906.6666666666666,533.3333333333334,1506.6666666666667,1000.0,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1572864.0,64,1319,1088.744529724121,1088.0,656,1856,1216.0,1744.0,1099.1666666666667,907.2871081034342,906.6666666666666,546.6666666666666,1546.6666666666667,1013.3333333333334,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,2097152,64,1323,1093.0664367675781,1088.0,656,1872,1232.0,1744.0,1102.5,910.8886973063151,906.6666666666666,546.6666666666666,1560.0,1026.6666666666667,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,4194304,64,1326,1095.3665390014648,1088.0,656,1904,1232.0,1744.0,1105.0,912.8054491678873,906.6666666666666,546.6666666666666,1586.6666666666667,1026.6666666666667,1453.3333333333333,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8388608,64,1322,1092.2269744873047,1088.0,656,1808,1200.0,1712.0,1101.6666666666667,910.1891454060873,906.6666666666666,546.6666666666666,1506.6666666666667,1000.0,1426.6666666666667,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,16777216,64,1323,1092.9909133911133,1088.0,656,1824,1200.0,1712.0,1102.5,910.8257611592611,906.6666666666666,546.6666666666666,1520.0,1000.0,1426.6666666666667,0,2097152
