Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Seq,Cold,0,0,8192,64,212371328,176976106.66666666,536870912,8388608,24.2686279910629,47399664.04504473
BW_DMA_WR,Seq,Cold,1,0,8192,64,212417824,177014853.33333334,536870912,8388608,24.263315846790707,47389288.76326311
BW_DMA_WR,Seq,Cold,2,0,8192,64,212417760,177014800.0,536870912,8388608,24.26332315715974,47389303.04132762
BW_DMA_WR,Seq,Cold,3,0,8192,64,212417936,177014946.66666666,536870912,8388608,24.26330305365551,47389263.77667092
BW_DMA_WR,Seq,Cold,4,0,8192,64,212377728,176981440.0,536870912,8388608,24.26789665628215,47398235.656801075
BW_DMA_WR,Seq,Cold,6,0,8192,64,212417936,177014946.66666666,536870912,8388608,24.26330305365551,47389263.77667092
BW_DMA_WR,Seq,Cold,8,0,8192,64,212377456,176981213.33333334,536870912,8388608,24.26792773711349,47398296.36154979
BW_DMA_WR,Seq,Cold,12,0,8192,64,212377648,176981373.33333334,536870912,8388608,24.267905797694866,47398253.51112279
BW_DMA_WR,Seq,Cold,16,0,8192,64,212377840,176981533.33333334,536870912,8388608,24.267883858315912,47398210.66077327
BW_DMA_WR,Seq,Cold,20,0,8192,64,212377472,176981226.66666666,536870912,8388608,24.26792590882709,47398292.79067791
BW_DMA_WR,Seq,Cold,25,0,8192,64,212417760,177014800.0,536870912,8388608,24.26332315715974,47389303.04132762
BW_DMA_WR,Seq,Cold,32,0,8192,64,212377488,176981240.0,536870912,8388608,24.267924080540965,47398289.219806574
BW_DMA_WR,Seq,Cold,41,0,8192,64,212418048,177015040.0,536870912,8388608,24.263290260533793,47389238.79010506
BW_DMA_WR,Seq,Cold,48,0,8192,64,212377472,176981226.66666666,536870912,8388608,24.26792590882709,47398292.79067791
BW_DMA_WR,Seq,Cold,63,0,8192,64,212417808,177014840.0,536870912,8388608,24.263317674382556,47389292.332778424
BW_DMA_WR,Seq,Cold,0,0,8192,64,212371296,176976080.0,536870912,8388608,24.268631647847553,47399671.187202245
BW_DMA_WR,Seq,Cold,0,1,8192,64,212732032,177276693.33333334,536870912,8388608,24.227478611213566,47319294.162526496
BW_DMA_WR,Seq,Cold,0,2,8192,64,212731728,177276440.0,536870912,8388608,24.227513233004906,47319361.7832127
BW_DMA_WR,Seq,Cold,0,3,8192,64,212731760,177276466.66666666,536870912,8388608,24.22750958860116,47319354.66523664
BW_DMA_WR,Seq,Cold,0,4,8192,64,212731760,177276466.66666666,536870912,8388608,24.22750958860116,47319354.66523664
BW_DMA_WR,Seq,Cold,0,6,8192,64,212731696,177276413.33333334,536870912,8388608,24.227516877409748,47319368.90119091
BW_DMA_WR,Seq,Cold,0,8,8192,64,212371360,176976133.33333334,536870912,8388608,24.268624334279348,47399656.90288935
