Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,128,254164256,211803546.66666666,1073741824,8388608,40.556141420609514,39605606.856063984
BW_DMA_RD,Rand,Cold,0,0,16384,128,247649808,206374840.0,1073741824,8388608,41.62297396329902,40647435.51103419
BW_DMA_RD,Rand,Cold,0,0,262144,128,246651312,205542760.0,1073741824,8388608,41.79147245079321,40811984.81522774
BW_DMA_RD,Rand,Cold,0,0,524288,128,246926624,205772186.66666666,1073741824,8388608,41.74487685216156,40766481.30093902
BW_DMA_RD,Rand,Cold,0,0,1048576,128,247049888,205874906.66666666,1073741824,8388608,41.724048506348645,40746141.1194811
BW_DMA_RD,Rand,Cold,0,0,1572864.0,128,246240112,205200093.33333334,1073741824,8388608,41.86126064789964,40880137.351464495
BW_DMA_RD,Rand,Cold,0,0,2097152,128,246235568,205196306.66666666,1073741824,8388608,41.86203315030426,40880891.74834401
BW_DMA_RD,Rand,Cold,0,0,3145728,128,246264144,205220120.0,1073741824,8388608,41.85717556348764,40876148.01121839
BW_DMA_RD,Rand,Cold,0,0,4194304,128,246476320,205396933.33333334,1073741824,8388608,41.821143347158056,40840960.29995904
BW_DMA_RD,Rand,Cold,0,0,8388608,128,246400928,205334106.66666666,1073741824,8388608,41.83393948256559,40853456.52594296
BW_DMA_RD,Rand,Cold,0,0,16777216,128,246099920,205083266.66666666,1073741824,8388608,41.88510711584141,40903424.917813875
BW_DMA_RD,Rand,Cold,0,0,33554432,128,245751696,204793080.0,1073741824,8388608,41.94445726388802,40961384.04676565
BW_DMA_RD,Rand,Cold,0,0,67108864,128,246074032,205061693.33333334,1073741824,8388608,41.88951360133766,40907728.12630631
BW_DMA_RD,Rand,DThrash,0,0,4096,128,253354208,211128506.66666666,1073741824,8388608,40.6858113459872,39732237.64256562
BW_DMA_RD,Rand,DThrash,0,0,16384,128,248130368,206775306.66666666,1073741824,8388608,41.54236175718726,40568712.65350318
BW_DMA_RD,Rand,DThrash,0,0,262144,128,246472176,205393480.0,1073741824,8388608,41.82184649678266,40841646.969514325
BW_DMA_RD,Rand,DThrash,0,0,524288,128,246836688,205697240.0,1073741824,8388608,41.76008677607925,40781334.7422649
BW_DMA_RD,Rand,DThrash,0,0,1048576,128,247047936,205873280.0,1073741824,8388608,41.724378180597306,40746463.066989556
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,128,246482720,205402266.66666666,1073741824,8388608,41.820057448246274,40839899.851803
BW_DMA_RD,Rand,DThrash,0,0,2097152,128,245939776,204949813.33333334,1073741824,8388608,41.912380656962135,40930059.235314585
BW_DMA_RD,Rand,DThrash,0,0,3145728,128,246251600,205209666.66666666,1073741824,8388608,41.859307758406445,40878230.2328188
BW_DMA_RD,Rand,DThrash,0,0,4194304,128,246194592,205162160.0,1073741824,8388608,41.86900056033725,40887695.85970434
BW_DMA_RD,Rand,DThrash,0,0,8388608,128,246250864,205209053.33333334,1073741824,8388608,41.8594328684264,40878352.410572655
BW_DMA_RD,Rand,DThrash,0,0,16777216,128,245705776,204754813.33333334,1073741824,8388608,41.952296271618785,40969039.32775272
BW_DMA_RD,Rand,DThrash,0,0,33554432,128,246255328,205212773.33333334,1073741824,8388608,41.8586740604451,40877611.38715342
BW_DMA_RD,Rand,DThrash,0,0,67108864,128,245649584,204707986.66666666,1073741824,8388608,41.96189280092573,40978410.93840404
BW_DMA_RD,Rand,DWarm,0,0,4096,128,253676112,211396760.0,1073741824,8388608,40.6341828133979,39681819.15370888
