        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0   4KB    8    986.0  730.4   736   704  2320   752   768      821.7   608.7     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB    8    986.0  730.3   736   704  2320   752   768      821.7   608.6     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   4KB    8    987.0  730.4   736   704  2320   752   768      822.5   608.7     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   4KB    8    986.0  730.4   736   704  2320   752   768      821.7   608.7     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   4KB    8    987.0  730.5   736   704  2320   752   768      822.5   608.8     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   4KB    8    986.0  730.4   736   704  2320   752   768      821.7   608.7     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   4KB    8    986.0  730.4   736   704  2320   752   768      821.7   608.7     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   4KB    8    987.0  730.5   736   704  2320   752   768      822.5   608.8     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   4KB    8    989.0  733.2   736   704  2304   752   768      824.2   611.0     613     586    1920     626       640            1    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   4KB    8    989.0  733.0   736   704  2320   752   768      824.2   610.8     613     586    1933     626       640            1    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    8    986.0  730.4   736   704  2336   752   768      821.7   608.6     613     586    1946     626       640            3    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   4KB    8    987.0  730.4   736   704  2320   752   768      822.5   608.7     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   4KB    8    987.0  730.5   736   704  2320   752   768      822.5   608.8     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   4KB    8    987.0  730.4   736   704  2320   752   768      822.5   608.6     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   4KB    8    987.0  730.3   736   704  2320   752   768      822.5   608.6     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   4KB    8    986.0  730.2   736   704  2320   752   768      821.7   608.5     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0   4KB    8    987.0  730.2   736   704  2320   752   768      822.5   608.5     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0   4KB    8    987.0  730.3   736   704  2320   752   768      822.5   608.6     613     586    1933     626       640            2    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0   4KB    8    989.0  733.0   736   704  2320   752   768      824.2   610.9     613     586    1933     626       640            3    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0   4KB    8    989.0  733.2   736   704  2336   752   768      824.2   611.0     613     586    1946     626       640            2    2097152

LAT_CMD_WRRD  Seq    Cold  0  0   8MB    8   1094.0  837.3   832   720  2320   848  1152      911.7   697.8     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   8MB    8   1094.0  837.4   832   720  2320   848  1152      911.7   697.8     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   8MB    8   1094.0  837.5   832   720  2320   848  1152      911.7   697.9     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   8MB    8   1094.0  837.2   832   704  2336   848  1152      911.7   697.7     693     586    1946     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   8MB    8   1094.0  837.4   832   720  2336   848  1152      911.7   697.8     693     600    1946     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   8MB    8   1094.0  837.5   832   720  2320   848  1152      911.7   697.9     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   8MB    8   1094.0  837.3   832   720  4192   848  1152      911.7   697.8     693     600    3493     706       960            1    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   8MB    8   1094.0  837.4   832   736  2336   848  1152      911.7   697.8     693     613    1946     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   8MB    8   1097.0  840.4   832   736  2320   848  1152      914.2   700.3     693     613    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   8MB    8   1097.0  840.3   832   720  2320   848  1152      914.2   700.3     693     600    1933     706       960            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   8MB    8   1094.0  837.5   832   720 10368   848  1152      911.7   697.9     693     600    8640     706       960            2    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   8MB    8   1094.0  837.6   832   720  2320   848  1152      911.7   698.0     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   8MB    8   1094.0  837.5   832   720  2304   848  1152      911.7   697.9     693     600    1920     706       960            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   8MB    8   1094.0  837.4   832   720  2304   848  1152      911.7   697.8     693     600    1920     706       960            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   8MB    8   1094.0  837.2   832   720  4608   848  1152      911.7   697.7     693     600    3840     706       960            1    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   8MB    8   1094.0  837.5   832   736 10160   848  1152      911.7   697.9     693     613    8466     706       960            2    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0   8MB    8   1094.0  837.5   832   704  8208   848  1152      911.7   697.9     693     586    6840     706       960            1    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0   8MB    8   1094.0  837.5   832   720  2320   848  1152      911.7   697.9     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0   8MB    8   1097.0  840.0   832   720  2320   848  1152      914.2   700.0     693     600    1933     706       960            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0   8MB    8   1096.0  840.1   832   720 10416   848  1152      913.3   700.1     693     600    8680     706       960            1    2097152

LAT_CMD_WRRD  Seq    Cold  0  0   4KB   64   1074.0  747.7   752   720   832   768   784      895.0   623.0     626     600     693     640       653            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB   64   1074.0  747.9   752   720   832   768   784      895.0   623.2     626     600     693     640       653            0    2097152
