Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,64,857,626.4341735839844,624.0,608,2128,640.0,928.0,714.1666666666666,522.0284779866537,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,773.3333333333334,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,64,857,626.5549621582031,624.0,608,2128,640.0,928.0,714.1666666666666,522.1291351318359,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,773.3333333333334,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,64,858,626.735595703125,624.0,608,2112,640.0,928.0,715.0,522.2796630859375,520.0,506.6666666666667,1760.0,533.3333333333334,773.3333333333334,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,64,860,628.4193572998047,624.0,608,2112,640.0,944.0,716.6666666666666,523.6827977498373,520.0,506.6666666666667,1760.0,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,64,860,628.3808822631836,624.0,608,2128,640.0,944.0,716.6666666666666,523.6507352193197,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,64,860,628.4046936035156,624.0,608,2128,640.0,944.0,716.6666666666666,523.6705780029297,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,64,860,628.3233261108398,624.0,608,2112,640.0,944.0,716.6666666666666,523.6027717590332,520.0,506.6666666666667,1760.0,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,64,856,624.5519943237305,624.0,560,13136,640.0,944.0,713.3333333333334,520.4599952697754,520.0,466.6666666666667,10946.666666666666,533.3333333333334,786.6666666666666,27,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,64,860,628.3463439941406,624.0,608,2128,640.0,944.0,716.6666666666666,523.6219533284506,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,64,859,628.2120971679688,624.0,608,2128,640.0,944.0,715.8333333333334,523.5100809733073,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,8388608,64,946,632.1317443847656,624.0,608,2112,640.0,944.0,788.3333333333334,526.7764536539713,520.0,506.6666666666667,1760.0,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,16777216,64,989,633.4987716674805,624.0,608,2112,640.0,944.0,824.1666666666666,527.9156430562338,520.0,506.6666666666667,1760.0,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,33554432,64,1011,634.5603103637695,624.0,608,2128,640.0,944.0,842.5,528.8002586364746,520.0,506.6666666666667,1773.3333333333333,533.3333333333334,786.6666666666666,3,2097152
LAT_CMD_RD,Rand,Cold,0,0,67108864,64,1022,634.9849624633789,624.0,608,2112,640.0,944.0,851.6666666666666,529.154135386149,520.0,506.6666666666667,1760.0,533.3333333333334,786.6666666666666,3,2097152
