#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024   64    857.0  626.4   624   608  2128   640   928      714.2   522.0     520     506    1773     533       773            3    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096   64    857.0  626.6   624   608  2128   640   928      714.2   522.1     520     506    1773     533       773            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384   64    858.0  626.7   624   608  2112   640   928      715.0   522.3     520     506    1760     533       773            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144   64    860.0  628.4   624   608  2112   640   944      716.7   523.7     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288   64    860.0  628.4   624   608  2128   640   944      716.7   523.7     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576   64    860.0  628.4   624   608  2128   640   944      716.7   523.7     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0   64    860.0  628.3   624   608  2112   640   944      716.7   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152   64    856.0  624.6   624   560 13136   640   944      713.3   520.5     520     466   10946     533       786           27    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728   64    860.0  628.3   624   608  2128   640   944      716.7   523.6     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304   64    859.0  628.2   624   608  2128   640   944      715.8   523.5     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608   64    946.0  632.1   624   608  2112   640   944      788.3   526.8     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216   64    989.0  633.5   624   608  2112   640   944      824.2   527.9     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432   64   1011.0  634.6   624   608  2128   640   944      842.5   528.8     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand    Cold  0  0 67108864   64   1022.0  635.0   624   608  2112   640   944      851.7   529.2     520     506    1760     533       786            3    2097152


  LAT_CMD_RD Rand DThrash  0  0  1024   64    848.0  616.5   624   496  1104   640   944      706.7   513.8     520     413     920     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0  4096   64    856.0  624.7   624   496  1104   640   928      713.3   520.6     520     413     920     533       773            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16384   64    856.0  625.6   624   512  1040   640   928      713.3   521.3     520     426     866     533       773            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 262144   64    858.0  626.0   624   496  1040   640   944      715.0   521.7     520     413     866     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 524288   64    858.0  626.3   624   496  1040   640   944      715.0   521.9     520     413     866     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1048576   64    857.0  626.5   624   496  1136   640   944      714.2   522.1     520     413     946     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1572864.0   64    857.0  626.6   624   496  1152   640   944      714.2   522.1     520     413     960     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 2097152   64    857.0  626.3   624   496  1072   640   944      714.2   521.9     520     413     893     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 3145728   64    857.0  626.2   624   496  1120   640   944      714.2   521.9     520     413     933     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 4194304   64    857.0  626.3   624   496  1040   640   944      714.2   521.9     520     413     866     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 8388608   64    943.0  629.6   624   496  1136   640   944      785.8   524.7     520     413     946     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16777216   64    986.0  631.1   624   496  1072   640   944      821.7   526.0     520     413     893     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 33554432   64   1008.0  632.1   624   496  1056   640   944      840.0   526.8     520     413     880     533       786            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 67108864   64   1019.0  632.5   624   496  1120   640   944      849.2   527.1     520     413     933     533       786            0    2097152


  LAT_CMD_RD Rand   DWarm  0  0  1024   64    755.0  524.2   528   496   592   544   560      629.2   436.8     440     413     493     453       466            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0  4096   64    754.0  523.8   528   496   592   544   560      628.3   436.5     440     413     493     453       466            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 16384   64    754.0  523.9   528   496   592   544   560      628.3   436.6     440     413     493     453       466            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 262144   64    755.0  524.6   528   496  2144   544   624      629.2   437.2     440     413    1786     453       520          891    2097152
  LAT_CMD_RD Rand   DWarm  0  0 524288   64    755.0  524.6   528   496  2144   544   576      629.2   437.2     440     413    1786     453       480          818    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1048576   64    756.0  525.7   528   496  2224   544   640      630.0   438.1     440     413    1853     453       533          157    2097152
  LAT_CMD_RD Rand   DWarm  0  0 1572864.0   64    767.0  536.5   528   496  1072   624   880      639.2   447.1     440     413     893     520       733            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 2097152   64    781.0  550.6   528   496  1072   624   912      650.8   458.8     440     413     893     520       760            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 3145728   64    808.0  577.8   608   496  1120   640   928      673.3   481.5     506     413     933     533       773            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 4194304   64    820.0  590.3   624   496  1072   640   944      683.3   491.9     520     413     893     533       786            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 8388608   64    926.0  612.6   624   496  1056   640   944      771.7   510.5     520     413     880     533       786            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 16777216   64    978.0  623.7   624   496  1120   640   944      815.0   519.7     520     413     933     533       786            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 33554432   64   1005.0  629.4   624   496  1136   640   944      837.5   524.5     520     413     946     533       786            0    2097152
  LAT_CMD_RD Rand   DWarm  0  0 67108864   64   1019.0  632.7   624   496  1152   640   944      849.2   527.2     520     413     960     533       786            0    2097152


  LAT_CMD_RD Rand   HWarm  0  0  1024   64    858.0  626.7   624   608  2112   640   928      715.0   522.2     520     506    1760     533       773            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0  4096   64    858.0  626.8   624   608  2112   640   928      715.0   522.4     520     506    1760     533       773            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 16384   64    858.0  626.7   624   608  2112   640   928      715.0   522.3     520     506    1760     533       773            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 262144   64    860.0  628.3   624   608  2112   640   944      716.7   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 524288   64    859.0  628.4   624   608  2112   640   944      715.8   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 1048576   64    859.0  628.3   624   608  2112   640   944      715.8   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 1572864.0   64    859.0  628.4   624   608  2112   640   944      715.8   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 2097152   64    859.0  628.3   624   608  2112   640   944      715.8   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 3145728   64    859.0  628.3   624   608  2112   640   944      715.8   523.6     520     506    1760     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 4194304   64    859.0  628.3   624   608  2128   640   944      715.8   523.6     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 8388608   64    946.0  632.1   624   608  2128   640   944      788.3   526.7     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 16777216   64    989.0  633.5   624   608  2128   640   944      824.2   528.0     520     506    1773     533       786            3    2097152
  LAT_CMD_RD Rand   HWarm  0  0 33554432   64   1007.0  631.1   624   512 10944   640   944      839.2   525.9     520     426    9120     533       786           11    2097152
  LAT_CMD_RD Rand   HWarm  0  0 67108864   64   1021.0  635.1   624   512  2112   640   944      850.8   529.2     520     426    1760     533       786            3    2097152
