        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    947.0  716.1   720   656 11392   736   752      789.2   596.7     600     546    9493     613       626           12    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB   64    964.0  734.2   736   688 11072   752   768      803.3   611.8     613     573    9226     626       640            6    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB   64    963.0  733.7   736   688 10784   752   768      802.5   611.4     613     573    8986     626       640            2    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB   64    964.0  733.7   736   688 11568   752   768      803.3   611.4     613     573    9640     626       640           10    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB   64    963.0  733.2   736   688 11296   752   768      802.5   611.0     613     573    9413     626       640           10    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB   64    965.0  735.7   736   704 11136   752   800      804.2   613.1     613     586    9280     626       666            9    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB   64    962.0  731.3   736   688 11280   752   768      801.7   609.4     613     573    9400     626       640           10    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB   64    962.0  732.0   736   688 11312   752   768      801.7   610.0     613     573    9426     626       640           10    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB   64    960.0  729.5   736   688 11328   752   768      800.0   607.9     613     573    9440     626       640           12    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB   64    963.0  733.1   736   688 11392   752   768      802.5   611.0     613     573    9493     626       640            8    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB   64    963.0  732.7   736   688 11616   752   768      802.5   610.6     613     573    9680     626       640            6    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB   64    960.0  729.7   736   704 11104   752   768      800.0   608.1     613     586    9253     626       640            6    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB   64    972.0  740.6   736   704 11472   752   784      810.0   617.2     613     586    9560     626       653            8    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB   64    968.0  736.3   736   704 11344   752   768      806.7   613.6     613     586    9453     626       640            6    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB   64    974.0  742.8   736   704 11520   752   784      811.7   619.0     613     586    9600     626       653           12    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    949.0  718.6   720   656 11408   736   752      790.8   598.9     600     546    9506     613       626            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB   64    986.0  755.1   752   688 11152   768   800      821.7   629.3     626     573    9293     640       666            6    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB   64    988.0  756.5   752   688 11616   768   800      823.3   630.4     626     573    9680     640       666           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB   64    989.0  758.0   752   688 11056   768   800      824.2   631.7     626     573    9213     640       666            6    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB   64    989.0  757.8   752   688 11520   768   800      824.2   631.5     626     573    9600     640       666           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB   64    989.0  758.1   752   688 11200   768   800      824.2   631.7     626     573    9333     640       666            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB   64    950.0  718.4   720   656 11008   736   752      791.7   598.6     600     546    9173     613       626            4    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB   64    986.0  755.0   752   688 11328   768   800      821.7   629.2     626     573    9440     640       666            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB   64    947.0  716.5   720   656 11616   736   752      789.2   597.1     600     546    9680     613       626            6    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB   64    986.0  755.0   752   688 11536   768   800      821.7   629.2     626     573    9613     640       666           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB   64    988.0  756.2   752   688 11376   768   800      823.3   630.1     626     573    9480     640       666           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB   64    946.0  715.8   720   656 11120   736   752      788.3   596.5     600     546    9266     613       626           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB   64    986.0  755.4   752   688 11552   768   800      821.7   629.5     626     573    9626     640       666           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB   64    946.0  716.5   720   656 11568   736   752      788.3   597.1     600     546    9640     613       626            6    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB   64    986.0  755.6   752   720 11520   768   800      821.7   629.7     626     600    9600     640       666           10    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    981.0  750.4   752   720 11392   768   800      817.5   625.3     626     600    9493     640       666           10    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  128    997.0  765.8   768   720 11216   800   832      830.8   638.2     640     600    9346     666       693           12    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  128    998.0  767.2   768   720 11568   816   832      831.7   639.4     640     600    9640     680       693           16    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  128    997.0  766.9   768   704 10656   800   832      830.8   639.1     640     586    8880     666       693            4    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  128   1000.0  769.0   768   720 11424   800   832      833.3   640.8     640     600    9520     666       693            8    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  128    997.0  766.5   768   704 11264   800   832      830.8   638.7     640     586    9386     666       693           14    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  128    996.0  765.5   768   720 11408   800   832      830.0   637.9     640     600    9506     666       693           12    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  128    995.0  763.9   752   720 11232   800   832      829.2   636.5     626     600    9360     666       693            8    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  128    997.0  766.4   768   720 11152   816   832      830.8   638.6     640     600    9293     680       693           12    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  128   1001.0  770.0   768   720 10864   816   832      834.2   641.7     640     600    9053     680       693            8    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  128   1002.0  771.9   768   736 11344   816   848      835.0   643.3     640     613    9453     680       706           10    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  128    998.0  766.9   768   720 11120   816   832      831.7   639.1     640     600    9266     680       693           10    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  128   1005.0  774.3   768   736 11248   832   848      837.5   645.3     640     613    9373     693       706            6    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  128    999.0  768.0   768   720 11328   816   848      832.5   640.0     640     600    9440     680       706           10    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  128   1008.0  776.9   768   736 11520   832   848      840.0   647.4     640     613    9600     693       706           16    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    981.0  750.2   752   704 11232   768   800      817.5   625.2     626     586    9360     640       666           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  128   1013.0  782.0   784   736 11776   800   832      844.2   651.6     653     613    9813     666       693           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  128   1014.0  783.2   784   736 10688   800   832      845.0   652.7     653     613    8906     666       693            4    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  128   1013.0  782.1   784   736 11520   800   832      844.2   651.7     653     613    9600     666       693           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  128   1014.0  782.2   784   736 11152   800   832      845.0   651.9     653     613    9293     666       693           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  128   1013.0  781.5   784   736 11664   800   832      844.2   651.3     653     613    9720     666       693           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  128    981.0  750.4   752   704 11328   768   800      817.5   625.4     626     586    9440     640       666            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB  128   1013.0  782.2   784   736 11584   800   832      844.2   651.9     653     613    9653     666       693           14    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB  128    982.0  751.1   752   704 11136   768   800      818.3   625.9     626     586    9280     640       666           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB  128   1013.0  782.0   784   736 11248   800   832      844.2   651.6     653     613    9373     666       693            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB  128   1013.0  782.3   784   736 10896   800   832      844.2   651.9     653     613    9080     666       693           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB  128    981.0  750.4   752   704 11296   768   800      817.5   625.4     626     586    9413     640       666            4    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB  128   1015.0  783.5   784   736 11600   800   832      845.8   652.9     653     613    9666     666       693           14    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB  128    981.0  750.2   752   704 11280   768   800      817.5   625.2     626     586    9400     640       666            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB  128   1012.0  782.1   784   736 10816   800   832      843.3   651.8     653     613    9013     666       693           10    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256   1035.0  805.4   800   768 11248   832   848      862.5   671.2     666     640    9373     693       706            8    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  256   1057.0  826.0   816   768 11520   864   896      880.8   688.3     680     640    9600     720       746           12    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  256   1055.0  824.3   816   784 11104   880   896      879.2   686.9     680     653    9253     733       746            4    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  256   1058.0  827.7   832   784 11136   864   880      881.7   689.7     693     653    9280     720       733           10    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  256   1058.0  826.4   816   784 11344   864   880      881.7   688.6     680     653    9453     720       733           10    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  256   1057.0  825.6   816   768 11344   864   896      880.8   688.0     680     640    9453     720       746           16    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  256   1052.0  821.3   816   784 11232   880   896      876.7   684.5     680     653    9360     733       746           10    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  256   1057.0  825.7   816   768 11168   864   896      880.8   688.1     680     640    9306     720       746           12    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  256   1052.0  821.4   816   784 10928   880   896      876.7   684.5     680     653    9106     733       746            2    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  256   1059.0  827.5   816   784 11248   864   896      882.5   689.6     680     653    9373     720       746           12    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  256   1058.0  826.4   816   784 11424   880   896      881.7   688.7     680     653    9520     733       746            8    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  256   1055.0  824.0   816   768 11008   864   896      879.2   686.7     680     640    9173     720       746            6    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  256   1063.0  832.6   832   784 11408   880   896      885.8   693.8     693     653    9506     733       746           14    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  256   1058.0  826.8   816   768 11312   880   896      881.7   689.0     680     640    9426     733       746            6    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  256   1066.0  835.4   832   784 11328   896   912      888.3   696.2     693     653    9440     746       760           14    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256   1040.0  809.6   816   768 11232   832   848      866.7   674.7     680     640    9360     693       706           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  256   1074.0  842.4   848   800 11440   864   944      895.0   702.0     706     666    9533     720       786           18    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  256   1070.0  839.3   832   800 11056   864   880      891.7   699.4     693     666    9213     720       733            6    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  256   1070.0  839.4   832   784 11312   864   880      891.7   699.5     693     653    9426     720       733           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  256   1070.0  839.5   832   800 11264   864   880      891.7   699.6     693     666    9386     720       733            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  256   1071.0  839.7   832   800 11376   864   896      892.5   699.8     693     666    9480     720       746            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  256   1036.0  805.4   800   768 11152   832   848      863.3   671.2     666     640    9293     693       706           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB  256   1072.0  841.0   848   800 11280   864   896      893.3   700.8     706     666    9400     720       746            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB  256   1040.0  809.4   816   768 11552   832   848      866.7   674.5     680     640    9626     693       706           14    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB  256   1072.0  840.9   848   800 11360   864   896      893.3   700.8     706     666    9466     720       746            6    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB  256   1071.0  840.2   848   800 11040   864   880      892.5   700.2     706     666    9200     720       733            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB  256   1040.0  808.9   816   752 11184   832   848      866.7   674.1     680     626    9320     693       706            4    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB  256   1070.0  838.9   832   800 11360   864   880      891.7   699.1     693     666    9466     720       733            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB  256   1039.0  808.3   816   768 11632   832   848      865.8   673.6     680     640    9693     693       706            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB  256   1070.0  839.1   832   800 11312   864   896      891.7   699.3     693     666    9426     720       746           14    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  407   1134.0  901.8   896   848 10480   944   976      945.0   751.5     746     706    8733     786       813            2    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  407   1144.0  911.4   912   864 11152   944   976      953.3   759.5     760     720    9293     786       813            8    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  407   1144.0  911.3   912   864 11504   960   976      953.3   759.5     760     720    9586     800       813           12    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  407   1149.0  915.6   912   848 10976   960   976      957.5   763.0     760     706    9146     800       813           16    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  407   1140.0  908.1   896   864 11584   960   976      950.0   756.8     746     720    9653     800       813           10    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  407   1148.0  914.7   912   848 11248   960   976      956.7   762.3     760     706    9373     800       813           10    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  407   1135.0  902.6   896   848 11568   944   976      945.8   752.2     746     706    9640     786       813            6    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  407   1149.0  916.0   912   848 11152   960   976      957.5   763.3     760     706    9293     800       813           12    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  407   1135.0  903.4   896   848 11072   944   976      945.8   752.8     746     706    9226     786       813           14    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  407   1147.0  913.5   912   848 11424   960   976      955.8   761.3     760     706    9520     800       813           10    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  407   1144.0  911.3   912   864 11312   960   976      953.3   759.5     760     720    9426     800       813            6    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  407   1140.0  908.2   896   848 11360   960   976      950.0   756.8     746     706    9466     800       813            4    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  407   1146.0  913.4   912   864 11504   960   976      955.0   761.2     760     720    9586     800       813           18    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  407   1129.0  895.7   896   848 11040   912   944      940.8   746.4     746     706    9200     760       786            8    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  407   1130.0  896.7   896   864 11184   912   944      941.7   747.2     746     720    9320     760       786            8    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  407   1139.0  906.7   896   848 11392   944   976      949.2   755.5     746     706    9493     786       813            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  407   1139.0  907.4   896   864 11296   960   976      949.2   756.2     746     720    9413     800       813           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  407   1165.0  933.1   928   880 11264   976   992      970.8   777.6     773     733    9386     813       826            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  407   1158.0  926.5   928   864 11504   976   992      965.0   772.1     773     720    9586     813       826           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  407   1165.0  933.1   928   880 11088   976   992      970.8   777.6     773     733    9240     813       826           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  407   1158.0  926.6   928   864 11072   976   992      965.0   772.2     773     720    9226     813       826            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  407   1138.0  906.7   896   848 10960   944   976      948.3   755.6     746     706    9133     786       813           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB  407   1162.0  929.9   928   880 11600   976  1120      968.3   774.9     773     733    9666     813       933           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB  407   1139.0  906.8   896   848 11456   944   976      949.2   755.7     746     706    9546     786       813           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB  407   1159.0  927.3   928   880 10832   976   992      965.8   772.7     773     733    9026     813       826            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB  407   1142.0  909.1   912   864 11456   944   976      951.7   757.6     760     720    9546     786       813           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB  407   1134.0  901.7   896   848 11392   944   976      945.0   751.4     746     706    9493     786       813           12    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB  407   1142.0  908.8   912   864 10976   944   976      951.7   757.4     760     720    9146     786       813            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB  407   1134.0  901.6   896   848 11584   944   976      945.0   751.3     746     706    9653     786       813            8    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB  407   1160.0  928.8   928   880 11104   960   992      966.7   774.0     773     733    9253     800       826           10    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  416   1115.0  882.8   880   832 11296   928   944      929.2   735.7     733     693    9413     773       786            8    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB  416   1126.0  893.1   896   832 11328   928   960      938.3   744.3     746     693    9440     773       800           16    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB  416   1121.0  889.8   880   832 11168   928   960      934.2   741.5     733     693    9306     773       800            2    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB  416   1129.0  896.2   896   832 11056   944   960      940.8   746.8     746     693    9213     786       800           10    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB  416   1121.0  889.3   880   832 11312   928   960      934.2   741.1     733     693    9426     773       800           14    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB  416   1128.0  895.5   896   832 11424   944   960      940.0   746.3     746     693    9520     786       800           10    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB  416   1115.0  883.6   880   832 11568   928   960      929.2   736.3     733     693    9640     773       800           10    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB  416   1125.0  892.8   896   832 11200   928   960      937.5   744.0     746     693    9333     773       800            4    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB  416   1116.0  884.9   880   832 10944   928   944      930.0   737.5     733     693    9120     773       786            4    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB  416   1130.0  896.3   896   832 10944   928   960      941.7   746.9     746     693    9120     773       800            8    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB  416   1125.0  892.7   880   848 11296   944   960      937.5   743.9     733     706    9413     786       800           12    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB  416   1121.0  889.6   880   832 11008   928   960      934.2   741.3     733     693    9173     773       800            8    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB  416   1105.0  874.2   880   848 11344   896   912      920.8   728.5     733     706    9453     746       760            8    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB  416   1105.0  873.6   880   832 10608   896   912      920.8   728.0     733     693    8840     746       760           10    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB  416   1108.0  877.0   880   832 11280   896   928      923.3   730.8     733     693    9400     746       773           10    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB  416   1122.0  889.7   880   832 11456   928  1072      935.0   741.4     733     693    9546     773       893           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB  416   1161.0  929.7   928   880 11648   976   992      967.5   774.7     773     733    9706     813       826           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB  416   1167.0  935.5   928   880 11008   976  1008      972.5   779.6     773     733    9173     813       840           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB  416   1161.0  929.8   928   880 11376   976   992      967.5   774.8     773     733    9480     813       826           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB  416   1164.0  932.5   928   880 11376   976   992      970.0   777.1     773     733    9480     813       826           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB  416   1162.0  930.7   928   880 11600   976  1008      968.3   775.5     773     733    9666     813       840           20    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB  416   1119.0  887.3   880   832 11264   928   960      932.5   739.4     733     693    9386     773       800           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 12   8KB  416   1163.0  930.7   928   880 10912   976   992      969.2   775.6     773     733    9093     813       826            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 16   8KB  416   1119.0  887.3   880   832 10560   928   960      932.5   739.5     733     693    8800     773       800            4    2097152
  LAT_DMA_RD  Seq   HWarm  0 20   8KB  416   1163.0  930.8   928   880 11488   976   992      969.2   775.7     773     733    9573     813       826           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 25   8KB  416   1165.0  932.7   928   880 11568   976   992      970.8   777.2     773     733    9640     813       826            6    2097152
  LAT_DMA_RD  Seq   HWarm  0 32   8KB  416   1114.0  882.9   880   832 11184   928   944      928.3   735.8     733     693    9320     773       786           10    2097152
  LAT_DMA_RD  Seq   HWarm  0 41   8KB  416   1167.0  935.5   928   880 11008   976  1008      972.5   779.6     773     733    9173     813       840           14    2097152
  LAT_DMA_RD  Seq   HWarm  0 48   8KB  416   1112.0  880.7   880   832 11344   928   960      926.7   733.9     733     693    9453     773       800            6    2097152
  LAT_DMA_RD  Seq   HWarm  0 63   8KB  416   1166.0  933.4   928   880 11312   976   992      971.7   777.8     773     733    9426     813       826            8    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1312.0 1080.5  1088  1040 11616  1104  1120     1093.3   900.4     906     866    9680     920       933           10    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB 1024   1335.0 1104.4  1104  1056 11632  1136  1168     1112.5   920.3     920     880    9693     946       973           10    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB 1024   1345.0 1113.1  1104  1056 11600  1152  1184     1120.8   927.6     920     880    9666     960       986            6    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB 1024   1335.0 1104.1  1104  1056 11680  1136  1168     1112.5   920.1     920     880    9733     946       973           12    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB 1024   1345.0 1113.1  1104  1056 11712  1152  1184     1120.8   927.6     920     880    9760     960       986           16    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB 1024   1335.0 1104.3  1104  1056 11520  1136  1168     1112.5   920.2     920     880    9600     946       973           10    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB 1024   1339.0 1107.7  1104  1056 11648  1136  1168     1115.8   923.1     920     880    9706     946       973           16    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB 1024   1337.0 1106.1  1104  1040 11072  1136  1168     1114.2   921.8     920     866    9226     946       973           12    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB 1024   1339.0 1107.7  1104  1056 11696  1136  1168     1115.8   923.1     920     880    9746     946       973           10    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB 1024   1341.0 1109.1  1104  1056 11472  1136  1168     1117.5   924.2     920     880    9560     946       973           20    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB 1024   1346.0 1115.1  1104  1056 11216  1152  1184     1121.7   929.2     920     880    9346     960       986            2    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB 1024   1333.0 1102.7  1104  1056 11664  1136  1168     1110.8   918.9     920     880    9720     946       973           10    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB 1024   1348.0 1118.3  1120  1056 11632  1152  1184     1123.3   931.9     933     880    9693     960       986           14    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB 1024   1338.0 1107.7  1104  1056 11584  1136  1168     1115.0   923.1     920     880    9653     946       973           12    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB 1024   1352.0 1121.1  1120  1056 11696  1152  1184     1126.7   934.2     933     880    9746     960       986            8    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1308.0 1077.3  1072  1040 11664  1088  1120     1090.0   897.8     893     866    9720     906       933            6    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB 1024   1343.0 1112.6  1120  1072 11536  1136  1152     1119.2   927.2     933     893    9613     946       960           16    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB 1024   1344.0 1112.7  1120  1072 11280  1136  1168     1120.0   927.2     933     893    9400     946       973           10    2097152
