        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1195.0  965.5   960   944  1040   976  1008      995.8   804.6     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0   8KB   64   1212.0  983.0   976   960  1056   992  1024     1010.0   819.2     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0   8KB   64   1212.0  983.0   976   960  1056   992  1024     1010.0   819.2     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0   8KB   64   1212.0  983.0   976   960  1056   992  1024     1010.0   819.2     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0   8KB   64   1211.0  982.0   976   960  1072   992  1024     1009.2   818.4     813     800     893     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0   8KB   64   1212.0  983.3   976   960  1056   992  1024     1010.0   819.4     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0   8KB   64   1210.0  980.1   976   960  1040   992  1024     1008.3   816.7     813     800     866     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0   8KB   64   1210.0  979.7   976   960  1040   992  1024     1008.3   816.4     813     800     866     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0   8KB   64   1209.0  978.6   976   960  1056   992  1008     1007.5   815.5     813     800     880     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0   8KB   64   1209.0  979.9   976   960  1056   992  1024     1007.5   816.6     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0   8KB   64   1208.0  978.9   976   960  1056   992  1024     1006.7   815.8     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0   8KB   64   1206.0  975.1   976   960  1056   992  1008     1005.0   812.6     813     800     880     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0   8KB   64   1213.0  984.5   992   960  1056   992  1024     1010.8   820.4     826     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0   8KB   64   1210.0  980.8   976   960  1056   992  1024     1008.3   817.3     813     800     880     826       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0   8KB   64   1217.0  987.2   992   960  1072   992  1024     1014.2   822.7     826     800     893     826       853            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1195.0  965.6   960   944  1040   976  1008      995.8   804.7     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1   8KB   64   1236.0 1005.3  1008   976  1072  1024  1040     1030.0   837.8     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2   8KB   64   1236.0 1005.0  1008   976  1072  1024  1040     1030.0   837.5     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3   8KB   64   1236.0 1005.2  1008   976  1072  1024  1040     1030.0   837.6     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4   8KB   64   1236.0 1005.1  1008   976  1088  1024  1040     1030.0   837.6     840     813     906     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  6   8KB   64   1236.0 1005.1  1008   976  1072  1024  1040     1030.0   837.6     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  8   8KB   64   1196.0  965.3   960   944  1040   976  1008      996.7   804.4     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 12   8KB   64   1236.0 1005.2  1008   976  1088  1024  1040     1030.0   837.6     840     813     906     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 16   8KB   64   1196.0  965.5   960   944  1040   976  1008      996.7   804.6     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 20   8KB   64   1236.0 1005.1  1008   976  1088  1024  1040     1030.0   837.6     840     813     906     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 25   8KB   64   1236.0 1004.9  1008   976  1072  1024  1040     1030.0   837.4     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 32   8KB   64   1196.0  965.5   960   944  1040   976  1008      996.7   804.6     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 41   8KB   64   1236.0 1004.9  1008   976  1072  1024  1040     1030.0   837.4     840     813     893     853       866            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 48   8KB   64   1195.0  965.8   960   944  1040   976  1008      995.8   804.8     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 63   8KB   64   1236.0 1005.1  1008   976  1088  1024  1040     1030.0   837.6     840     813     906     853       866            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1242.0 1011.8  1008   976  1088  1024  1056     1035.0   843.2     840     813     906     853       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0   8KB  128   1260.0 1030.2  1024   992  1152  1072  1104     1050.0   858.5     853     826     960     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0   8KB  128   1260.0 1030.0  1024   992  1152  1072  1104     1050.0   858.3     853     826     960     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0   8KB  128   1259.0 1030.3  1024   992  1152  1072  1104     1049.2   858.5     853     826     960     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0   8KB  128   1258.0 1029.1  1024   992  1136  1072  1104     1048.3   857.5     853     826     946     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0   8KB  128   1259.0 1029.7  1024   992  1136  1072  1104     1049.2   858.1     853     826     946     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0   8KB  128   1255.0 1025.5  1024   992  1136  1072  1104     1045.8   854.6     853     826     946     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0   8KB  128   1258.0 1028.3  1024   992  1136  1088  1104     1048.3   856.9     853     826     946     906       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0   8KB  128   1256.0 1026.8  1024   992  1152  1072  1088     1046.7   855.7     853     826     960     893       906            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0   8KB  128   1262.0 1031.8  1024   992  1152  1088  1104     1051.7   859.8     853     826     960     906       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0   8KB  128   1262.0 1032.4  1024   992  1152  1088  1104     1051.7   860.3     853     826     960     906       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0   8KB  128   1256.0 1026.7  1024   992  1152  1072  1088     1046.7   855.6     853     826     960     893       906            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0   8KB  128   1265.0 1035.9  1024   992  1168  1104  1120     1054.2   863.3     853     826     973     920       933            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0   8KB  128   1258.0 1028.8  1024   992  1136  1072  1104     1048.3   857.3     853     826     946     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0   8KB  128   1267.0 1037.7  1024   992  1152  1104  1120     1055.8   864.8     853     826     960     920       933            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1241.0 1012.2  1008   976  1088  1024  1056     1034.2   843.5     840     813     906     853       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1   8KB  128   1274.0 1045.0  1040  1008  1120  1056  1088     1061.7   870.9     866     840     933     880       906            0    2097152
