        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    4    932.0  700.7   704   640 11696   720   736      776.7   583.9     586     533    9746     600       613           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    8    933.0  701.9   704   640 10880   720   736      777.5   584.9     586     533    9066     600       613           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   16    937.0  705.0   704   640 11568   720   736      780.8   587.5     586     533    9640     600       613            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   24    938.0  707.2   704   640 11104   720   752      781.7   589.3     586     533    9253     600       626            4    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   32    938.0  707.5   704   640 11552   720   752      781.7   589.6     586     533    9626     600       626           10    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   48    951.0  720.7   720   656 11104   736   768      792.5   600.6     600     546    9253     613       640            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    949.0  718.6   720   656 11088   736   752      790.8   598.9     600     546    9240     613       626           16    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    982.0  750.8   752   704 11328   768   800      818.3   625.6     626     586    9440     640       666           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256   1037.0  805.4   800   768 11648   832   848      864.2   671.2     666     640    9706     693       706           20    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  512   1131.0  897.3   896   848 11328   912   944      942.5   747.7     746     706    9440     760       786           12    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  768   1233.0 1001.9  1008   960 10720  1024  1056     1027.5   834.9     840     800    8933     853       880            6    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1314.0 1082.1  1088  1040 11312  1104  1136     1095.0   901.7     906     866    9426     920       946            8    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1280   1411.0 1179.5  1168  1136 11776  1216  1248     1175.8   982.9     973     946    9813    1013      1040           14    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1520   1478.0 1246.4  1248  1216 11824  1264  1296     1231.7  1038.7    1040    1013    9853    1053      1080           20    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 2048   1646.0 1415.7  1408  1376 11904  1440  1472     1371.7  1179.8    1173    1146    9920    1200      1226           14    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    4   1168.0  936.8   944   912  1008   944   976      973.3   780.6     786     760     840     786       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    8   1168.0  936.5   944   912  1024   944   976      973.3   780.4     786     760     853     786       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   16   1169.0  938.8   944   912  1008   944   976      974.2   782.4     786     760     840     786       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   24   1171.0  942.0   944   928  1008   960   976      975.8   785.0     786     773     840     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   32   1178.0  948.2   944   928  1024   960   992      981.7   790.1     786     773     853     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   48   1197.0  968.8   976   944  1040   976  1008      997.5   807.3     813     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1195.0  965.4   960   944  1040   976  1008      995.8   804.5     800     786     866     813       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1242.0 1011.9  1008   976  1088  1024  1056     1035.0   843.2     840     813     906     853       880            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  256   1317.0 1087.0  1088  1056  1168  1104  1120     1097.5   905.8     906     880     973     920       933            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  512   1481.0 1251.0  1248  1216  1328  1264  1296     1234.2  1042.5    1040    1013    1106    1053      1080            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  768   1640.0 1409.4  1408  1360  1504  1440  1456     1366.7  1174.5    1173    1133    1253    1200      1213            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1024   1803.0 1572.1  1568  1536  1680  1584  1616     1502.5  1310.1    1306    1280    1400    1320      1346            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1280   1975.0 1745.4  1744  1712  1856  1760  1792     1645.8  1454.5    1453    1426    1546    1466      1493            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1520   2154.0 1923.5  1920  1888  2032  1952  1984     1795.0  1602.9    1600    1573    1693    1626      1653            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 2048   2485.0 2255.2  2256  2224  2368  2288  2320     2070.8  1879.3    1880    1853    1973    1906      1933            0    2097152
