Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,HWarm,0,0,8192,16,153637104,128030920.0,134217728,8388608,8.386582116257541,65520172.783262044
BW_DMA_RD,Rand,HWarm,0,0,8192,32,155981280,129984400.0,268435456,8388608,16.5210875151172,64535498.10592656
BW_DMA_RD,Rand,HWarm,0,0,8192,63,239029536,199191280.0,528482304,8388608,21.22511804733621,42113329.459000416
BW_DMA_RD,Rand,HWarm,0,0,8192,64,162243408,135202840.0,536870912,8388608,31.76684229414116,62044613.85574445
BW_DMA_RD,Rand,HWarm,0,0,8192,65,239964016,199970013.33333334,545259520,8388608,21.81365139346559,41949329.60281845
BW_DMA_RD,Rand,HWarm,0,0,8192,127,279439136,232865946.66666666,1065353216,8388608,36.5997083300458,36023334.970517516
BW_DMA_RD,Rand,HWarm,0,0,8192,128,238260928,198550773.33333334,1073741824,8388608,43.263163611954035,42249183.21479886
BW_DMA_RD,Rand,HWarm,0,0,8192,129,321590160,267991800.0,1082130432,8388608,32.30338934250973,31301733.85902106
BW_DMA_RD,Rand,HWarm,0,0,8192,192,363886096,303238413.3333333,1610612736,8388608,42.49099494474777,27663408.167153496
BW_DMA_RD,Rand,HWarm,0,0,8192,255,472903632,394086360.0,2139095040,8388608,43.42388384109513,21286217.56916428
BW_DMA_RD,Rand,HWarm,0,0,8192,256,434644464,362203720.0,2147483648,8388608,47.431509494159805,23159916.745195217
BW_DMA_RD,Rand,HWarm,0,0,8192,257,532064752,443387293.3333333,2155872256,8388608,38.89822353351458,18919369.422915652
BW_DMA_RD,Rand,HWarm,0,0,8192,320,592690192,493908493.3333333,2684354560,8388608,43.47938286112216,16984133.930125844
BW_DMA_RD,Rand,HWarm,0,0,8192,384,671719584,559766320.0,3221225472,8388608,46.036717207280354,14985910.549244905
BW_DMA_RD,Rand,HWarm,0,0,8192,511,781062992,650885826.6666666,4286578688,8388608,52.68609040024777,12887986.888514621
BW_DMA_RD,Rand,HWarm,0,0,8192,512,745055472,620879560.0,4294967296,8388608,55.34042442627681,13510845.807196487
BW_DMA_RD,Rand,HWarm,0,0,8192,513,972551072,810459226.6666666,4303355904,8388608,42.47819766775189,10350438.028204652
BW_DMA_RD,Rand,HWarm,0,0,8192,576,1019558672,849632226.6666666,4831838208,8388608,45.49580918752658,9873222.479931984
BW_DMA_RD,Rand,HWarm,0,0,8192,640,1098593216,915494346.6666666,5368709120,8388608,46.9141869814714,9162927.144818634
BW_DMA_RD,Rand,HWarm,0,0,8192,704,1226357296,1021964413.3333334,5905580032,8388608,46.229242074978444,8208317.129790206
BW_DMA_RD,Rand,HWarm,0,0,8192,767,1318280304,1098566920.0,6434062336,8388608,46.85422230627516,7635955.395416422
BW_DMA_RD,Rand,HWarm,0,0,8192,768,1277981648,1064984706.6666666,6442450944,8388608,48.39469264616545,7876740.339545158
BW_DMA_RD,Rand,HWarm,0,0,8192,769,1361271568,1134392973.3333333,6450839552,8388608,45.492803313438486,7394798.978127192
BW_DMA_RD,Rand,HWarm,0,0,8192,832,1406944032,1172453360.0,6979321856,8388608,47.622000800100054,7154747.7163611865
BW_DMA_RD,Rand,HWarm,0,0,8192,896,1479187376,1232656146.6666667,7516192768,8388608,48.780466723507246,6805310.64781072
BW_DMA_RD,Rand,HWarm,0,0,8192,960,1593773632,1328144693.3333333,8053063680,8388608,48.507146671127764,6316034.722803094
BW_DMA_RD,Rand,HWarm,0,0,8192,1023,1567236192,1306030160.0,8581545984,8388608,52.56568337748035,6422981.839868078
BW_DMA_RD,Rand,HWarm,0,0,8192,1024,1648333808,1373611506.6666667,8589934592,8388608,50.02832052765856,6106972.720661445
BW_DMA_RD,Rand,HWarm,0,0,8192,1025,1745523136,1454602613.3333333,8598323200,8388608,47.288919303101125,5766941.378426966
BW_DMA_RD,Rand,HWarm,0,0,8192,1279,2105510160,1754591800.0,10729029632,8388608,48.918635694068556,4780945.630772924
BW_DMA_RD,Rand,HWarm,0,0,8192,1280,2065269936,1721058280.0,10737418240,8388608,49.91077113321229,4874098.743477763
BW_DMA_RD,Rand,HWarm,0,0,8192,1281,2073289696,1727741413.3333333,10745806848,8388608,49.75655160001335,4855245.081968516
BW_DMA_RD,Rand,HWarm,0,0,8192,1535,2271544080,1892953400.0,12876513280,8388608,54.41872274298987,4431492.080048035
BW_DMA_RD,Rand,HWarm,0,0,8192,1536,2235319440,1862766200.0,12884901888,8388608,55.33663596859338,4503306.963589955
BW_DMA_RD,Rand,HWarm,0,0,8192,1537,2551380928,2126150773.3333333,12893290496,8388608,48.51317472950868,3945443.6182098794
BW_DMA_RD,Rand,HWarm,0,0,8192,1791,2861859280,2384882733.3333335,15023996928,8388608,50.39743621104948,3517409.004121265
BW_DMA_RD,Rand,HWarm,0,0,8192,1792,2819095792,2349246493.3333335,15032385536,8388608,51.19049219793238,3570765.3597888094
BW_DMA_RD,Rand,HWarm,0,0,8192,1793,2903178912,2419315760.0,15040774144,8388608,49.735629859245826,3467347.31310972
BW_DMA_RD,Rand,HWarm,0,0,8192,2047,3011844320,2509870266.6666665,17171480576,8388608,54.73264751267091,3342247.6497722836
BW_DMA_RD,Rand,HWarm,0,0,8192,2048,2979410368,2482841973.3333335,17179869184,8388608,55.35549783197908,3378631.4594713794
BW_DMA_WR,Rand,HWarm,0,0,8192,16,211551088,176292573.33333334,134217728,8388608,6.090680983876575,47583445.186535746
BW_DMA_WR,Rand,HWarm,0,0,8192,32,211766848,176472373.33333334,268435456,8388608,12.168950909634354,47534964.490759194
BW_DMA_WR,Rand,HWarm,0,0,8192,63,212372240,176976866.66666666,528482304,8388608,23.889328089207893,47399460.494460106
BW_DMA_WR,Rand,HWarm,0,0,8192,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Rand,HWarm,0,0,8192,65,212733760,177278133.33333334,545259520,8388608,24.605833093910434,47318909.79598161
BW_DMA_WR,Rand,HWarm,0,0,8192,127,243083872,202569893.33333334,1065353216,8388608,42.07350652041613,41410931.61458281
BW_DMA_WR,Rand,HWarm,0,0,8192,128,243083872,202569893.33333334,1073741824,8388608,42.404793973332794,41410931.61458281
BW_DMA_WR,Rand,HWarm,0,0,8192,129,382521216,318767680.0,1082130432,8388608,27.15784566365072,26315741.92214217
BW_DMA_WR,Rand,HWarm,0,0,8192,192,382521216,318767680.0,1610612736,8388608,40.420979592410376,26315741.92214217
BW_DMA_WR,Rand,HWarm,0,0,8192,255,407850544,339875453.3333333,2139095040,8388608,50.35009192975357,24681417.6126243
BW_DMA_WR,Rand,HWarm,0,0,8192,256,407850592,339875493.3333333,2147483648,8388608,50.54753732170628,24681414.707864393
BW_DMA_WR,Rand,HWarm,0,0,8192,257,553648816,461374013.3333333,2155872256,8388608,37.38177172874149,18181795.587909285
BW_DMA_WR,Rand,HWarm,0,0,8192,320,553649168,461374306.6666667,2684354560,8388608,46.545367112337104,18181784.02825668
BW_DMA_WR,Rand,HWarm,0,0,8192,384,619007888,515839906.6666667,3221225472,8388608,49.95697975855196,16262037.6818203
BW_DMA_WR,Rand,HWarm,0,0,8192,511,756086384,630071986.6666666,4286578688,8388608,54.42652622190324,13313729.50633641
BW_DMA_WR,Rand,HWarm,0,0,8192,512,756085536,630071280.0,4294967296,8388608,54.53309722036529,13313744.438565744
BW_DMA_WR,Rand,HWarm,0,0,8192,513,895904544,746587120.0,4303355904,8388608,46.11229729224367,11235939.886024285
BW_DMA_WR,Rand,HWarm,0,0,8192,576,917958080,764965066.6666666,4831838208,8388608,50.53133449928345,10966001.410434777
BW_DMA_WR,Rand,HWarm,0,0,8192,640,999606992,833005826.6666666,5368709120,8388608,51.559870993779526,10070287.303472564
BW_DMA_WR,Rand,HWarm,0,0,8192,704,1103946608,919955506.6666666,5905580032,8388608,51.35535350745876,9118493.165386854
BW_DMA_WR,Rand,HWarm,0,0,8192,767,1164503872,970419893.3333334,6434062336,8388608,53.04147105970292,8644307.539065015
BW_DMA_WR,Rand,HWarm,0,0,8192,768,1164507232,970422693.3333334,6442450944,8388608,53.11047227777113,8644282.597293478
BW_DMA_WR,Rand,HWarm,0,0,8192,769,1238159680,1031799733.3333334,6450839552,8388608,50.01621414388167,8130073.82052693
BW_DMA_WR,Rand,HWarm,0,0,8192,832,1289594816,1074662346.6666667,6979321856,8388608,51.95545840159456,7805808.053124184
BW_DMA_WR,Rand,HWarm,0,0,8192,896,1377817328,1148181106.6666667,7516192768,8388608,52.36938823925141,7305997.243199136
BW_DMA_WR,Rand,HWarm,0,0,8192,960,1484624320,1237186933.3333333,8053063680,8388608,52.073383337813034,6780388.455444406
BW_DMA_WR,Rand,HWarm,0,0,8192,1023,1512169664,1260141386.6666667,8581545984,8388608,54.479892969470384,6656878.417579471
BW_DMA_WR,Rand,HWarm,0,0,8192,1024,1513727424,1261439520.0,8589934592,8388608,54.47702854275566,6650027.898285603
BW_DMA_WR,Rand,HWarm,0,0,8192,1025,1606259264,1338549386.6666667,8598323200,8388608,51.38890375296226,6266939.4820685685
BW_DMA_WR,Rand,HWarm,0,0,8192,1279,1921156432,1600963693.3333333,10729029632,8388608,53.61285668964202,5239724.070527954
BW_DMA_WR,Rand,HWarm,0,0,8192,1280,1921161984,1600968320.0,10737418240,8388608,53.6546194243244,5239708.9281566795
BW_DMA_WR,Rand,HWarm,0,0,8192,1281,1977161104,1647634253.3333333,10745806848,8388608,52.17569045440821,5091304.689149904
BW_DMA_WR,Rand,HWarm,0,0,8192,1535,2268254832,1890212360.0,12876513280,8388608,54.497636572432526,4437918.287657372
BW_DMA_WR,Rand,HWarm,0,0,8192,1536,2271854592,1893212160.0,12884901888,8388608,54.44673200493282,4430886.393630601
BW_DMA_WR,Rand,HWarm,0,0,8192,1537,2359729216,1966441013.3333333,12893290496,8388608,52.4533018120669,4265883.361423789
BW_DMA_WR,Rand,HWarm,0,0,8192,1791,2676879952,2230733293.3333335,15023996928,8388608,53.88002939804601,3760471.0635152156
BW_DMA_WR,Rand,HWarm,0,0,8192,1792,2676882992,2230735826.6666665,15032385536,8388608,53.91005194357782,3760466.792939301
BW_DMA_WR,Rand,HWarm,0,0,8192,1793,2750940976,2292450813.3333335,15040774144,8388608,52.48801520720087,3659231.400390467
BW_DMA_WR,Rand,HWarm,0,0,8192,2047,3026185680,2521821400.0,17171480576,8388608,54.47326468400974,3326408.4443093394
BW_DMA_WR,Rand,HWarm,0,0,8192,2048,3028080496,2523400413.3333335,17179869184,8388608,54.46577275084433,3324326.950124776
BW_DMA_RW,Rand,HWarm,0,0,8192,16,111559504,92966253.33333333,67108864,4194304,5.774901028602637,45116414.285958104
BW_DMA_RW,Rand,HWarm,0,0,8192,32,111659424,93049520.0,134217728,4194304,11.539466555012858,45076041.230518974
BW_DMA_RW,Rand,HWarm,0,0,8192,63,123043680,102536400.0,264241152,4194304,20.616378339789577,40905512.578947574
BW_DMA_RW,Rand,HWarm,0,0,8192,64,112616800,93847333.33333333,268435456,4194304,22.882734881474168,44692841.56537924
BW_DMA_RW,Rand,HWarm,0,0,8192,65,125565104,104637586.66666667,272629760,4194304,20.843734545865544,40084104.89589528
BW_DMA_RW,Rand,HWarm,0,0,8192,127,153569392,127974493.33333333,532676608,4194304,33.298923504235795,32774531.008106098
BW_DMA_RW,Rand,HWarm,0,0,8192,128,152780720,127317266.66666667,536870912,4194304,33.73436618966058,32943716.982090406
BW_DMA_RW,Rand,HWarm,0,0,8192,129,191362864,159469053.33333334,541065216,4194304,27.143333690908804,26301679.93305117
BW_DMA_RW,Rand,HWarm,0,0,8192,192,211326176,176105146.66666666,805306368,4194304,36.5829793503669,23817043.847895116
BW_DMA_RW,Rand,HWarm,0,0,8192,255,256154240,213461866.66666666,1069547520,4194304,40.083881461419494,19648961.500695832
