Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,128,243804736,203170613.33333334,1073741824,8388608,42.27941458200385,41288490.80273814
BW_DMA_RD,Rand,Cold,0,0,16384,128,242979920,202483266.66666666,1073741824,8388608,42.42293564999116,41428648.09569449
BW_DMA_RD,Rand,Cold,0,0,262144,128,243129808,202608173.33333334,1073741824,8388608,42.39678217654003,41403107.594277374
BW_DMA_RD,Rand,Cold,0,0,524288,128,247362432,206135360.0,1073741824,8388608,41.6713299067176,40694658.11202891
BW_DMA_RD,Rand,Cold,0,0,1048576,128,371940192,309950160.0,1073741824,8388608,27.713922109283633,27064377.059847303
BW_DMA_RD,Rand,Cold,0,0,1572864.0,128,428139584,356782986.6666667,1073741824,8388608,24.076076811435403,23511793.761167385
BW_DMA_RD,Rand,Cold,0,0,2097152,128,462154112,385128426.6666667,1073741824,8388608,22.30407832095628,21781326.485308863
BW_DMA_RD,Rand,Cold,0,0,3145728,128,496672592,413893826.6666667,1073741824,8388608,20.753956784472617,20267535.922336537
BW_DMA_RD,Rand,Cold,0,0,4194304,128,515777120,429814266.6666667,1073741824,8388608,19.9852244519881,19516820.753894627
BW_DMA_RD,Rand,Cold,0,0,8388608,128,542061536,451717946.6666667,1073741824,8388608,19.016146370510967,18570455.439952116
BW_DMA_RD,Rand,Cold,0,0,16777216,128,556521712,463768093.3333333,1073741824,8388608,18.52204736694981,18087936.881786924
BW_DMA_RD,Rand,Cold,0,0,33554432,128,563662912,469719093.3333333,1073741824,8388608,18.287386469734592,17858775.849350188
BW_DMA_RD,Rand,Cold,0,0,67108864,128,567426016,472855013.3333333,1073741824,8388608,18.166106628427837,17740338.50432406
BW_DMA_RD,Rand,DThrash,0,0,4096,128,243823504,203186253.33333334,1073741824,8388608,42.27616017855276,41285312.67436793
BW_DMA_RD,Rand,DThrash,0,0,16384,128,242983184,202485986.66666666,1073741824,8388608,42.42236578149375,41428091.58349
BW_DMA_RD,Rand,DThrash,0,0,262144,128,243131744,202609786.66666666,1073741824,8388608,42.39644458109098,41402777.91122167
BW_DMA_RD,Rand,DThrash,0,0,524288,128,260060496,216717080.0,1073741824,8388608,39.636629434099056,38707645.931737356
BW_DMA_RD,Rand,DThrash,0,0,1048576,128,372146992,310122493.3333333,1073741824,8388608,27.698521637923115,27049337.53703429
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,128,428400288,357000240.0,1073741824,8388608,24.061425258425597,23497485.603931244
BW_DMA_RD,Rand,DThrash,0,0,2097152,128,461392880,384494066.6666667,1073741824,8388608,22.34087684751442,21817262.5464008
BW_DMA_RD,Rand,DThrash,0,0,3145728,128,496833952,414028293.3333333,1073741824,8388608,20.747216386693317,20260953.502630193
BW_DMA_RD,Rand,DThrash,0,0,4194304,128,515626384,429688653.3333333,1073741824,8388608,19.991066846571606,19522526.217355084
BW_DMA_RD,Rand,DThrash,0,0,8388608,128,542011104,451675920.0,1073741824,8388608,19.0179157480877,18572183.347741894
BW_DMA_RD,Rand,DThrash,0,0,16777216,128,556558096,463798413.3333333,1073741824,8388608,18.520836520901135,18086754.414942514
BW_DMA_RD,Rand,DThrash,0,0,33554432,128,563483504,469569586.6666667,1073741824,8388608,18.293209006523107,17864461.92043272
BW_DMA_RD,Rand,DThrash,0,0,67108864,128,567351616,472793013.3333333,1073741824,8388608,18.16848885189392,17742664.894427657
BW_DMA_RD,Rand,DWarm,0,0,4096,128,236336064,196946720.0,1073741824,8388608,43.61552501102836,42593286.14358239
BW_DMA_RD,Rand,DWarm,0,0,16384,128,236335008,196945840.0,1073741824,8388608,43.61571989537834,42593476.46033041
BW_DMA_RD,Rand,DWarm,0,0,262144,128,236405424,197004520.0,1073741824,8388608,43.60272846531643,42580789.516910575
BW_DMA_RD,Rand,DWarm,0,0,524288,128,238408480,198673733.33333334,1073741824,8388608,43.23638786002914,42223035.019559704
BW_DMA_RD,Rand,DWarm,0,0,1048576,128,354171552,295142960.0,1073741824,8388608,29.104318097236675,28422185.64183269
BW_DMA_RD,Rand,DWarm,0,0,1572864.0,128,423364000,352803333.3333333,1073741824,8388608,24.347657123420984,23777008.909590803
BW_DMA_RD,Rand,DWarm,0,0,2097152,128,459413344,382844453.3333333,1073741824,8388608,22.437139985206873,21911269.516803585
BW_DMA_RD,Rand,DWarm,0,0,3145728,128,496295632,413579693.3333333,1073741824,8388608,20.769720396007838,20282930.074226405
BW_DMA_RD,Rand,DWarm,0,0,4194304,128,515437888,429531573.3333333,1073741824,8388608,19.998377593848904,19529665.61899307
BW_DMA_RD,Rand,DWarm,0,0,8388608,128,542671184,452225986.6666667,1073741824,8388608,18.9947832394948,18549593.00731914
BW_DMA_RD,Rand,DWarm,0,0,16777216,128,557433952,464528293.3333333,1073741824,8388608,18.49173605844518,18058335.994575374
BW_DMA_RD,Rand,DWarm,0,0,33554432,128,564206768,470172306.6666667,1073741824,8388608,18.269758703780738,17841561.234160878
BW_DMA_RD,Rand,DWarm,0,0,67108864,128,568276912,473564093.3333333,1073741824,8388608,18.13890603811826,17713775.427849866
BW_DMA_RD,Rand,HWarm,0,0,4096,128,238300800,198584000.0,1073741824,8388608,43.255924908351126,42242114.16831164
BW_DMA_RD,Rand,HWarm,0,0,16384,128,238242720,198535600.0,1073741824,8388608,43.266470053733435,42252412.16184906
BW_DMA_RD,Rand,HWarm,0,0,262144,128,238234608,198528840.0,1073741824,8388608,43.267943297306324,42253850.8762757
BW_DMA_RD,Rand,HWarm,0,0,524288,128,240407968,200339973.33333334,1073741824,8388608,42.87678813707206,41871863.41510943
BW_DMA_RD,Rand,HWarm,0,0,1048576,128,357931440,298276200.0,1073741824,8388608,28.79859201639286,28123625.016008653
BW_DMA_RD,Rand,HWarm,0,0,1572864.0,128,416750320,347291933.3333333,1073741824,8388608,24.734045820048802,24154341.621141408
BW_DMA_RD,Rand,HWarm,0,0,2097152,128,449772096,374810080.0,1073741824,8388608,22.918099193063323,22380956.243225902
BW_DMA_RD,Rand,HWarm,0,0,3145728,128,488609392,407174493.3333333,1073741824,8388608,21.096445707290048,20601997.761025436
BW_DMA_RD,Rand,HWarm,0,0,4194304,128,507250624,422708853.3333333,1073741824,8388608,20.321160827985498,19844883.62107959
BW_DMA_RD,Rand,HWarm,0,0,8388608,128,538648544,448873786.6666667,1073741824,8388608,19.13663672763961,18688121.804335557
BW_DMA_RD,Rand,HWarm,0,0,16777216,128,556935504,464112920.0,1073741824,8388608,18.508285854227026,18074497.904518582
BW_DMA_RD,Rand,HWarm,0,0,33554432,128,563412752,469510626.6666667,1073741824,8388608,18.295506223117933,17866705.296013605
BW_DMA_RD,Rand,HWarm,0,0,67108864,128,566511104,472092586.6666667,1073741824,8388608,18.195444780549263,17768989.043505136
