Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,Cold,0,0,4096,8,806,574.1302108764648,576.0,560,2448,576.0,768.0,671.6666666666666,478.441842397054,480.0,466.6666666666667,2040.0,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,1,0,4096,8,806,574.1182327270508,576.0,560,2464,576.0,768.0,671.6666666666666,478.43186060587567,480.0,466.6666666666667,2053.3333333333335,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,2,0,4096,8,806,574.145263671875,576.0,560,2448,576.0,768.0,671.6666666666666,478.4543863932292,480.0,466.6666666666667,2040.0,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,3,0,4096,8,806,574.2220611572266,576.0,560,2448,576.0,768.0,671.6666666666666,478.5183842976888,480.0,466.6666666666667,2040.0,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,4,0,4096,8,806,574.3432083129883,576.0,560,2448,576.0,768.0,671.6666666666666,478.61934026082355,480.0,466.6666666666667,2040.0,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,6,0,4096,8,806,574.1389846801758,576.0,560,2544,576.0,768.0,671.6666666666666,478.4491539001465,480.0,466.6666666666667,2120.0,480.0,640.0,2,2097152
LAT_CMD_RD,Seq,Cold,8,0,4096,8,806,574.4036636352539,576.0,560,2448,576.0,784.0,671.6666666666666,478.6697196960449,480.0,466.6666666666667,2040.0,480.0,653.3333333333334,1,2097152
LAT_CMD_RD,Seq,Cold,16,0,4096,8,805,574.2587509155273,576.0,560,2448,576.0,768.0,670.8333333333334,478.54895909627277,480.0,466.6666666666667,2040.0,480.0,640.0,1,2097152
LAT_CMD_RD,Seq,Cold,32,0,4096,8,809,576.9190979003906,576.0,560,2448,592.0,784.0,674.1666666666666,480.7659149169922,480.0,466.6666666666667,2040.0,493.3333333333333,653.3333333333334,1,2097152
LAT_CMD_RD,Seq,Cold,48,0,4096,8,809,576.9250411987305,576.0,560,2448,592.0,784.0,674.1666666666666,480.7708676656087,480.0,466.6666666666667,2040.0,493.3333333333333,653.3333333333334,1,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,740,508.3945007324219,512.0,464,2336,512.0,544.0,616.6666666666666,423.6620839436849,426.6666666666667,386.6666666666667,1946.6666666666667,426.6666666666667,453.3333333333333,1,2097152
LAT_CMD_RD,Seq,HWarm,1,0,4096,8,739,507.2367935180664,512.0,464,2368,512.0,528.0,615.8333333333334,422.697327931722,426.6666666666667,386.6666666666667,1973.3333333333333,426.6666666666667,440.0,2,2097152
LAT_CMD_RD,Seq,HWarm,2,0,4096,8,739,507.3648910522461,512.0,464,2368,512.0,528.0,615.8333333333334,422.80407587687176,426.6666666666667,386.6666666666667,1973.3333333333333,426.6666666666667,440.0,2,2097152
