        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0   4KB    8    806.0  574.1   576   560  2448   576   768      671.7   478.4     480     466    2040     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  1  0   4KB    8    806.0  574.1   576   560  2464   576   768      671.7   478.4     480     466    2053     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  2  0   4KB    8    806.0  574.1   576   560  2448   576   768      671.7   478.5     480     466    2040     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  3  0   4KB    8    806.0  574.2   576   560  2448   576   768      671.7   478.5     480     466    2040     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  4  0   4KB    8    806.0  574.3   576   560  2448   576   768      671.7   478.6     480     466    2040     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  6  0   4KB    8    806.0  574.1   576   560  2544   576   768      671.7   478.4     480     466    2120     480       640            2    2097152
  LAT_CMD_RD  Seq    Cold  8  0   4KB    8    806.0  574.4   576   560  2448   576   784      671.7   478.7     480     466    2040     480       653            1    2097152
  LAT_CMD_RD  Seq    Cold 16  0   4KB    8    805.0  574.3   576   560  2448   576   768      670.8   478.5     480     466    2040     480       640            1    2097152
  LAT_CMD_RD  Seq    Cold 32  0   4KB    8    809.0  576.9   576   560  2448   592   784      674.2   480.8     480     466    2040     493       653            1    2097152
  LAT_CMD_RD  Seq    Cold 48  0   4KB    8    809.0  576.9   576   560  2448   592   784      674.2   480.8     480     466    2040     493       653            1    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8    740.0  508.4   512   464  2336   512   544      616.7   423.7     426     386    1946     426       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   4KB    8    739.0  507.2   512   464  2368   512   528      615.8   422.7     426     386    1973     426       440            2    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   4KB    8    739.0  507.4   512   464  2368   512   528      615.8   422.8     426     386    1973     426       440            2    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   4KB    8    738.0  507.2   512   464  2528   512   528      615.0   422.6     426     386    2106     426       440            2    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   4KB    8    739.0  507.3   512   464  2400   512   544      615.8   422.8     426     386    2000     426       453            2    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   4KB    8    738.0  506.5   512   464  2448   512   528      615.0   422.1     426     386    2040     426       440            2    2097152
  LAT_CMD_RD  Seq   HWarm  8  0   4KB    8    739.0  506.3   512   464  2448   512   528      615.8   421.9     426     386    2040     426       440            2    2097152
  LAT_CMD_RD  Seq   HWarm 16  0   4KB    8    738.0  506.2   512   464  2464   512   528      615.0   421.9     426     386    2053     426       440            2    2097152
