        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0   1KB    8    806.0  574.4   576   560  2656   576   768      671.7   478.7     480     466    2213     480       640            1    2097152
  LAT_CMD_RD Rand    Cold  0  0   4KB    8    806.0  574.1   576   560  2448   576   768      671.7   478.4     480     466    2040     480       640            1    2097152
  LAT_CMD_RD Rand    Cold  0  0  16KB    8    826.0  594.2   592   576  2448   608   784      688.3   495.1     493     480    2040     506       653            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 256KB    8    826.0  594.1   592   576  2464   608   784      688.3   495.1     493     480    2053     506       653            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 512KB    8    832.0  600.5   592   576  2624   608   960      693.3   500.4     493     480    2186     506       800            4    2097152
  LAT_CMD_RD Rand    Cold  0  0   1MB    8   1008.0  776.8   928   576  2448   960  1152      840.0   647.3     773     480    2040     800       960            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1.5MB    8   1068.0  836.2   944   576  2528   960  1184      890.0   696.9     786     480    2106     800       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   2MB    8   1098.0  865.8   944   576  2480   960  1184      915.0   721.5     786     480    2066     800       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   3MB    8   1127.0  895.1   944   576  2448   960  1184      939.2   745.9     786     480    2040     800       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   4MB    8   1141.0  909.8   944   576  2448   960  1184      950.8   758.2     786     480    2040     800       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0   8MB    8   1243.0  931.6   944   576  2544   976  1184     1035.8   776.3     786     480    2120     813       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  16MB    8   1295.0  942.6   944   576  2448   976  1184     1079.2   785.5     786     480    2040     813       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  32MB    8   1320.0  948.3   944   576  2496   976  1184     1100.0   790.2     786     480    2080     813       986            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  64MB    8   1333.0  950.7   944   576  2496   976  1200     1110.8   792.2     786     480    2080     813      1000            0    2097152

  LAT_CMD_RD Rand DThrash  0  0   1KB    8    800.0  568.5   576   464   944   576   768      666.7   473.7     480     386     786     480       640            0    2097152
  LAT_CMD_RD Rand DThrash  0  0   4KB    8    800.0  568.4   576   464   992   576   768      666.7   473.7     480     386     826     480       640            0    2097152
