#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8    900.0  643.6   640   624  2640   656   672      750.0   536.3     533     520    2200     546       560            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8    899.0  643.2   640   624  2608   656   672      749.2   536.0     533     520    2173     546       560            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8    899.0  643.1   640   624  2608   656   672      749.2   535.9     533     520    2173     546       560            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8    900.0  643.3   640   624  2608   656   736      750.0   536.1     533     520    2173     546       613            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8    906.0  649.8   640   624  2608   656  1024      755.0   541.5     533     520    2173     546       853            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8   1084.0  828.5   992   624  2672  1008  1200      903.3   690.4     826     520    2226     840      1000            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8   1157.0  901.1  1008   624  2624  1120  1264      964.2   750.9     840     520    2186     933      1053            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8   1199.0  943.5  1008   624  2624  1120  1280      999.2   786.3     840     520    2186     933      1066            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8   1250.0  994.2  1008   624  2640  1104  1296     1041.7   828.5     840     520    2200     920      1080            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8   1276.0 1020.7  1088   624  2688  1104  1296     1063.3   850.5     906     520    2240     920      1080            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   1397.0 1060.3  1088   624  2752  1120  1312     1164.2   883.6     906     520    2293     933      1093            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   1458.0 1080.4  1088   624  2608  1120  1344     1215.0   900.4     906     520    2173     933      1120            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432    8   1489.0 1090.5  1088   624  2608  1120  1344     1240.8   908.7     906     520    2173     933      1120            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1503.0 1095.9  1088   624  2640  1136  1344     1252.5   913.3     906     520    2200     946      1120            0    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024    8    900.0  643.7   640   624  2544   656   672      750.0   536.4     533     520    2120     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0  4096    8    899.0  643.2   640   624  2496   656   672      749.2   536.0     533     520    2080     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16384    8    900.0  643.1   640   624  2656   656   672      750.0   535.9     533     520    2213     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 262144    8    900.0  643.8   640   624  2736   656  1008      750.0   536.5     533     520    2280     546       840            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 524288    8    968.0  711.4   640   624  2496  1008  1168      806.7   592.8     533     520    2080     840       973            0    2097152
