        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64    980.0  746.5   736   720  2416   752   944      816.7   622.1     613     600    2013     626       786            7   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64    917.0  682.0   688   640  2384   688   704      764.2   568.3     573     533    1986     573       586            7   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64   1269.0 1035.2  1024   720  2464  1056  1280     1057.5   862.6     853     600    2053     880      1066            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64   1255.0 1020.9  1024   640  2448  1056  1264     1045.8   850.7     853     533    2040     880      1053            0   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   1683.0 1448.3  1440  1408  3184  1520  1696     1402.5  1206.9    1200    1173    2653    1266      1413            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   1612.0 1377.9  1376  1344  3216  1392  1424     1343.3  1148.2    1146    1120    2680    1160      1186            0   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   1966.0 1732.2  1728  1424  3296  1776  1984     1638.3  1443.5    1440    1186    2746    1480      1653            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   1953.0 1719.0  1728  1344  3296  1760  1984     1627.5  1432.5    1440    1120    2746    1466      1653            0   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1183.0  951.3   944   928  2752   960   976      985.8   792.7     786     773    2293     800       813            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   1184.0  951.1   944   928  2672   960   976      986.7   792.6     786     773    2226     800       813            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1462.0 1228.8  1232   928  2784  1248  1440     1218.3  1024.0    1026     773    2320    1040      1200            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   1441.0 1207.7  1232   928  2720  1248  1440     1200.8  1006.5    1026     773    2266    1040      1200            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   2465.0 2232.3  2224  2208  4000  2256  2288     2054.2  1860.2    1853    1840    3333    1880      1906            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   2465.0 2232.4  2224  2208  3888  2256  2288     2054.2  1860.3    1853    1840    3240    1880      1906            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   2690.0 2456.9  2448  2208  4016  2480  2656     2241.7  2047.4    2040    1840    3346    2066      2213            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   2686.0 2453.1  2448  2208  4048  2480  2656     2238.3  2044.2    2040    1840    3373    2066      2213            0   16777216
