#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192   64    904.0  673.1   672   640  2576   688   704      753.3   560.9     560     533    2146     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  1  0  8192   64    922.0  690.9   688   656  2544   704   720      768.3   575.7     573     546    2120     586       600            1    2097152
  LAT_DMA_RD  Seq   HWarm  2  0  8192   64    923.0  690.7   688   656  2512   704   720      769.2   575.6     573     546    2093     586       600            1    2097152
  LAT_DMA_RD  Seq   HWarm  3  0  8192   64    923.0  691.6   688   656  2544   704   720      769.2   576.3     573     546    2120     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm  4  0  8192   64    921.0  689.7   688   656  2656   704   720      767.5   574.8     573     546    2213     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm  6  0  8192   64    923.0  691.5   688   656  2576   704   720      769.2   576.2     573     546    2146     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm  8  0  8192   64    919.0  687.2   688   656  2624   704   720      765.8   572.6     573     546    2186     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 12  0  8192   64    919.0  687.0   688   656  2592   704   720      765.8   572.5     573     546    2160     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 16  0  8192   64    918.0  686.1   688   656  2512   704   720      765.0   571.8     573     546    2093     586       600            1    2097152
  LAT_DMA_RD  Seq   HWarm 20  0  8192   64    919.0  687.6   688   656  2512   704   720      765.8   573.0     573     546    2093     586       600            1    2097152
  LAT_DMA_RD  Seq   HWarm 25  0  8192   64    919.0  687.0   688   656  2560   704   720      765.8   572.5     573     546    2133     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 32  0  8192   64    917.0  684.6   688   656  2528   704   720      764.2   570.5     573     546    2106     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 41  0  8192   64    927.0  695.5   688   672  2544   704   720      772.5   579.6     573     560    2120     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 48  0  8192   64    924.0  691.2   688   672  2560   704   720      770.0   576.0     573     560    2133     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm 63  0  8192   64    930.0  697.7   704   672  2544   704   736      775.0   581.4     586     560    2120     586       613            2    2097152


  LAT_DMA_RD  Seq   HWarm  0  0  8192   64    907.0  675.5   672   640  2592   688   704      755.8   562.9     560     533    2160     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  1  8192   64    946.0  715.3   720   672  2752   720   736      788.3   596.1     600     560    2293     600       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  2  8192   64    946.0  715.0   720   672  2784   720   736      788.3   595.8     600     560    2320     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  3  8192   64    946.0  715.0   720   672  2576   720   736      788.3   595.9     600     560    2146     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  4  8192   64    946.0  715.2   720   672  2752   720   736      788.3   596.0     600     560    2293     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  6  8192   64    944.0  713.0   720   672  2608   720   736      786.7   594.2     600     560    2173     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  8  8192   64    906.0  674.7   672   640  2672   688   704      755.0   562.2     560     533    2226     573       586            3    2097152
  LAT_DMA_RD  Seq   HWarm  0 12  8192   64    946.0  713.9   720   672  2560   720   736      788.3   594.9     600     560    2133     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 16  8192   64    905.0  674.5   672   640  2528   688   704      754.2   562.1     560     533    2106     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 20  8192   64    946.0  714.0   720   672  2592   720   736      788.3   595.0     600     560    2160     600       613            3    2097152
  LAT_DMA_RD  Seq   HWarm  0 25  8192   64    945.0  714.0   720   672  2720   720   736      787.5   595.0     600     560    2266     600       613            1    2097152
  LAT_DMA_RD  Seq   HWarm  0 32  8192   64    906.0  674.4   672   640  2512   688   704      755.0   562.0     560     533    2093     573       586            1    2097152
  LAT_DMA_RD  Seq   HWarm  0 41  8192   64    945.0  713.9   720   672  2560   720   736      787.5   594.9     600     560    2133     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 48  8192   64    905.0  674.3   672   640  2544   688   704      754.2   561.9     560     533    2120     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0 63  8192   64    946.0  714.2   720   672  2576   720   736      788.3   595.1     600     560    2146     600       613            2    2097152


  LAT_DMA_RD  Seq   HWarm  0  0  8192  128    938.0  707.7   704   672  2640   720   736      781.7   589.7     586     560    2200     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  1  0  8192  128    957.0  725.8   720   688  2608   768   784      797.5   604.9     600     573    2173     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm  2  0  8192  128    958.0  725.9   720   688  2560   768   784      798.3   604.9     600     573    2133     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm  3  0  8192  128    958.0  725.9   720   688  2560   768   784      798.3   605.0     600     573    2133     640       653            1    2097152
  LAT_DMA_RD  Seq   HWarm  4  0  8192  128    957.0  725.9   720   688  2544   768   784      797.5   604.9     600     573    2120     640       653            1    2097152
  LAT_DMA_RD  Seq   HWarm  6  0  8192  128    957.0  726.1   720   688  2576   768   784      797.5   605.1     600     573    2146     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm  8  0  8192  128    952.0  720.6   720   688  2688   768   784      793.3   600.5     600     573    2240     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm 12  0  8192  128    955.0  723.6   720   688  2624   768   784      795.8   603.0     600     573    2186     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm 16  0  8192  128    957.0  725.0   720   688  2576   768   784      797.5   604.2     600     573    2146     640       653            2    2097152
  LAT_DMA_RD  Seq   HWarm 20  0  8192  128    961.0  729.8   720   704  2688   784   800      800.8   608.1     600     586    2240     653       666            2    2097152
  LAT_DMA_RD  Seq   HWarm 25  0  8192  128    961.0  730.2   720   704  2576   784   800      800.8   608.5     600     586    2146     653       666            1    2097152
