        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    4    891.0  659.7   656   624  2784   672   688      742.5   549.8     546     520    2320     560       573            3    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB    8    891.0  659.7   656   624  2512   672   688      742.5   549.7     546     520    2093     560       573            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   16    894.0  662.1   656   624  2528   672   688      745.0   551.8     546     520    2106     560       573            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   24    898.0  665.7   672   624  2672   672   688      748.3   554.7     560     520    2226     560       573            4    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   32    899.0  668.2   672   624  2768   672   704      749.2   556.8     560     520    2306     560       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   48    909.0  676.5   672   640  2544   688   704      757.5   563.8     560     533    2120     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    904.0  673.3   672   640  2640   688   704      753.3   561.1     560     533    2200     573       586            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  128    938.0  706.3   704   672  2560   720   736      781.7   588.6     586     560    2133     600       613            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    987.0  755.5   752   720  2608   768   800      822.5   629.6     626     600    2173     640       666            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  512   1081.0  850.7   848   816  2816   864   896      900.8   708.9     706     680    2346     720       746            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  768   1180.0  950.2   944   912  2800   976  1008      983.3   791.9     786     760    2333     813       840            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1024   1263.0 1031.9  1040   992  2880  1040  1072     1052.5   860.0     866     826    2400     866       893            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1280   1358.0 1126.4  1120  1088  2992  1152  1184     1131.7   938.6     933     906    2493     960       986            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 1520   1437.0 1206.1  1200  1184  3072  1216  1248     1197.5  1005.1    1000     986    2560    1013      1040            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB 2048   1601.0 1370.8  1376  1344  3360  1392  1424     1334.2  1142.3    1146    1120    2800    1160      1186            0    2097152

LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    4   1140.0  909.6   912   896  2752   912   944      950.0   758.0     760     746    2293     760       786            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB    8   1140.0  909.5   912   896  2768   912   944      950.0   757.9     760     746    2306     760       786            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   16   1145.0  913.2   912   896  2720   928   944      954.2   761.0     760     746    2266     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   24   1151.0  918.9   912   896  2864   928   944      959.2   765.7     760     746    2386     773       786            1    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   32   1154.0  922.8   928   912  2704   928   944      961.7   769.0     773     760    2253     773       786            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   48   1168.0  937.4   944   912  2704   944   960      973.3   781.2     786     760    2253     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB   64   1168.0  937.8   944   928  2704   944   960      973.3   781.5     786     773    2253     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  128   1215.0  985.1   992   960  2912  1008  1008     1012.5   820.9     826     800    2426     840       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  256   1292.0 1062.5  1056  1040  3024  1072  1104     1076.7   885.4     880     866    2520     893       920            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  512   1448.0 1217.9  1216  1200  3056  1232  1264     1206.7  1014.9    1013    1000    2546    1026      1053            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB  768   1612.0 1382.5  1376  1344  3216  1408  1424     1343.3  1152.1    1146    1120    2680    1173      1186            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1024   1768.0 1538.2  1536  1520  3392  1552  1584     1473.3  1281.8    1280    1266    2826    1293      1320            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1280   1944.0 1714.5  1712  1680  3584  1728  1760     1620.0  1428.8    1426    1400    2986    1440      1466            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 1520   2118.0 1888.3  1888  1872  3680  1904  1936     1765.0  1573.6    1573    1560    3066    1586      1613            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  0   8KB 2048   2451.0 2221.0  2224  2192  4160  2240  2272     2042.5  1850.8    1853    1826    3466    1866      1893            0    2097152
