Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_WR,Rand,Cold,0,0,4096,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,Cold,0,0,16384,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Rand,Cold,0,0,262144,64,212381056,176984213.33333334,536870912,8388608,24.267516379615326,47397492.92893618
BW_DMA_WR,Rand,Cold,0,0,524288,64,212379984,176983320.0,536870912,8388608,24.267638871278944,47397732.170466684
BW_DMA_WR,Rand,Cold,0,0,1048576,64,212381344,176984453.33333334,536870912,8388608,24.26748347161792,47397428.65550375
BW_DMA_WR,Rand,Cold,0,0,1572864.0,64,212382144,176985120.0,536870912,8388608,24.267392060982303,47397250.11910606
BW_DMA_WR,Rand,Cold,0,0,2097152,64,212381936,176984946.66666666,536870912,8388608,24.267415827681315,47397296.53844006
BW_DMA_WR,Rand,Cold,0,0,3145728,64,212378320,176981933.33333334,536870912,8388608,24.267829010042078,47398103.53523844
BW_DMA_WR,Rand,Cold,0,0,4194304,64,212376752,176980626.66666666,536870912,8388608,24.26800818198783,47398453.480444975
BW_DMA_WR,Rand,Cold,0,0,8388608,64,212375200,176979333.33333334,536870912,8388608,24.268185528253767,47398799.85987064
BW_DMA_WR,Rand,Cold,0,0,16777216,64,212376816,176980680.0,536870912,8388608,24.268000868795397,47398439.196866006
BW_DMA_WR,Rand,Cold,0,0,33554432,64,212372640,176977200.0,536870912,8388608,24.26847806384099,47399371.21843944
BW_DMA_WR,Rand,Cold,0,0,67108864,64,212372736,176977280.0,536870912,8388608,24.268467093629194,47399349.792244524
BW_DMA_WR,Rand,DThrash,0,0,4096,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DThrash,0,0,16384,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Rand,DThrash,0,0,262144,64,212372272,176976893.33333334,536870912,8388608,24.26852011641143,47399453.352366075
BW_DMA_WR,Rand,DThrash,0,0,524288,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Rand,DThrash,0,0,1048576,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Rand,DThrash,0,0,1572864.0,64,212382480,176985400.0,536870912,8388608,24.2673536687207,47397175.134220116
BW_DMA_WR,Rand,DThrash,0,0,2097152,64,212372368,176976973.33333334,536870912,8388608,24.268509146161612,47399431.9260969
BW_DMA_WR,Rand,DThrash,0,0,3145728,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DThrash,0,0,4194304,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Rand,DThrash,0,0,8388608,64,212372224,176976853.33333334,536870912,8388608,24.268525601540055,47399464.06550792
BW_DMA_WR,Rand,DThrash,0,0,16777216,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Rand,DThrash,0,0,33554432,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DThrash,0,0,67108864,64,212372384,176976986.66666666,536870912,8388608,24.26850731778761,47399428.355053924
BW_DMA_WR,Rand,DWarm,0,0,4096,64,212372256,176976880.0,536870912,8388608,24.268521944787363,47399456.92341282
BW_DMA_WR,Rand,DWarm,0,0,16384,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DWarm,0,0,262144,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DWarm,0,0,524288,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Rand,DWarm,0,0,1048576,64,212372192,176976826.66666666,536870912,8388608,24.268529258293857,47399471.20760518
BW_DMA_WR,Rand,DWarm,0,0,1572864.0,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DWarm,0,0,2097152,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Rand,DWarm,0,0,3145728,64,212372320,176976933.33333334,536870912,8388608,24.26851463128528,47399442.63922907
BW_DMA_WR,Rand,DWarm,0,0,4194304,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DWarm,0,0,8388608,64,212372336,176976946.66666666,536870912,8388608,24.26851280291045,47399439.06818447
BW_DMA_WR,Rand,DWarm,0,0,16777216,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,DWarm,0,0,33554432,64,212372208,176976840.0,536870912,8388608,24.26852742991682,47399467.63655629
BW_DMA_WR,Rand,DWarm,0,0,67108864,64,212372288,176976906.66666666,536870912,8388608,24.268518288035775,47399449.78131987
BW_DMA_WR,Rand,HWarm,0,0,4096,64,212372240,176976866.66666666,536870912,8388608,24.268523773163576,47399460.494460106
BW_DMA_WR,Rand,HWarm,0,0,16384,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
BW_DMA_WR,Rand,HWarm,0,0,262144,64,212379264,176982720.0,536870912,8388608,24.26772114249346,47397892.856432535
BW_DMA_WR,Rand,HWarm,0,0,524288,64,212380768,176983973.33333334,536870912,8388608,24.267549287701982,47397557.20254293
BW_DMA_WR,Rand,HWarm,0,0,1048576,64,212381168,176984306.66666666,536870912,8388608,24.267503582050175,47397467.933691755
BW_DMA_WR,Rand,HWarm,0,0,1572864.0,64,212381088,176984240.0,536870912,8388608,24.267512723166764,47397485.787435085
BW_DMA_WR,Rand,HWarm,0,0,2097152,64,212381776,176984813.33333334,536870912,8388608,24.267434109789153,47397332.24568194
BW_DMA_WR,Rand,HWarm,0,0,3145728,64,212377712,176981426.66666666,536870912,8388608,24.267898484564146,47398239.227664344
BW_DMA_WR,Rand,HWarm,0,0,4194304,64,212377360,176981133.33333334,536870912,8388608,24.267938706837676,47398317.78679234
BW_DMA_WR,Rand,HWarm,0,0,8388608,64,212374448,176978706.66666666,536870912,8388608,24.268271459850954,47398967.69502139
BW_DMA_WR,Rand,HWarm,0,0,16777216,64,212373760,176978133.33333334,536870912,8388608,24.268350078653782,47399121.24737067
BW_DMA_WR,Rand,HWarm,0,0,33554432,64,212372496,176977080.0,536870912,8388608,24.268494519177285,47399403.35776813
BW_DMA_WR,Rand,HWarm,0,0,67108864,64,212372304,176976920.0,536870912,8388608,24.26851645966039,47399446.2102742
