        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD  Seq    Cold  0  0   4KB    8    808.0  576.2   576   560  1952   592   784      673.3   480.2     480     466    1626     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  1  0   4KB    8    808.0  576.1   576   560  1968   592   784      673.3   480.1     480     466    1640     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  2  0   4KB    8    808.0  576.3   576   560  1968   592   784      673.3   480.2     480     466    1640     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  3  0   4KB    8    808.0  576.2   576   560  1968   592   784      673.3   480.2     480     466    1640     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  4  0   4KB    8    808.0  576.3   576   560  1968   592   784      673.3   480.2     480     466    1640     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  6  0   4KB    8    808.0  576.2   576   560  1984   592   784      673.3   480.2     480     466    1653     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold  8  0   4KB    8    808.0  576.2   576   560  1968   592   784      673.3   480.2     480     466    1640     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold 16  0   4KB    8    808.0  576.4   576   560  1952   592   784      673.3   480.3     480     466    1626     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold 32  0   4KB    8    810.0  578.8   576   560  2000   592   784      675.0   482.4     480     466    1666     493       653            2    2097152
  LAT_CMD_RD  Seq    Cold 48  0   4KB    8    810.0  578.8   576   560  1968   592   784      675.0   482.3     480     466    1640     493       653            2    2097152

  LAT_CMD_RD  Seq   HWarm  0  0   4KB    8    740.0  509.5   512   464  1856   528   544      616.7   424.6     426     386    1546     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  1  0   4KB    8    740.0  509.3   512   464  1856   528   544      616.7   424.4     426     386    1546     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  2  0   4KB    8    740.0  509.4   512   464  1840   528   544      616.7   424.5     426     386    1533     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  3  0   4KB    8    740.0  509.4   512   464  1856   528   544      616.7   424.5     426     386    1546     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  4  0   4KB    8    741.0  509.6   512   464  1856   528   544      617.5   424.7     426     386    1546     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  6  0   4KB    8    740.0  509.4   512   464  1856   528   544      616.7   424.5     426     386    1546     440       453            1    2097152
  LAT_CMD_RD  Seq   HWarm  8  0   4KB    8    741.0  509.4   512   464  1856   528   544      617.5   424.5     426     386    1546     440       453            1    2097152
