Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Seq,Cold,0,0,4096,8,901,644.7348861694336,640.0,624,2128,656.0,672.0,750.8333333333334,537.2790718078613,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,1,2097152
LAT_CMD_WRRD,Seq,Cold,1,0,4096,8,901,644.8417282104492,640.0,624,2144,656.0,672.0,750.8333333333334,537.368106842041,533.3333333333334,520.0,1786.6666666666667,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,2,0,4096,8,900,644.7290802001953,640.0,624,2128,656.0,672.0,750.0,537.2742335001627,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,3,0,4096,8,901,644.7462005615234,640.0,624,2176,656.0,672.0,750.8333333333334,537.2885004679362,533.3333333333334,520.0,1813.3333333333333,546.6666666666666,560.0,3,2097152
LAT_CMD_WRRD,Seq,Cold,4,0,4096,8,900,644.8329467773438,640.0,624,2128,656.0,672.0,750.0,537.3607889811198,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,6,0,4096,8,900,644.7364120483398,640.0,624,2128,656.0,672.0,750.0,537.2803433736166,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,8,0,4096,8,900,644.7541961669922,640.0,624,2128,656.0,672.0,750.0,537.2951634724935,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,16,0,4096,8,901,644.743782043457,640.0,624,2128,656.0,672.0,750.8333333333334,537.2864850362142,533.3333333333334,520.0,1773.3333333333333,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,32,0,4096,8,903,647.191650390625,640.0,624,2144,656.0,672.0,752.5,539.3263753255209,533.3333333333334,520.0,1786.6666666666667,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,Cold,48,0,4096,8,903,647.2027740478516,640.0,624,2144,656.0,672.0,752.5,539.3356450398763,533.3333333333334,520.0,1786.6666666666667,546.6666666666666,560.0,2,2097152
