Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Rand,Cold,0,0,1024,8,808,576.3590850830078,576.0,560,1952,592.0,784.0,673.3333333333334,480.29923756917316,480.0,466.6666666666667,1626.6666666666667,493.3333333333333,653.3333333333334,1,2097152
LAT_CMD_RD,Rand,Cold,0,0,4096,8,808,576.1692123413086,576.0,560,1968,592.0,784.0,673.3333333333334,480.1410102844238,480.0,466.6666666666667,1640.0,493.3333333333333,653.3333333333334,1,2097152
LAT_CMD_RD,Rand,Cold,0,0,16384,8,808,576.2067947387695,576.0,560,1968,592.0,784.0,673.3333333333334,480.1723289489746,480.0,466.6666666666667,1640.0,493.3333333333333,653.3333333333334,1,2097152
LAT_CMD_RD,Rand,Cold,0,0,262144,8,807,576.1418304443359,576.0,544,1968,576.0,768.0,672.5,480.1181920369466,480.0,453.3333333333333,1640.0,480.0,640.0,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,524288,8,807,576.0664596557617,576.0,544,1968,592.0,768.0,672.5,480.0553830464681,480.0,453.3333333333333,1640.0,493.3333333333333,640.0,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,1048576,8,808,576.1638488769531,576.0,544,2064,592.0,768.0,673.3333333333334,480.13654073079425,480.0,453.3333333333333,1720.0,493.3333333333333,640.0,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,1572864.0,8,808,576.1389923095703,576.0,544,2192,592.0,768.0,673.3333333333334,480.1158269246419,480.0,453.3333333333333,1826.6666666666667,493.3333333333333,640.0,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,2097152,8,808,576.2356262207031,576.0,544,1968,592.0,784.0,673.3333333333334,480.19635518391925,480.0,453.3333333333333,1640.0,493.3333333333333,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,3145728,8,808,576.0940856933594,576.0,560,2096,592.0,784.0,673.3333333333334,480.0784047444661,480.0,466.6666666666667,1746.6666666666667,493.3333333333333,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,4194304,8,808,576.2244186401367,576.0,560,1984,592.0,768.0,673.3333333333334,480.18701553344727,480.0,466.6666666666667,1653.3333333333333,493.3333333333333,640.0,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,8388608,8,887,576.1227798461914,576.0,560,1952,576.0,784.0,739.1666666666666,480.10231653849286,480.0,466.6666666666667,1626.6666666666667,480.0,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,16777216,8,929,576.5996932983398,576.0,560,2000,592.0,784.0,774.1666666666666,480.4997444152832,480.0,466.6666666666667,1666.6666666666667,493.3333333333333,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,33554432,8,949,576.2259521484375,576.0,560,1968,592.0,784.0,790.8333333333334,480.18829345703125,480.0,466.6666666666667,1640.0,493.3333333333333,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,Cold,0,0,67108864,8,959,576.2380065917969,576.0,560,1968,592.0,784.0,799.1666666666666,480.1983388264974,480.0,466.6666666666667,1640.0,493.3333333333333,653.3333333333334,2,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1024,8,808,576.268196105957,576.0,560,928,592.0,784.0,673.3333333333334,480.2234967549642,480.0,466.6666666666667,773.3333333333334,493.3333333333333,653.3333333333334,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4096,8,804,572.1273040771484,576.0,464,928,576.0,784.0,670.0,476.7727533976237,480.0,386.6666666666667,773.3333333333334,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16384,8,805,573.6555709838867,576.0,464,944,592.0,784.0,670.8333333333334,478.04630915323895,480.0,386.6666666666667,786.6666666666666,493.3333333333333,653.3333333333334,0,2097152
LAT_CMD_RD,Rand,DThrash,0,0,262144,8,806,573.9938659667969,576.0,464,1872,576.0,768.0,671.6666666666666,478.3282216389974,480.0,386.6666666666667,1560.0,480.0,640.0,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,524288,8,806,573.8771896362305,576.0,464,1856,592.0,768.0,671.6666666666666,478.2309913635254,480.0,386.6666666666667,1546.6666666666667,493.3333333333333,640.0,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1048576,8,805,573.5634613037109,576.0,464,1984,576.0,784.0,670.8333333333334,477.9695510864258,480.0,386.6666666666667,1653.3333333333333,480.0,653.3333333333334,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,1572864.0,8,806,573.8255920410156,576.0,464,1840,576.0,768.0,671.6666666666666,478.187993367513,480.0,386.6666666666667,1533.3333333333333,480.0,640.0,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,2097152,8,805,574.0395126342773,576.0,464,1872,576.0,768.0,670.8333333333334,478.36626052856445,480.0,386.6666666666667,1560.0,480.0,640.0,2,2097152
LAT_CMD_RD,Rand,DThrash,0,0,3145728,8,805,573.8261260986328,576.0,464,1856,576.0,768.0,670.8333333333334,478.18843841552734,480.0,386.6666666666667,1546.6666666666667,480.0,640.0,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,4194304,8,805,574.0126571655273,576.0,464,1888,576.0,768.0,670.8333333333334,478.34388097127277,480.0,386.6666666666667,1573.3333333333333,480.0,640.0,2,2097152
LAT_CMD_RD,Rand,DThrash,0,0,8388608,8,886,573.9423217773438,576.0,464,1856,576.0,784.0,738.3333333333334,478.28526814778644,480.0,386.6666666666667,1546.6666666666667,480.0,653.3333333333334,1,2097152
LAT_CMD_RD,Rand,DThrash,0,0,16777216,8,926,574.095573425293,576.0,464,1888,592.0,784.0,771.6666666666666,478.4129778544108,480.0,386.6666666666667,1573.3333333333333,493.3333333333333,653.3333333333334,1,2097152
