#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024    8    808.0  576.4   576   560  1952   592   784      673.3   480.3     480     466    1626     493       653            1    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096    8    808.0  576.2   576   560  1968   592   784      673.3   480.1     480     466    1640     493       653            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384    8    808.0  576.2   576   560  1968   592   784      673.3   480.2     480     466    1640     493       653            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144    8    807.0  576.1   576   544  1968   576   768      672.5   480.1     480     453    1640     480       640            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288    8    807.0  576.1   576   544  1968   592   768      672.5   480.1     480     453    1640     493       640            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576    8    808.0  576.2   576   544  2064   592   768      673.3   480.1     480     453    1720     493       640            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0    8    808.0  576.1   576   544  2192   592   768      673.3   480.1     480     453    1826     493       640            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152    8    808.0  576.2   576   544  1968   592   784      673.3   480.2     480     453    1640     493       653            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728    8    808.0  576.1   576   560  2096   592   784      673.3   480.1     480     466    1746     493       653            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304    8    808.0  576.2   576   560  1984   592   768      673.3   480.2     480     466    1653     493       640            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608    8    887.0  576.1   576   560  1952   576   784      739.2   480.1     480     466    1626     480       653            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216    8    929.0  576.6   576   560  2000   592   784      774.2   480.5     480     466    1666     493       653            2    2097152
