#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0  1024    8    900.0  644.7   640   624  2192   656   672      750.0   537.3     533     520    1826     546       560            3    2097152
LAT_CMD_WRRD Rand    Cold  0  0  4096    8    901.0  644.7   640   624  2144   656   672      750.8   537.3     533     520    1786     546       560            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16384    8    901.0  644.8   640   624  2128   656   672      750.8   537.3     533     520    1773     546       560            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 262144    8    901.0  644.9   640   624  2128   656   736      750.8   537.4     533     520    1773     546       613            4    2097152
LAT_CMD_WRRD Rand    Cold  0  0 524288    8    902.0  645.1   640   624  2128   656   752      751.7   537.6     533     520    1773     546       626            2    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1048576    8    901.0  645.6   640   624  2368   656   752      750.8   538.0     533     520    1973     546       626            1    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1572864.0    8    916.0  658.7   640   624  2112   752   864      763.3   548.9     533     520    1760     626       720            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 2097152    8    926.0  669.1   640   624  2128   736   912      771.7   557.6     533     520    1773     613       760            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 3145728    8    948.0  691.6   720   624  2128   736   928      790.0   576.3     600     520    1773     613       773            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 4194304    8    960.0  703.1   736   624  2128   752   928      800.0   585.9     613     520    1773     626       773            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 8388608    8   1057.0  720.1   736   624  2112   752   928      880.8   600.1     613     520    1760     626       773            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 16777216    8   1106.0  728.6   736   624  2128   752   944      921.7   607.1     613     520    1773     626       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 33554432    8   1131.0  733.2   736   624  2144   752   944      942.5   611.0     613     520    1786     626       786            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1144.0  735.2   736   624  2128   752   944      953.3   612.7     613     520    1773     626       786            0    2097152


LAT_CMD_WRRD Rand DThrash  0  0  1024    8    901.0  644.7   640   624  2016   656   672      750.8   537.2     533     520    1680     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0  4096    8    901.0  644.7   640   624  2032   656   672      750.8   537.3     533     520    1693     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16384    8    901.0  644.7   640   624  2048   656   672      750.8   537.2     533     520    1706     546       560            1    2097152
LAT_CMD_WRRD Rand DThrash  0  0 262144    8    900.0  645.0   640   624   992   656   736      750.0   537.5     533     520     826     546       613            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 524288    8    901.0  645.2   640   624  1008   656   752      750.8   537.6     533     520     840     546       626            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1048576    8    902.0  645.6   640   624  1008   656   752      751.7   538.0     533     520     840     546       626            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 1572864.0    8    915.0  658.5   640   624  2128   752   864      762.5   548.8     533     520    1773     626       720            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 2097152    8    925.0  668.9   640   624  2128   736   912      770.8   557.4     533     520    1773     613       760            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 3145728    8    948.0  691.4   720   624  2016   736   928      790.0   576.2     600     520    1680     613       773            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 4194304    8    959.0  702.9   736   624  2128   752   928      799.2   585.7     613     520    1773     626       773            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 8388608    8   1057.0  720.1   736   624  2016   752   944      880.8   600.1     613     520    1680     626       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 16777216    8   1106.0  728.8   736   624  2000   752   944      921.7   607.4     613     520    1666     626       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 33554432    8   1131.0  733.1   736   624  2000   752   944      942.5   610.9     613     520    1666     626       786            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 67108864    8   1144.0  735.4   736   624  2096   752   944      953.3   612.9     613     520    1746     626       786            0    2097152


LAT_CMD_WRRD Rand   DWarm  0  0  1024    8    901.0  644.8   640   624  2128   656   672      750.8   537.3     533     520    1773     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0  4096    8    901.0  644.8   640   624  2016   656   672      750.8   537.4     533     520    1680     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 16384    8    901.0  644.7   640   624  2016   656   672      750.8   537.2     533     520    1680     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 262144    8    900.0  644.8   640   624  2016   656   672      750.0   537.3     533     520    1680     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 524288    8    900.0  644.7   640   624  2032   656   672      750.0   537.2     533     520    1693     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1048576    8    901.0  644.8   640   624  2032   656   672      750.8   537.3     533     520    1693     546       560            1    2097152
LAT_CMD_WRRD Rand   DWarm  0  0 1572864.0    8    914.0  657.6   640   624  2048   752   864      761.7   548.0     533     520    1706     626       720            0    2097152
