        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0   8KB   64    979.0  744.9   736   720  2176   752   944      815.8   620.7     613     600    1813     626       786            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB   64    913.0  678.8   672   640  2128   688   704      760.8   565.7     560     533    1773     573       586            1   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB   64    980.0  745.3   736   720  2144   752   944      816.7   621.1     613     600    1786     626       786            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB   64    965.0  731.0   736   640  2208   752   944      804.2   609.2     613     533    1840     626       786            0   16777216
  LAT_DMA_RD Rand    Cold  0  0   8KB 2048   1682.0 1447.5  1440  1408  2816  1520  1696     1401.7  1206.2    1200    1173    2346    1266      1413            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0   8KB 2048   1610.0 1375.6  1376  1344  2848  1392  1424     1341.7  1146.3    1146    1120    2373    1160      1186            0   16777216
  LAT_DMA_RD Rand    Cold  0  0  64MB 2048   1682.0 1448.2  1440  1408  2928  1504  1696     1401.7  1206.8    1200    1173    2440    1253      1413            0   16777216
  LAT_DMA_RD Rand   HWarm  0  0  64MB 2048   1668.0 1434.2  1440  1344  2864  1472  1680     1390.0  1195.1    1200    1120    2386    1226      1400            0   16777216

LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1183.0  950.0   944   928  2528   960   976      985.8   791.6     786     773    2106     800       813            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB   64   1182.0  949.9   944   928  2240   960   976      985.0   791.6     786     773    1866     800       813            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1183.0  950.2   944   928  2432   960  1040      985.8   791.8     786     773    2026     800       866            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB   64   1183.0  950.8   944   928  2480   960  1024      985.8   792.3     786     773    2066     800       853            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0   8KB 2048   2465.0 2231.9  2224  2208  3536  2256  2288     2054.2  1859.9    1853    1840    2946    1880      1906            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0   8KB 2048   2465.0 2231.9  2224  2208  3584  2256  2288     2054.2  1859.9    1853    1840    2986    1880      1906            0   16777216
LAT_DMA_WRRD Rand    Cold  0  0  64MB 2048   2565.0 2331.1  2336  2208  3648  2352  2448     2137.5  1942.6    1946    1840    3040    1960      2040            0   16777216
LAT_DMA_WRRD Rand   HWarm  0  0  64MB 2048   2554.0 2321.4  2336  2208  3664  2352  2432     2128.3  1934.5    1946    1840    3053    1960      2026            0   16777216
