Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,909,676.9760665893555,672.0,640,2080,688.0,704.0,757.5,564.1467221577963,560.0,533.3333333333334,1733.3333333333333,573.3333333333334,586.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,64,925,693.4988021850586,688.0,656,2192,704.0,720.0,770.8333333333334,577.9156684875488,573.3333333333334,546.6666666666666,1826.6666666666667,586.6666666666666,600.0,2,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,64,927,694.5100173950195,688.0,656,2064,704.0,720.0,772.5,578.758347829183,573.3333333333334,546.6666666666666,1720.0,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,64,927,694.9070053100586,688.0,656,2032,704.0,720.0,772.5,579.0891710917155,573.3333333333334,546.6666666666666,1693.3333333333333,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,64,926,693.270378112793,688.0,656,2032,704.0,720.0,771.6666666666666,577.7253150939941,573.3333333333334,546.6666666666666,1693.3333333333333,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,64,927,694.9641036987305,688.0,656,2064,704.0,720.0,772.5,579.1367530822754,573.3333333333334,546.6666666666666,1720.0,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,64,924,691.2725067138672,688.0,656,2064,704.0,720.0,770.0,576.060422261556,573.3333333333334,546.6666666666666,1720.0,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,64,924,691.139274597168,688.0,656,2096,704.0,720.0,770.0,575.94939549764,573.3333333333334,546.6666666666666,1746.6666666666667,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,16,0,8192,64,920,688.3112487792969,688.0,656,2080,704.0,720.0,766.6666666666666,573.5927073160807,573.3333333333334,546.6666666666666,1733.3333333333333,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,20,0,8192,64,923,690.9409103393555,688.0,656,2048,704.0,720.0,769.1666666666666,575.7840919494629,573.3333333333334,546.6666666666666,1706.6666666666667,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,25,0,8192,64,922,690.1223602294922,688.0,656,2096,704.0,720.0,768.3333333333334,575.1019668579102,573.3333333333334,546.6666666666666,1746.6666666666667,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,32,0,8192,64,919,687.6887359619141,688.0,656,2064,704.0,720.0,765.8333333333334,573.0739466349283,573.3333333333334,546.6666666666666,1720.0,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,41,0,8192,64,929,697.3780212402344,704.0,672,2048,704.0,736.0,774.1666666666666,581.1483510335287,586.6666666666666,560.0,1706.6666666666667,586.6666666666666,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,48,0,8192,64,926,693.7105102539062,688.0,672,2048,704.0,720.0,771.6666666666666,578.0920918782552,573.3333333333334,560.0,1706.6666666666667,586.6666666666666,600.0,0,2097152
LAT_DMA_RD,Seq,HWarm,63,0,8192,64,932,700.4630508422852,704.0,672,2096,704.0,736.0,776.6666666666666,583.7192090352377,586.6666666666666,560.0,1746.6666666666667,586.6666666666666,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,908,676.2546157836914,672.0,640,2032,688.0,704.0,756.6666666666666,563.5455131530762,560.0,533.3333333333334,1693.3333333333333,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,1,8192,64,946,715.8936614990234,720.0,672,2128,736.0,752.0,788.3333333333334,596.5780512491862,600.0,560.0,1773.3333333333333,613.3333333333334,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,2,8192,64,947,715.8479995727539,720.0,672,2096,736.0,752.0,789.1666666666666,596.5399996439616,600.0,560.0,1746.6666666666667,613.3333333333334,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,3,8192,64,947,716.0514526367188,720.0,672,2112,736.0,752.0,789.1666666666666,596.7095438639323,600.0,560.0,1760.0,613.3333333333334,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,4,8192,64,947,716.0775146484375,720.0,672,2208,736.0,752.0,789.1666666666666,596.7312622070312,600.0,560.0,1840.0,613.3333333333334,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,6,8192,64,948,716.5951461791992,720.0,672,2080,720.0,752.0,790.0,597.1626218159994,600.0,560.0,1733.3333333333333,600.0,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,8,8192,64,908,677.3615112304688,672.0,640,2016,688.0,704.0,756.6666666666666,564.4679260253906,560.0,533.3333333333334,1680.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,12,8192,64,948,716.6739883422852,720.0,672,2048,720.0,752.0,790.0,597.2283236185709,600.0,560.0,1706.6666666666667,600.0,626.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,16,8192,64,909,677.3077392578125,672.0,640,2128,688.0,704.0,757.5,564.4231160481771,560.0,533.3333333333334,1773.3333333333333,573.3333333333334,586.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,0,20,8192,64,948,716.701530456543,720.0,672,2240,720.0,752.0,790.0,597.2512753804525,600.0,560.0,1866.6666666666667,600.0,626.6666666666666,1,2097152
LAT_DMA_RD,Seq,HWarm,0,25,8192,64,945,714.2283782958984,720.0,672,2224,720.0,736.0,787.5,595.190315246582,600.0,560.0,1853.3333333333333,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,32,8192,64,906,674.6966171264648,672.0,640,2064,688.0,704.0,755.0,562.2471809387207,560.0,533.3333333333334,1720.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,41,8192,64,945,714.2954177856445,720.0,672,2112,720.0,736.0,787.5,595.2461814880371,600.0,560.0,1760.0,600.0,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,48,8192,64,905,674.6991500854492,672.0,640,2048,688.0,704.0,754.1666666666666,562.2492917378744,560.0,533.3333333333334,1706.6666666666667,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,63,8192,64,945,714.1883850097656,720.0,672,2208,720.0,736.0,787.5,595.1569875081381,600.0,560.0,1840.0,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,939,707.6819076538086,704.0,672,2192,720.0,736.0,782.5,589.7349230448405,586.6666666666666,560.0,1826.6666666666667,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,128,958,727.7589569091797,720.0,688,2160,768.0,784.0,798.3333333333334,606.4657974243164,600.0,573.3333333333334,1800.0,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,128,959,727.5614776611328,720.0,688,2080,768.0,784.0,799.1666666666666,606.3012313842773,600.0,573.3333333333334,1733.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,128,959,727.7480545043945,720.0,688,2096,768.0,784.0,799.1666666666666,606.4567120869955,600.0,573.3333333333334,1746.6666666666667,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,128,957,725.922981262207,720.0,688,2080,768.0,784.0,797.5,604.9358177185059,600.0,573.3333333333334,1733.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,128,958,726.3706741333008,720.0,688,2176,768.0,784.0,798.3333333333334,605.308895111084,600.0,573.3333333333334,1813.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,128,953,721.1517105102539,720.0,688,2128,768.0,784.0,794.1666666666666,600.9597587585449,600.0,573.3333333333334,1773.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,128,956,724.2287292480469,720.0,688,2080,768.0,784.0,796.6666666666666,603.5239410400391,600.0,573.3333333333334,1733.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,16,0,8192,128,957,725.41552734375,720.0,704,2080,768.0,784.0,797.5,604.512939453125,600.0,586.6666666666666,1733.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,20,0,8192,128,961,730.083366394043,720.0,704,2128,784.0,800.0,800.8333333333334,608.4028053283691,600.0,586.6666666666666,1773.3333333333333,653.3333333333334,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,25,0,8192,128,963,732.2408905029297,720.0,704,2176,784.0,800.0,802.5,610.2007420857748,600.0,586.6666666666666,1813.3333333333333,653.3333333333334,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,32,0,8192,128,958,725.8509292602539,720.0,688,2096,768.0,784.0,798.3333333333334,604.8757743835449,600.0,573.3333333333334,1746.6666666666667,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,41,0,8192,128,967,736.1765213012695,736.0,704,2144,784.0,800.0,805.8333333333334,613.4804344177246,613.3333333333334,586.6666666666666,1786.6666666666667,653.3333333333334,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,48,0,8192,128,959,727.3229141235352,720.0,688,2080,768.0,784.0,799.1666666666666,606.1024284362793,600.0,573.3333333333334,1733.3333333333333,640.0,653.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,63,0,8192,128,969,737.2390670776367,736.0,704,2080,784.0,800.0,807.5,614.3658892313639,613.3333333333334,586.6666666666666,1733.3333333333333,653.3333333333334,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,940,708.4994277954102,704.0,672,2048,720.0,736.0,783.3333333333334,590.4161898295084,586.6666666666666,560.0,1706.6666666666667,600.0,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,1,8192,128,971,740.0757446289062,736.0,704,2144,752.0,768.0,809.1666666666666,616.7297871907552,613.3333333333334,586.6666666666666,1786.6666666666667,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,2,8192,128,971,740.197151184082,736.0,704,2128,752.0,768.0,809.1666666666666,616.8309593200684,613.3333333333334,586.6666666666666,1773.3333333333333,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,3,8192,128,971,740.1766052246094,736.0,704,2128,752.0,768.0,809.1666666666666,616.8138376871744,613.3333333333334,586.6666666666666,1773.3333333333333,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,4,8192,128,972,740.1163101196289,736.0,704,2096,752.0,768.0,810.0,616.7635917663574,613.3333333333334,586.6666666666666,1746.6666666666667,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,6,8192,128,971,740.2262268066406,736.0,704,2128,752.0,768.0,809.1666666666666,616.8551890055338,613.3333333333334,586.6666666666666,1773.3333333333333,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,8,8192,128,940,708.3748245239258,704.0,672,2080,720.0,736.0,783.3333333333334,590.3123537699381,586.6666666666666,560.0,1733.3333333333333,600.0,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,12,8192,128,971,740.324577331543,736.0,704,2096,752.0,768.0,809.1666666666666,616.9371477762858,613.3333333333334,586.6666666666666,1746.6666666666667,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,16,8192,128,939,707.6944732666016,704.0,672,2048,720.0,736.0,782.5,589.7453943888346,586.6666666666666,560.0,1706.6666666666667,600.0,613.3333333333334,0,2097152
LAT_DMA_RD,Seq,HWarm,0,20,8192,128,971,740.1823883056641,736.0,704,2128,752.0,768.0,809.1666666666666,616.8186569213867,613.3333333333334,586.6666666666666,1773.3333333333333,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,25,8192,128,971,740.0762176513672,736.0,704,2112,752.0,768.0,809.1666666666666,616.7301813761393,613.3333333333334,586.6666666666666,1760.0,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,32,8192,128,939,708.3683319091797,704.0,672,2208,720.0,736.0,782.5,590.3069432576498,586.6666666666666,560.0,1840.0,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,41,8192,128,971,740.1194000244141,736.0,704,2224,752.0,768.0,809.1666666666666,616.7661666870117,613.3333333333334,586.6666666666666,1853.3333333333333,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,48,8192,128,939,708.3470916748047,704.0,672,2224,720.0,736.0,782.5,590.2892430623373,586.6666666666666,560.0,1853.3333333333333,600.0,613.3333333333334,1,2097152
LAT_DMA_RD,Seq,HWarm,0,63,8192,128,971,740.0909042358398,736.0,704,2096,752.0,768.0,809.1666666666666,616.7424201965332,613.3333333333334,586.6666666666666,1746.6666666666667,626.6666666666666,640.0,0,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,991,759.5823364257812,752.0,720,2144,784.0,800.0,825.8333333333334,632.9852803548177,626.6666666666666,600.0,1786.6666666666667,653.3333333333334,666.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,1,0,8192,256,1016,784.7269668579102,784.0,736,2112,832.0,848.0,846.6666666666666,653.9391390482584,653.3333333333334,613.3333333333334,1760.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,2,0,8192,256,1016,784.5554656982422,784.0,736,2144,832.0,848.0,846.6666666666666,653.7962214152018,653.3333333333334,613.3333333333334,1786.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,3,0,8192,256,1018,786.7186050415039,784.0,736,2144,832.0,848.0,848.3333333333334,655.5988375345866,653.3333333333334,613.3333333333334,1786.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,4,0,8192,256,1017,787.2858047485352,784.0,736,2160,832.0,848.0,847.5,656.0715039571127,653.3333333333334,613.3333333333334,1800.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,6,0,8192,256,1018,787.2841644287109,784.0,736,2144,832.0,848.0,848.3333333333334,656.0701370239258,653.3333333333334,613.3333333333334,1786.6666666666667,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,8,0,8192,256,1015,783.3068542480469,768.0,736,2160,832.0,848.0,845.8333333333334,652.7557118733724,640.0,613.3333333333334,1800.0,693.3333333333334,706.6666666666666,0,2097152
LAT_DMA_RD,Seq,HWarm,12,0,8192,256,1017,785.3544158935547,784.0,736,2288,832.0,848.0,847.5,654.4620132446289,653.3333333333334,613.3333333333334,1906.6666666666667,693.3333333333334,706.6666666666666,0,2097152
