        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    909.0  677.0   672   640  2080   688   704      757.5   564.1     560     533    1733     573       586            1    2097152
  LAT_DMA_RD  Seq   HWarm  1  0   8KB   64    925.0  693.5   688   656  2192   704   720      770.8   577.9     573     546    1826     586       600            2    2097152
  LAT_DMA_RD  Seq   HWarm  2  0   8KB   64    927.0  694.5   688   656  2064   704   720      772.5   578.8     573     546    1720     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0   8KB   64    927.0  694.9   688   656  2032   704   720      772.5   579.1     573     546    1693     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0   8KB   64    926.0  693.3   688   656  2032   704   720      771.7   577.7     573     546    1693     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0   8KB   64    927.0  695.0   688   656  2064   704   720      772.5   579.1     573     546    1720     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0   8KB   64    924.0  691.3   688   656  2064   704   720      770.0   576.1     573     546    1720     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0   8KB   64    924.0  691.1   688   656  2096   704   720      770.0   575.9     573     546    1746     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0   8KB   64    920.0  688.3   688   656  2080   704   720      766.7   573.6     573     546    1733     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0   8KB   64    923.0  690.9   688   656  2048   704   720      769.2   575.8     573     546    1706     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0   8KB   64    922.0  690.1   688   656  2096   704   720      768.3   575.1     573     546    1746     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0   8KB   64    919.0  687.7   688   656  2064   704   720      765.8   573.1     573     546    1720     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0   8KB   64    929.0  697.4   704   672  2048   704   736      774.2   581.1     586     560    1706     586       613            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0   8KB   64    926.0  693.7   688   672  2048   704   720      771.7   578.1     573     560    1706     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0   8KB   64    932.0  700.5   704   672  2096   704   736      776.7   583.7     586     560    1746     586       613            0    2097152

  LAT_DMA_RD  Seq   HWarm  0  0   8KB   64    908.0  676.3   672   640  2032   688   704      756.7   563.5     560     533    1693     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  1   8KB   64    946.0  715.9   720   672  2128   736   752      788.3   596.6     600     560    1773     613       626            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  2   8KB   64    947.0  715.8   720   672  2096   736   752      789.2   596.5     600     560    1746     613       626            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  3   8KB   64    947.0  716.1   720   672  2112   736   752      789.2   596.7     600     560    1760     613       626            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  4   8KB   64    947.0  716.1   720   672  2208   736   752      789.2   596.7     600     560    1840     613       626            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  6   8KB   64    948.0  716.6   720   672  2080   720   752      790.0   597.2     600     560    1733     600       626            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  8   8KB   64    908.0  677.4   672   640  2016   688   704      756.7   564.5     560     533    1680     573       586            0    2097152
