Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1169,939.2965545654297,944.0,928,2208,944.0,960.0,974.1666666666666,782.7471288045248,786.6666666666666,773.3333333333334,1840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,1,0,8192,64,1189,958.6595993041992,960.0,944,2448,960.0,992.0,990.8333333333334,798.882999420166,800.0,786.6666666666666,2040.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,2,0,8192,64,1188,958.4412002563477,960.0,944,2272,960.0,992.0,990.0,798.701000213623,800.0,786.6666666666666,1893.3333333333333,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,3,0,8192,64,1189,958.6122207641602,960.0,944,2256,960.0,992.0,990.8333333333334,798.8435173034668,800.0,786.6666666666666,1880.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,4,0,8192,64,1185,956.1200485229492,960.0,944,2256,960.0,992.0,987.5,796.7667071024576,800.0,786.6666666666666,1880.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,6,0,8192,64,1189,958.611198425293,960.0,944,2256,960.0,992.0,990.8333333333334,798.8426653544108,800.0,786.6666666666666,1880.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,8,0,8192,64,1182,953.6907272338867,960.0,928,2256,960.0,976.0,985.0,794.7422726949056,800.0,773.3333333333334,1880.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,12,0,8192,64,1183,953.7472763061523,960.0,928,2336,960.0,976.0,985.8333333333334,794.7893969217936,800.0,773.3333333333334,1946.6666666666667,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,16,0,8192,64,1182,952.4398956298828,960.0,928,2304,960.0,976.0,985.0,793.6999130249023,800.0,773.3333333333334,1920.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,20,0,8192,64,1182,953.7320785522461,960.0,944,2240,960.0,976.0,985.0,794.7767321268717,800.0,786.6666666666666,1866.6666666666667,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,25,0,8192,64,1183,953.6044769287109,960.0,944,2256,960.0,992.0,985.8333333333334,794.6703974405924,800.0,786.6666666666666,1880.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,32,0,8192,64,1179,949.0778884887695,944.0,928,2240,960.0,976.0,982.5,790.898240407308,786.6666666666666,773.3333333333334,1866.6666666666667,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,41,0,8192,64,1190,959.8813247680664,960.0,944,2256,976.0,992.0,991.6666666666666,799.9011039733887,800.0,786.6666666666666,1880.0,813.3333333333334,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,48,0,8192,64,1184,955.2190017700195,960.0,944,2400,960.0,992.0,986.6666666666666,796.0158348083496,800.0,786.6666666666666,2000.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,63,0,8192,64,1193,962.4882965087891,960.0,944,2272,976.0,992.0,994.1666666666666,802.0735804239908,800.0,786.6666666666666,1893.3333333333333,813.3333333333334,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1169,939.2764358520508,944.0,928,2208,944.0,960.0,974.1666666666666,782.7303632100424,786.6666666666666,773.3333333333334,1840.0,786.6666666666666,800.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,1,8192,64,1212,981.1971893310547,976.0,960,2320,992.0,1008.0,1010.0,817.6643244425455,813.3333333333334,800.0,1933.3333333333333,826.6666666666666,840.0,0,2097152
LAT_DMA_WRRD,Seq,HWarm,0,2,8192,64,1212,981.1596755981445,976.0,960,2416,992.0,1008.0,1010.0,817.6330629984537,813.3333333333334,800.0,2013.3333333333333,826.6666666666666,840.0,0,2097152
