#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1169.0  939.3   944   928  2208   944   960      974.2   782.7     786     773    1840     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0  8192   64   1189.0  958.7   960   944  2448   960   992      990.8   798.9     800     786    2040     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0  8192   64   1188.0  958.4   960   944  2272   960   992      990.0   798.7     800     786    1893     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0  8192   64   1189.0  958.6   960   944  2256   960   992      990.8   798.8     800     786    1880     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0  8192   64   1185.0  956.1   960   944  2256   960   992      987.5   796.8     800     786    1880     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0  8192   64   1189.0  958.6   960   944  2256   960   992      990.8   798.8     800     786    1880     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0  8192   64   1182.0  953.7   960   928  2256   960   976      985.0   794.7     800     773    1880     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0  8192   64   1183.0  953.7   960   928  2336   960   976      985.8   794.8     800     773    1946     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0  8192   64   1182.0  952.4   960   928  2304   960   976      985.0   793.7     800     773    1920     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0  8192   64   1182.0  953.7   960   944  2240   960   976      985.0   794.8     800     786    1866     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0  8192   64   1183.0  953.6   960   944  2256   960   992      985.8   794.7     800     786    1880     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0  8192   64   1179.0  949.1   944   928  2240   960   976      982.5   790.9     786     773    1866     800       813            0    2097152
LAT_DMA_WRRD  Seq   HWarm 41  0  8192   64   1190.0  959.9   960   944  2256   976   992      991.7   799.9     800     786    1880     813       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 48  0  8192   64   1184.0  955.2   960   944  2400   960   992      986.7   796.0     800     786    2000     800       826            0    2097152
LAT_DMA_WRRD  Seq   HWarm 63  0  8192   64   1193.0  962.5   960   944  2272   976   992      994.2   802.1     800     786    1893     813       826            0    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192   64   1169.0  939.3   944   928  2208   944   960      974.2   782.7     786     773    1840     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  1  8192   64   1212.0  981.2   976   960  2320   992  1008     1010.0   817.7     813     800    1933     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  2  8192   64   1212.0  981.2   976   960  2416   992  1008     1010.0   817.6     813     800    2013     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  3  8192   64   1211.0  981.1   976   960  2480   992  1008     1009.2   817.6     813     800    2066     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  4  8192   64   1211.0  981.0   976   960  2480   992  1008     1009.2   817.5     813     800    2066     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  6  8192   64   1211.0  981.2   976   960  2640   992  1008     1009.2   817.7     813     800    2200     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0  8  8192   64   1169.0  939.2   944   928  2432   944   960      974.2   782.7     786     773    2026     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 12  8192   64   1211.0  981.2   976   960  2256   992  1008     1009.2   817.6     813     800    1880     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 16  8192   64   1169.0  939.2   944   928  2208   944   960      974.2   782.6     786     773    1840     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 20  8192   64   1212.0  981.0   976   960  2416   992  1008     1010.0   817.5     813     800    2013     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 25  8192   64   1212.0  981.1   976   960  2240   992  1008     1010.0   817.5     813     800    1866     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 32  8192   64   1169.0  939.3   944   928  2320   944   960      974.2   782.7     786     773    1933     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 41  8192   64   1211.0  981.3   976   960  2256   992  1008     1009.2   817.7     813     800    1880     826       840            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 48  8192   64   1169.0  939.1   944   928  2304   944   960      974.2   782.6     786     773    1920     786       800            0    2097152
LAT_DMA_WRRD  Seq   HWarm  0 63  8192   64   1211.0  981.3   976   960  2336   992  1008     1009.2   817.7     813     800    1946     826       840            0    2097152


LAT_DMA_WRRD  Seq   HWarm  0  0  8192  128   1217.0  986.5   992   960  2272  1008  1024     1014.2   822.0     826     800    1893     840       853            0    2097152
LAT_DMA_WRRD  Seq   HWarm  1  0  8192  128   1237.0 1005.9   992   976  2320  1056  1072     1030.8   838.2     826     813    1933     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm  2  0  8192  128   1236.0 1006.0  1008   976  2320  1056  1072     1030.0   838.4     840     813    1933     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm  3  0  8192  128   1237.0 1005.9   992   976  2304  1056  1072     1030.8   838.3     826     813    1920     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm  4  0  8192  128   1236.0 1005.2   992   976  2304  1056  1072     1030.0   837.6     826     813    1920     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm  6  0  8192  128   1236.0 1006.1   992   976  2336  1056  1072     1030.0   838.4     826     813    1946     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm  8  0  8192  128   1230.0  999.9   992   976  2448  1056  1072     1025.0   833.3     826     813    2040     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 12  0  8192  128   1234.0 1003.0   992   976  2448  1056  1072     1028.3   835.8     826     813    2040     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 16  0  8192  128   1235.0 1003.8   992   976  2464  1056  1072     1029.2   836.5     826     813    2053     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 20  0  8192  128   1239.0 1008.8  1008   976  2320  1056  1072     1032.5   840.6     840     813    1933     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 25  0  8192  128   1240.0 1009.7  1008   992  2320  1056  1072     1033.3   841.5     840     826    1933     880       893            0    2097152
LAT_DMA_WRRD  Seq   HWarm 32  0  8192  128   1234.0 1003.4   992   976  2320  1056  1072     1028.3   836.1     826     813    1933     880       893            0    2097152
