        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  240    989.0  757.3   752   720  2128   768   784      824.2   631.1     626     600    1773     640       653            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  241    997.0  766.3   768   736  2144   784   800      830.8   638.6     640     613    1786     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  242    997.0  766.3   768   736  2288   784   800      830.8   638.6     640     613    1906     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  243    997.0  766.4   768   736  2176   784   800      830.8   638.7     640     613    1813     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  244    997.0  766.3   768   736  2144   784   800      830.8   638.6     640     613    1786     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  245    997.0  766.2   768   736  2224   784   800      830.8   638.5     640     613    1853     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  246    997.0  766.5   768   736  2256   784   800      830.8   638.7     640     613    1880     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  247    997.0  766.2   768   736  2128   784   800      830.8   638.5     640     613    1773     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  248    992.0  761.1   768   736  2208   768   800      826.7   634.3     640     613    1840     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  249    998.0  766.9   768   736  2128   784   800      831.7   639.1     640     613    1773     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  250    998.0  767.1   768   736  2144   784   800      831.7   639.3     640     613    1786     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  251    997.0  767.0   768   736  2144   784   800      830.8   639.1     640     613    1786     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  252    998.0  767.0   768   736  2160   784   800      831.7   639.1     640     613    1800     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  253    998.0  767.1   768   736  2240   784   800      831.7   639.2     640     613    1866     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  254    998.0  767.1   768   736  2304   784   800      831.7   639.3     640     613    1920     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  255    998.0  767.0   768   736  2144   784   800      831.7   639.2     640     613    1786     653       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  256    991.0  759.4   752   736  2128   768   800      825.8   632.8     626     613    1773     640       666            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  257   1020.0  789.3   784   752  2144   832   848      850.0   657.7     653     626    1786     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  258   1020.0  789.2   784   752  2400   832   848      850.0   657.6     653     626    2000     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  259   1020.0  789.3   784   752  2256   832   848      850.0   657.7     653     626    1880     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  260   1021.0  789.1   784   752  2160   832   848      850.8   657.6     653     626    1800     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  261   1020.0  789.3   784   752  2160   832   848      850.0   657.7     653     626    1800     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  262   1020.0  789.1   784   752  2160   832   848      850.0   657.6     653     626    1800     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  263   1021.0  789.1   784   752  2144   832   848      850.8   657.6     653     626    1786     693       706            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0   8KB  264   1018.0  786.9   784   752  2128   832   848      848.3   655.7     653     626    1773     693       706            0    2097152
