Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,974,743.2123336791992,736.0,720,2192,752.0,944.0,811.6666666666666,619.3436113993326,613.3333333333334,600.0,1826.6666666666667,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,65536,64,973,743.0021514892578,736.0,720,2144,752.0,976.0,810.8333333333334,619.1684595743815,613.3333333333334,600.0,1786.6666666666667,626.6666666666666,813.3333333333334,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,262144,64,975,742.9649276733398,736.0,720,2128,752.0,992.0,812.5,619.1374397277832,613.3333333333334,600.0,1773.3333333333333,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,524288,64,975,742.8611526489258,736.0,720,2224,752.0,992.0,812.5,619.0509605407715,613.3333333333334,600.0,1853.3333333333333,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1048576,64,974,742.9749450683594,736.0,720,2208,752.0,960.0,811.6666666666666,619.1457875569662,613.3333333333334,600.0,1840.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1572864.0,64,974,743.0811614990234,736.0,720,2144,752.0,960.0,811.6666666666666,619.2343012491862,613.3333333333334,600.0,1786.6666666666667,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,2097152,64,974,743.1571273803711,736.0,720,2128,752.0,992.0,811.6666666666666,619.2976061503092,613.3333333333334,600.0,1773.3333333333333,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,4194304,64,975,743.0980911254883,736.0,720,2208,752.0,992.0,812.5,619.2484092712402,613.3333333333334,600.0,1840.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,8388608,64,974,742.9671783447266,736.0,720,2144,752.0,960.0,811.6666666666666,619.1393152872721,613.3333333333334,600.0,1786.6666666666667,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,16777216,64,975,743.1290130615234,736.0,720,2144,752.0,960.0,812.5,619.2741775512695,613.3333333333334,600.0,1786.6666666666667,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,33554432,64,975,743.3069839477539,736.0,720,2160,752.0,992.0,812.5,619.4224866231283,613.3333333333334,600.0,1800.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,975,742.8540573120117,736.0,720,2128,752.0,992.0,812.5,619.0450477600098,613.3333333333334,600.0,1773.3333333333333,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8192,64,973,741.5510559082031,736.0,640,2016,752.0,944.0,810.8333333333334,617.9592132568359,613.3333333333334,533.3333333333334,1680.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,65536,64,972,740.3454895019531,736.0,640,2016,752.0,944.0,810.0,616.9545745849609,613.3333333333334,533.3333333333334,1680.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,262144,64,972,740.8826599121094,736.0,640,2016,752.0,944.0,810.0,617.4022165934244,613.3333333333334,533.3333333333334,1680.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,524288,64,971,740.4983520507812,736.0,640,2128,752.0,960.0,809.1666666666666,617.0819600423177,613.3333333333334,533.3333333333334,1773.3333333333333,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1048576,64,972,740.707763671875,736.0,640,1120,752.0,960.0,810.0,617.2564697265625,613.3333333333334,533.3333333333334,933.3333333333334,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1572864.0,64,972,740.9560546875,736.0,640,1952,752.0,944.0,810.0,617.46337890625,613.3333333333334,533.3333333333334,1626.6666666666667,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,2097152,64,972,740.8372192382812,736.0,640,2000,752.0,976.0,810.0,617.3643493652344,613.3333333333334,533.3333333333334,1666.6666666666667,626.6666666666666,813.3333333333334,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,4194304,64,972,740.7650680541992,736.0,640,2016,752.0,960.0,810.0,617.3042233784994,613.3333333333334,533.3333333333334,1680.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8388608,64,972,741.0213775634766,736.0,640,1936,752.0,944.0,810.0,617.5178146362305,613.3333333333334,533.3333333333334,1613.3333333333333,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,16777216,64,972,740.824104309082,736.0,640,2080,752.0,944.0,810.0,617.3534202575684,613.3333333333334,533.3333333333334,1733.3333333333333,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,33554432,64,972,740.8735733032227,736.0,640,1120,752.0,944.0,810.0,617.3946444193522,613.3333333333334,533.3333333333334,933.3333333333334,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,67108864,64,972,740.8741302490234,736.0,640,2128,752.0,944.0,810.0,617.3951085408529,613.3333333333334,533.3333333333334,1773.3333333333333,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8192,64,882,650.3612442016602,656.0,640,2080,656.0,672.0,735.0,541.9677035013834,546.6666666666666,533.3333333333334,1733.3333333333333,546.6666666666666,560.0,1,2097152
LAT_DMA_RD,Rand,DWarm,0,0,65536,64,882,650.3856964111328,656.0,640,2032,656.0,672.0,735.0,541.9880803426107,546.6666666666666,533.3333333333334,1693.3333333333333,546.6666666666666,560.0,1,2097152
LAT_DMA_RD,Rand,DWarm,0,0,262144,64,882,650.7044906616211,656.0,640,992,656.0,752.0,735.0,542.2537422180176,546.6666666666666,533.3333333333334,826.6666666666666,546.6666666666666,626.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,524288,64,882,650.8001480102539,656.0,640,1008,656.0,768.0,735.0,542.3334566752116,546.6666666666666,533.3333333333334,840.0,546.6666666666666,640.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1048576,64,882,650.7203063964844,656.0,640,2000,656.0,768.0,735.0,542.2669219970703,546.6666666666666,533.3333333333334,1666.6666666666667,546.6666666666666,640.0,1,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1572864.0,64,896,664.7018432617188,656.0,640,2016,768.0,880.0,746.6666666666666,553.918202718099,546.6666666666666,533.3333333333334,1680.0,640.0,733.3333333333334,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,2097152,64,906,674.4247131347656,656.0,640,2016,752.0,912.0,755.0,562.0205942789713,546.6666666666666,533.3333333333334,1680.0,626.6666666666666,760.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,4194304,64,940,708.5970611572266,736.0,640,2048,752.0,944.0,783.3333333333334,590.4975509643555,613.3333333333334,533.3333333333334,1706.6666666666667,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8388608,64,957,725.8984909057617,736.0,640,1104,752.0,944.0,797.5,604.9154090881348,613.3333333333334,533.3333333333334,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,16777216,64,965,734.2536392211914,736.0,640,2336,752.0,944.0,804.1666666666666,611.8780326843262,613.3333333333334,533.3333333333334,1946.6666666666667,626.6666666666666,786.6666666666666,1,2097152
LAT_DMA_RD,Rand,DWarm,0,0,33554432,64,970,738.4972839355469,736.0,640,2128,752.0,960.0,808.3333333333334,615.4144032796224,613.3333333333334,533.3333333333334,1773.3333333333333,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,67108864,64,972,740.7287979125977,736.0,640,1104,752.0,960.0,810.0,617.273998260498,613.3333333333334,533.3333333333334,920.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,908,676.4381103515625,672.0,640,2096,688.0,704.0,756.6666666666666,563.6984252929688,560.0,533.3333333333334,1746.6666666666667,573.3333333333334,586.6666666666666,1,2097152
LAT_DMA_RD,Rand,HWarm,0,0,65536,64,908,676.4161987304688,672.0,640,2032,688.0,704.0,756.6666666666666,563.680165608724,560.0,533.3333333333334,1693.3333333333333,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,262144,64,908,676.4535369873047,672.0,640,2080,688.0,704.0,756.6666666666666,563.7112808227539,560.0,533.3333333333334,1733.3333333333333,573.3333333333334,586.6666666666666,1,2097152
LAT_DMA_RD,Rand,HWarm,0,0,524288,64,908,676.2577514648438,672.0,640,2048,688.0,704.0,756.6666666666666,563.5481262207031,560.0,533.3333333333334,1706.6666666666667,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,1048576,64,907,676.2410202026367,672.0,640,2048,688.0,704.0,755.8333333333334,563.5341835021973,560.0,533.3333333333334,1706.6666666666667,573.3333333333334,586.6666666666666,0,2097152
