        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_DMA_WRRD Rand    Cold  0  0   8KB   64   1169.0  939.3   944   928  2288   944   960      974.2   782.8     786     773    1906     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  64KB   64   1169.0  939.3   944   928  2304   944   960      974.2   782.8     786     773    1920     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 256KB   64   1169.0  939.3   944   928  2304   944   960      974.2   782.7     786     773    1920     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 512KB   64   1169.0  939.3   944   928  2288   944   960      974.2   782.8     786     773    1906     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   1MB   64   1169.0  939.2   944   928  2512   944   960      974.2   782.7     786     773    2093     786       800            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0 1.5MB   64   1169.0  939.4   944   928  2416   944   976      974.2   782.8     786     773    2013     786       813            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   2MB   64   1169.0  939.4   944   928  2448   944   976      974.2   782.9     786     773    2040     786       813            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   4MB   64   1169.0  939.8   944   928  2304   944  1024      974.2   783.2     786     773    1920     786       853            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0   8MB   64   1169.0  939.9   944   928  2304   944  1024      974.2   783.3     786     773    1920     786       853            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  16MB   64   1170.0  940.1   944   928  2320   944  1024      975.0   783.4     786     773    1933     786       853            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  32MB   64   1169.0  940.1   944   928  2304   944  1024      974.2   783.4     786     773    1920     786       853            0    2097152
LAT_DMA_WRRD Rand    Cold  0  0  64MB   64   1170.0  940.3   944   928  2384   944  1024      975.0   783.6     786     773    1986     786       853            0    2097152

LAT_DMA_WRRD Rand DThrash  0  0   8KB   64   1169.0  939.3   944   928  2256   944   960      974.2   782.7     786     773    1880     786       800            0    2097152
