Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,512,744877264,620731053.3333334,4294967296,8388608,55.35366433415532,13514078.20658089
BW_DMA_RD,Rand,Cold,0,0,16384,512,744875312,620729426.6666666,4294967296,8388608,55.3538093924638,13514113.621206982
BW_DMA_RD,Rand,Cold,0,0,262144,512,744876320,620730266.6666666,4294967296,8388608,55.35373448520958,13514095.333303118
BW_DMA_RD,Rand,Cold,0,0,524288,512,744874016,620728346.6666666,4294967296,8388608,55.353905702088554,13514137.134298963
BW_DMA_RD,Rand,Cold,0,0,1048576,512,744871248,620726040.0,4294967296,8388608,55.3541114015452,13514187.35389287
BW_DMA_RD,Rand,Cold,0,0,1572864.0,512,744877632,620731360.0,4294967296,8388608,55.35363698718235,13514071.530073816
BW_DMA_RD,Rand,Cold,0,0,2097152,512,744873200,620727666.6666666,4294967296,8388608,55.35396634165386,13514151.938880336
BW_DMA_RD,Rand,Cold,0,0,3145728,512,744869792,620724826.6666666,4294967296,8388608,55.354219602451,13514213.77012964
BW_DMA_RD,Rand,Cold,0,0,4194304,512,744879616,620733013.3333334,4294967296,8388608,55.35348955179356,13514035.535105849
BW_DMA_RD,Rand,Cold,0,0,8388608,512,744878048,620731706.6666666,4294967296,8388608,55.35360607324543,13514063.982725935
BW_DMA_RD,Rand,Cold,0,0,16777216,512,744875216,620729346.6666666,4294967296,8388608,55.35381652649858,13514115.362914693
BW_DMA_RD,Rand,Cold,0,0,33554432,512,744867120,620722600.0,4294967296,8388608,55.35441817004891,13514262.248547096
BW_DMA_RD,Rand,Cold,0,0,67108864,512,744875536,620729613.3333334,4294967296,8388608,55.35379274638978,13514109.557224069
BW_DMA_RD,Rand,DThrash,0,0,4096,512,744875680,620729733.3333334,4294967296,8388608,55.35378204534749,13514106.944664912
BW_DMA_RD,Rand,DThrash,0,0,16384,512,744882560,620735466.6666666,4294967296,8388608,55.3532707781479,13513982.123571264
BW_DMA_RD,Rand,DThrash,0,0,262144,512,744871648,620726373.3333334,4294967296,8388608,55.35408167609569,13514180.096703049
BW_DMA_RD,Rand,DThrash,0,0,524288,512,744871984,620726653.3333334,4294967296,8388608,55.354056706742774,13514174.000669625
BW_DMA_RD,Rand,DThrash,0,0,1048576,512,744873664,620728053.3333334,4294967296,8388608,55.35393186031611,13514143.520584987
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,512,744876624,620730520.0,4294967296,8388608,55.35371189417269,13514089.817913257
BW_DMA_RD,Rand,DThrash,0,0,2097152,512,744872416,620727013.3333334,4294967296,8388608,55.35402460332213,13514166.162920443
BW_DMA_RD,Rand,DThrash,0,0,3145728,512,744877376,620731146.6666666,4294967296,8388608,55.353656011160695,13514076.174599778
