#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  8192    8    817.0  583.4   576   560   960   592   784      680.8   486.2     480     466     800     493       653            0   16777216
  LAT_CMD_RD Rand   HWarm  0  0  8192    8    748.0  513.9   512   464   720   528   544      623.3   428.2     426     386     600     440       453            0   16777216
  LAT_CMD_RD Rand    Cold  0  0 67108864    8    979.0  586.2   576   560   960   592   784      815.8   488.5     480     466     800     493       653            0   16777216
  LAT_CMD_RD Rand   HWarm  0  0 67108864    8    964.0  571.9   576   464  1008   592   784      803.3   476.6     480     386     840     493       653            0   16777216


LAT_CMD_WRRD Rand    Cold  0  0  8192    8    908.0  650.4   656   624   912   656   672      756.7   542.0     546     520     760     546       560            0   16777216
LAT_CMD_WRRD Rand   HWarm  0  0  8192    8    909.0  650.3   656   624   784   656   672      757.5   541.9     546     520     653     546       560            0   16777216
LAT_CMD_WRRD Rand    Cold  0  0 67108864    8   1152.0  736.1   736   624  1168   752   944      960.0   613.4     613     520     973     626       786            0   16777216
LAT_CMD_WRRD Rand   HWarm  0  0 67108864    8   1134.0  717.8   736   624  1152   752   944      945.0   598.2     613     520     960     626       786            0   16777216
