Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,Cold,0,0,4096,8,804,573.4085235595703,576.0,560,928,576.0,784.0,670.0,477.8404362996419,480.0,466.6666666666667,773.3333333333334,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,1,0,4096,8,804,573.68359375,576.0,560,944,576.0,784.0,670.0,478.0696614583333,480.0,466.6666666666667,786.6666666666666,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,2,0,4096,8,805,573.8087310791016,576.0,560,944,576.0,784.0,670.8333333333334,478.17394256591797,480.0,466.6666666666667,786.6666666666666,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,3,0,4096,8,805,573.6887741088867,576.0,560,944,576.0,784.0,670.8333333333334,478.07397842407227,480.0,466.6666666666667,786.6666666666666,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,4,0,4096,8,805,573.7894287109375,576.0,560,944,576.0,784.0,670.8333333333334,478.15785725911456,480.0,466.6666666666667,786.6666666666666,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,6,0,4096,8,805,573.5936584472656,576.0,560,928,576.0,784.0,670.8333333333334,477.9947153727214,480.0,466.6666666666667,773.3333333333334,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,8,0,4096,8,805,573.7880249023438,576.0,560,960,576.0,784.0,670.8333333333334,478.1566874186198,480.0,466.6666666666667,800.0,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,16,0,4096,8,805,573.7704620361328,576.0,560,928,576.0,784.0,670.8333333333334,478.14205169677734,480.0,466.6666666666667,773.3333333333334,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,Cold,32,0,4096,8,808,576.130744934082,576.0,544,944,592.0,800.0,673.3333333333334,480.10895411173504,480.0,453.3333333333333,786.6666666666666,493.3333333333333,666.6666666666666,0,2097152
LAT_CMD_RD,Seq,Cold,48,0,4096,8,808,575.9862289428711,576.0,560,960,576.0,784.0,673.3333333333334,479.98852411905926,480.0,466.6666666666667,800.0,480.0,653.3333333333334,0,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,737,505.7023620605469,512.0,464,624,512.0,528.0,614.1666666666666,421.41863505045575,426.6666666666667,386.6666666666667,520.0,426.6666666666667,440.0,0,2097152
LAT_CMD_RD,Seq,HWarm,1,0,4096,8,739,507.01819610595703,512.0,464,608,512.0,544.0,615.8333333333334,422.51516342163086,426.6666666666667,386.6666666666667,506.6666666666667,426.6666666666667,453.3333333333333,0,2097152
LAT_CMD_RD,Seq,HWarm,2,0,4096,8,738,507.00829315185547,512.0,464,656,512.0,544.0,615.0,422.5069109598796,426.6666666666667,386.6666666666667,546.6666666666666,426.6666666666667,453.3333333333333,0,2097152
LAT_CMD_RD,Seq,HWarm,3,0,4096,8,739,507.89019775390625,512.0,464,592,512.0,544.0,615.8333333333334,423.24183146158856,426.6666666666667,386.6666666666667,493.3333333333333,426.6666666666667,453.3333333333333,0,2097152
LAT_CMD_RD,Seq,HWarm,4,0,4096,8,739,507.83099365234375,512.0,464,592,512.0,544.0,615.8333333333334,423.19249471028644,426.6666666666667,386.6666666666667,493.3333333333333,426.6666666666667,453.3333333333333,0,2097152
