        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD  Seq    Cold  0  0   4KB    8    898.0  642.3   640   624   768   656   672      748.3   535.2     533     520     640     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB    8    898.0  642.4   640   624   784   656   672      748.3   535.3     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   4KB    8    899.0  642.3   640   624   784   656   672      749.2   535.3     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   4KB    8    898.0  642.3   640   624   752   656   672      748.3   535.2     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   4KB    8    899.0  642.3   640   624   784   656   672      749.2   535.2     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   4KB    8    899.0  642.2   640   624   880   656   672      749.2   535.2     533     520     733     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   4KB    8    899.0  642.3   640   624   848   656   672      749.2   535.3     533     520     706     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   4KB    8    899.0  642.2   640   624   816   656   672      749.2   535.2     533     520     680     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   4KB    8    900.0  644.8   640   624   832   656   672      750.0   537.3     533     520     693     546       560            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   4KB    8    901.0  644.7   640   624   768   656   672      750.8   537.3     533     520     640     546       560            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB    8    898.0  642.3   640   624   736   656   672      748.3   535.3     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   4KB    8    898.0  642.3   640   624   752   656   672      748.3   535.3     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   4KB    8    898.0  642.3   640   624   848   656   672      748.3   535.3     533     520     706     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   4KB    8    899.0  642.2   640   624   752   656   672      749.2   535.2     533     520     626     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   4KB    8    899.0  642.4   640   624   768   656   672      749.2   535.3     533     520     640     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   4KB    8    899.0  642.3   640   624   736   656   672      749.2   535.2     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0   4KB    8    899.0  642.3   640   624   736   656   672      749.2   535.2     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0   4KB    8    899.0  642.4   640   624   784   656   672      749.2   535.3     533     520     653     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0   4KB    8    901.0  644.8   640   624   736   656   672      750.8   537.3     533     520     613     546       560            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0   4KB    8    901.0  644.7   640   624   736   656   672      750.8   537.3     533     520     613     546       560            0    2097152

LAT_CMD_WRRD  Seq    Cold  0  0   8MB    8    991.0  734.8   736   640  1088   752   944      825.8   612.4     613     533     906     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   8MB    8    992.0  734.8   736   640  1168   752   944      826.7   612.3     613     533     973     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   8MB    8    991.0  734.8   736   640  1104   752   944      825.8   612.3     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   8MB    8    992.0  734.9   736   656  1104   752   944      826.7   612.4     613     546     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   8MB    8    992.0  734.7   736   640  1104   752   944      826.7   612.3     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   8MB    8    992.0  734.7   736   640  1168   752   944      826.7   612.3     613     533     973     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   8MB    8    992.0  734.7   736   640  1104   752   944      826.7   612.2     613     533     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   8MB    8    991.0  734.9   736   640  1120   752   944      825.8   612.4     613     533     933     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   8MB    8    993.0  737.2   736   656  1104   752   944      827.5   614.3     613     546     920     626       786            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   8MB    8    994.0  737.2   736   640  1168   752   944      828.3   614.4     613     533     973     626       786            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   8MB    8    901.0  643.8   640   624   784   656   688      750.8   536.5     533     520     653     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   8MB    8    901.0  643.8   640   624   896   656   688      750.8   536.5     533     520     746     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   8MB    8    900.0  643.8   640   624   832   656   688      750.0   536.5     533     520     693     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   8MB    8    901.0  643.9   640   624   848   656   688      750.8   536.5     533     520     706     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   8MB    8    900.0  643.8   640   624   800   656   688      750.0   536.5     533     520     666     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   8MB    8    901.0  643.8   640   624   800   656   688      750.8   536.5     533     520     666     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  8  0   8MB    8    900.0  643.8   640   624   768   656   688      750.0   536.5     533     520     640     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 16  0   8MB    8    900.0  643.8   640   624   896   656   688      750.0   536.5     533     520     746     546       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 32  0   8MB    8    902.0  646.3   640   624   928   672   688      751.7   538.6     533     520     773     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm 48  0   8MB    8    902.0  646.4   640   624   832   672   688      751.7   538.6     533     520     693     560       573            0    2097152

LAT_CMD_WRRD  Seq    Cold  0  0   4KB   64    989.0  662.1   656   640   800   672   688      824.2   551.7     546     533     666     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  1  0   4KB   64    989.0  661.8   656   640   784   672   688      824.2   551.5     546     533     653     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  2  0   4KB   64    988.0  661.8   656   640   784   672   688      823.3   551.5     546     533     653     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  3  0   4KB   64    989.0  661.8   656   640   784   672   688      824.2   551.5     546     533     653     560       573            0    2097152
LAT_CMD_WRRD  Seq    Cold  4  0   4KB   64   1018.0  691.1   688   672   864   704   720      848.3   575.9     573     560     720     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  6  0   4KB   64   1018.0  691.2   688   672   880   704   720      848.3   576.0     573     560     733     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold  8  0   4KB   64   1015.0  687.7   688   672   928   704   720      845.8   573.1     573     560     773     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold 16  0   4KB   64   1015.0  687.7   688   672   848   704   720      845.8   573.1     573     560     706     586       600            0    2097152
LAT_CMD_WRRD  Seq    Cold 32  0   4KB   64   1009.0  683.1   688   656   832   688   720      840.8   569.3     573     546     693     573       600            0    2097152
LAT_CMD_WRRD  Seq    Cold 48  0   4KB   64   1017.0  690.3   688   672   864   704   720      847.5   575.3     573     560     720     586       600            0    2097152

LAT_CMD_WRRD  Seq   HWarm  0  0   4KB   64    989.0  662.1   656   640   752   672   688      824.2   551.7     546     533     626     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  1  0   4KB   64    988.0  661.8   656   640   816   672   688      823.3   551.5     546     533     680     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  2  0   4KB   64    988.0  661.8   656   640   752   672   688      823.3   551.5     546     533     626     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  3  0   4KB   64    989.0  661.8   656   640   768   672   688      824.2   551.5     546     533     640     560       573            0    2097152
LAT_CMD_WRRD  Seq   HWarm  4  0   4KB   64   1018.0  691.2   688   672   800   704   720      848.3   576.0     573     560     666     586       600            0    2097152
LAT_CMD_WRRD  Seq   HWarm  6  0   4KB   64   1018.0  691.2   688   672   800   704   720      848.3   576.0     573     560     666     586       600            0    2097152
