#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024    8    805.0  573.6   576   560   960   576   784      670.8   478.0     480     466     800     480       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096    8    805.0  573.7   576   560   944   576   784      670.8   478.1     480     466     786     480       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384    8    825.0  592.8   592   576   944   608   784      687.5   494.0     493     480     786     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144    8    825.0  592.9   592   576   944   608   784      687.5   494.1     493     480     786     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288    8    824.0  592.9   592   576   960   608   784      686.7   494.1     493     480     800     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576    8    825.0  592.9   592   576   944   608   784      687.5   494.1     493     480     786     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0    8    824.0  593.0   592   576   944   608   784      686.7   494.1     493     480     786     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152    8    825.0  592.8   592   576   928   608   784      687.5   494.0     493     480     773     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728    8    824.0  593.1   592   576   960   608   784      686.7   494.2     493     480     800     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304    8    824.0  592.9   592   576   960   608   784      686.7   494.1     493     480     800     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608    8    905.0  593.0   592   576   960   608   784      754.2   494.1     493     480     800     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216    8    945.0  593.2   592   576   912   608   784      787.5   494.3     493     480     760     506       653            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432    8    965.0  592.9   592   576   928   608   784      804.2   494.1     493     480     773     506       653            0    2097152
