        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
LAT_CMD_WRRD Rand    Cold  0  0   1KB   64    989.0  662.1   656   640   784   672   688      824.2   551.8     546     533     653     560       573            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4KB   64    989.0  662.2   656   640   832   672   688      824.2   551.8     546     533     693     560       573            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16KB   64    989.0  662.1   656   640   848   672   688      824.2   551.8     546     533     706     560       573            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 256KB   64    989.0  662.3   656   640   880   672   768      824.2   551.9     546     533     733     560       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 512KB   64    989.0  662.5   656   640   880   672   768      824.2   552.1     546     533     733     560       640            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   1MB   64    990.0  663.1   656   640   896   672   784      825.0   552.5     546     533     746     560       653            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0 1.5MB   64   1002.0  675.7   656   640   912   768   784      835.0   563.1     546     533     760     640       653            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   2MB   64   1017.0  690.2   672   640   960   768   816      847.5   575.2     560     533     800     640       680            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   3MB   64   1043.0  716.7   752   640   912   784   848      869.2   597.2     626     533     760     653       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   4MB   64   1056.0  729.7   768   640   976   784   848      880.0   608.1     640     533     813     653       706            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0   8MB   64   1157.0  749.6   768   640   976   784   864      964.2   624.7     640     533     813     653       720            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  16MB   64   1207.0  760.4   768   640   976   784   864     1005.8   633.6     640     533     813     653       720            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  32MB   64   1232.0  765.4   768   640   976   784   864     1026.7   637.8     640     533     813     653       720            0    2097152
LAT_CMD_WRRD Rand    Cold  0  0  64MB   64   1245.0  767.9   768   640   976   784   864     1037.5   640.0     640     533     813     653       720            0    2097152

LAT_CMD_WRRD Rand DThrash  0  0   1KB   64    989.0  662.1   656   640   768   672   688      824.2   551.8     546     533     640     560       573            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   4KB   64    989.0  662.1   656   640   816   672   688      824.2   551.8     546     533     680     560       573            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0  16KB   64    989.0  662.1   656   640   784   672   688      824.2   551.8     546     533     653     560       573            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 256KB   64    989.0  662.3   656   640   896   672   768      824.2   551.9     546     533     746     560       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0 512KB   64    989.0  662.5   656   640   896   672   768      824.2   552.1     546     533     746     560       640            0    2097152
LAT_CMD_WRRD Rand DThrash  0  0   1MB   64    990.0  663.0   656   640   896   672   784      825.0   552.5     546     533     746     560       653            0    2097152
