#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192   64    904.0  673.5   672   640   768   688   704      753.3   561.3     560     533     640     573       586            0    2097152
  LAT_DMA_RD  Seq   HWarm  1  0  8192   64    923.0  691.2   688   656   784   704   720      769.2   576.0     573     546     653     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  2  0  8192   64    924.0  691.2   688   656   832   704   720      770.0   576.0     573     546     693     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  3  0  8192   64    924.0  691.2   688   656   800   704   720      770.0   576.0     573     546     666     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  4  0  8192   64    922.0  690.0   688   656   800   704   720      768.3   575.0     573     546     666     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  6  0  8192   64    924.0  691.1   688   656   768   704   720      770.0   575.9     573     546     640     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm  8  0  8192   64    918.0  687.8   688   656   800   704   720      765.0   573.1     573     546     666     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 12  0  8192   64    919.0  687.6   688   656   768   704   720      765.8   573.0     573     546     640     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 16  0  8192   64    918.0  686.7   688   656   784   704   720      765.0   572.2     573     546     653     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 20  0  8192   64    919.0  688.1   688   656   880   704   720      765.8   573.4     573     546     733     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 25  0  8192   64    918.0  686.9   688   656   784   704   720      765.0   572.4     573     546     653     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 32  0  8192   64    916.0  683.8   688   656   784   688   720      763.3   569.8     573     546     653     573       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 41  0  8192   64    926.0  693.3   688   672   784   704   720      771.7   577.8     573     560     653     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 48  0  8192   64    921.0  689.7   688   656   784   704   720      767.5   574.7     573     546     653     586       600            0    2097152
  LAT_DMA_RD  Seq   HWarm 63  0  8192   64    929.0  696.3   704   672   832   704   720      774.2   580.3     586     560     693     586       600            0    2097152


