Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Rand,Cold,0,0,8192,64,972,740.706169128418,736.0,720,1104,752.0,992.0,810.0,617.2551409403483,613.3333333333334,600.0,920.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,65536,64,973,741.0130615234375,736.0,720,1104,752.0,960.0,810.8333333333334,617.5108846028646,613.3333333333334,600.0,920.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,262144,64,973,741.09814453125,736.0,704,1168,752.0,992.0,810.8333333333334,617.581787109375,613.3333333333334,586.6666666666666,973.3333333333334,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,524288,64,972,740.7551879882812,736.0,704,1104,752.0,960.0,810.0,617.2959899902344,613.3333333333334,586.6666666666666,920.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1048576,64,972,740.8078536987305,736.0,704,1104,752.0,944.0,810.0,617.3398780822754,613.3333333333334,586.6666666666666,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,1572864.0,64,973,740.81005859375,736.0,720,1104,752.0,992.0,810.8333333333334,617.3417154947916,613.3333333333334,600.0,920.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,2097152,64,973,740.9738464355469,736.0,704,1104,752.0,976.0,810.8333333333334,617.4782053629557,613.3333333333334,586.6666666666666,920.0,626.6666666666666,813.3333333333334,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,4194304,64,973,740.7244186401367,736.0,720,1104,752.0,992.0,810.8333333333334,617.2703488667806,613.3333333333334,600.0,920.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,8388608,64,973,740.7394943237305,736.0,720,1104,752.0,992.0,810.8333333333334,617.282911936442,613.3333333333334,600.0,920.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,16777216,64,973,740.8541946411133,736.0,720,1120,752.0,944.0,810.8333333333334,617.3784955342611,613.3333333333334,600.0,933.3333333333334,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,33554432,64,972,740.9221115112305,736.0,720,1104,752.0,944.0,810.0,617.4350929260254,613.3333333333334,600.0,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,Cold,0,0,67108864,64,973,740.9957275390625,736.0,720,1152,752.0,992.0,810.8333333333334,617.4964396158854,613.3333333333334,600.0,960.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8192,64,971,739.0865173339844,736.0,624,1104,752.0,992.0,809.1666666666666,615.9054311116537,613.3333333333334,520.0,920.0,626.6666666666666,826.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,65536,64,971,738.8059387207031,736.0,640,1120,752.0,960.0,809.1666666666666,615.6716156005859,613.3333333333334,533.3333333333334,933.3333333333334,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,262144,64,970,738.8840942382812,736.0,640,1104,752.0,944.0,808.3333333333334,615.7367451985677,613.3333333333334,533.3333333333334,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,524288,64,970,738.493049621582,736.0,640,1136,752.0,944.0,808.3333333333334,615.4108746846517,613.3333333333334,533.3333333333334,946.6666666666666,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1048576,64,970,738.4426345825195,736.0,624,1120,752.0,960.0,808.3333333333334,615.3688621520996,613.3333333333334,520.0,933.3333333333334,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,1572864.0,64,970,738.4610977172852,736.0,624,1104,752.0,960.0,808.3333333333334,615.3842480977377,613.3333333333334,520.0,920.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,2097152,64,970,738.7433929443359,736.0,624,1120,752.0,960.0,808.3333333333334,615.6194941202799,613.3333333333334,520.0,933.3333333333334,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,4194304,64,971,738.7611618041992,736.0,640,1120,752.0,944.0,809.1666666666666,615.6343015034994,613.3333333333334,533.3333333333334,933.3333333333334,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,8388608,64,971,738.8348159790039,736.0,640,1104,752.0,960.0,809.1666666666666,615.6956799825033,613.3333333333334,533.3333333333334,920.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,16777216,64,970,738.5979843139648,736.0,640,1152,752.0,960.0,808.3333333333334,615.4983202616373,613.3333333333334,533.3333333333334,960.0,626.6666666666666,800.0,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,33554432,64,970,738.6650161743164,736.0,624,1104,752.0,944.0,808.3333333333334,615.5541801452637,613.3333333333334,520.0,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DThrash,0,0,67108864,64,969,738.7443695068359,736.0,640,1152,752.0,944.0,807.5,615.6203079223633,613.3333333333334,533.3333333333334,960.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8192,64,879,647.8942031860352,640.0,624,816,656.0,672.0,732.5,539.9118359883627,533.3333333333334,520.0,680.0,546.6666666666666,560.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,65536,64,880,647.9405746459961,640.0,624,736,656.0,672.0,733.3333333333334,539.9504788716634,533.3333333333334,520.0,613.3333333333334,546.6666666666666,560.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,262144,64,880,648.3621292114258,640.0,624,992,656.0,768.0,733.3333333333334,540.3017743428549,533.3333333333334,520.0,826.6666666666666,546.6666666666666,640.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,524288,64,881,648.3843536376953,640.0,624,1008,656.0,768.0,734.1666666666666,540.3202946980795,533.3333333333334,520.0,840.0,546.6666666666666,640.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1048576,64,881,648.9631500244141,640.0,624,1008,656.0,768.0,734.1666666666666,540.8026250203451,533.3333333333334,520.0,840.0,546.6666666666666,640.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,1572864.0,64,891,659.4730834960938,656.0,624,1072,736.0,880.0,742.5,549.5609029134115,546.6666666666666,520.0,893.3333333333334,613.3333333333334,733.3333333333334,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,2097152,64,903,671.5760040283203,656.0,624,1040,736.0,912.0,752.5,559.6466700236002,546.6666666666666,520.0,866.6666666666666,613.3333333333334,760.0,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,4194304,64,938,705.9664688110352,736.0,624,1056,752.0,944.0,781.6666666666666,588.3053906758627,613.3333333333334,520.0,880.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,8388608,64,955,723.432731628418,736.0,624,1088,752.0,944.0,795.8333333333334,602.8606096903483,613.3333333333334,520.0,906.6666666666666,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,16777216,64,964,732.0416412353516,736.0,624,1120,752.0,944.0,803.3333333333334,610.0347010294596,613.3333333333334,520.0,933.3333333333334,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,33554432,64,968,736.4468765258789,736.0,624,1104,752.0,944.0,806.6666666666666,613.7057304382324,613.3333333333334,520.0,920.0,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,DWarm,0,0,67108864,64,971,738.5521469116211,736.0,640,1120,752.0,944.0,809.1666666666666,615.460122426351,613.3333333333334,533.3333333333334,933.3333333333334,626.6666666666666,786.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,8192,64,903,672.5883712768555,672.0,640,816,688.0,704.0,752.5,560.4903093973795,560.0,533.3333333333334,680.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,65536,64,904,672.6761245727539,672.0,640,768,688.0,704.0,753.3333333333334,560.5634371439616,560.0,533.3333333333334,640.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,262144,64,903,672.3553848266602,672.0,640,768,688.0,704.0,752.5,560.2961540222168,560.0,533.3333333333334,640.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,524288,64,903,672.2851181030273,672.0,640,752,688.0,704.0,752.5,560.2375984191895,560.0,533.3333333333334,626.6666666666666,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,1048576,64,904,672.3696746826172,672.0,624,768,688.0,704.0,753.3333333333334,560.3080622355143,560.0,520.0,640.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,1572864.0,64,904,673.8105010986328,672.0,624,768,688.0,704.0,753.3333333333334,561.5087509155273,560.0,520.0,640.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,2097152,64,905,673.8043060302734,672.0,624,768,688.0,704.0,754.1666666666666,561.5035883585612,560.0,520.0,640.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,4194304,64,904,673.7898101806641,672.0,624,752,688.0,704.0,753.3333333333334,561.4915084838867,560.0,520.0,626.6666666666666,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,8388608,64,903,672.3073425292969,672.0,640,1008,688.0,704.0,752.5,560.2561187744141,560.0,533.3333333333334,840.0,573.3333333333334,586.6666666666666,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,16777216,64,912,679.9289169311523,672.0,624,1056,736.0,864.0,760.0,566.6074307759603,560.0,520.0,880.0,613.3333333333334,720.0,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,33554432,64,942,710.3447875976562,736.0,640,1104,752.0,928.0,785.0,591.9539896647135,613.3333333333334,533.3333333333334,920.0,626.6666666666666,773.3333333333334,0,2097152
LAT_DMA_RD,Rand,HWarm,0,0,67108864,64,957,725.3194351196289,736.0,640,1168,752.0,944.0,797.5,604.4328625996908,613.3333333333334,533.3333333333334,973.3333333333334,626.6666666666666,786.6666666666666,0,2097152
