#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD Rand    Cold  0  0  8192   64    972.0  740.7   736   720  1104   752   992      810.0   617.3     613     600     920     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 65536   64    973.0  741.0   736   720  1104   752   960      810.8   617.5     613     600     920     626       800            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 262144   64    973.0  741.1   736   704  1168   752   992      810.8   617.6     613     586     973     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 524288   64    972.0  740.8   736   704  1104   752   960      810.0   617.3     613     586     920     626       800            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1048576   64    972.0  740.8   736   704  1104   752   944      810.0   617.3     613     586     920     626       786            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 1572864.0   64    973.0  740.8   736   720  1104   752   992      810.8   617.3     613     600     920     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 2097152   64    973.0  741.0   736   704  1104   752   976      810.8   617.5     613     586     920     626       813            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 4194304   64    973.0  740.7   736   720  1104   752   992      810.8   617.3     613     600     920     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 8388608   64    973.0  740.7   736   720  1104   752   992      810.8   617.3     613     600     920     626       826            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 16777216   64    973.0  740.9   736   720  1120   752   944      810.8   617.4     613     600     933     626       786            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 33554432   64    972.0  740.9   736   720  1104   752   944      810.0   617.4     613     600     920     626       786            0    2097152
  LAT_DMA_RD Rand    Cold  0  0 67108864   64    973.0  741.0   736   720  1152   752   992      810.8   617.5     613     600     960     626       826            0    2097152


  LAT_DMA_RD Rand DThrash  0  0  8192   64    971.0  739.1   736   624  1104   752   992      809.2   615.9     613     520     920     626       826            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 65536   64    971.0  738.8   736   640  1120   752   960      809.2   615.7     613     533     933     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 262144   64    970.0  738.9   736   640  1104   752   944      808.3   615.7     613     533     920     626       786            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 524288   64    970.0  738.5   736   640  1136   752   944      808.3   615.4     613     533     946     626       786            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 1048576   64    970.0  738.4   736   624  1120   752   960      808.3   615.4     613     520     933     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 1572864.0   64    970.0  738.5   736   624  1104   752   960      808.3   615.4     613     520     920     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 2097152   64    970.0  738.7   736   624  1120   752   960      808.3   615.6     613     520     933     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 4194304   64    971.0  738.8   736   640  1120   752   944      809.2   615.6     613     533     933     626       786            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 8388608   64    971.0  738.8   736   640  1104   752   960      809.2   615.7     613     533     920     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 16777216   64    970.0  738.6   736   640  1152   752   960      808.3   615.5     613     533     960     626       800            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 33554432   64    970.0  738.7   736   624  1104   752   944      808.3   615.6     613     520     920     626       786            0    2097152
  LAT_DMA_RD Rand DThrash  0  0 67108864   64    969.0  738.7   736   640  1152   752   944      807.5   615.6     613     533     960     626       786            0    2097152


  LAT_DMA_RD Rand   DWarm  0  0  8192   64    879.0  647.9   640   624   816   656   672      732.5   539.9     533     520     680     546       560            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 65536   64    880.0  647.9   640   624   736   656   672      733.3   540.0     533     520     613     546       560            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 262144   64    880.0  648.4   640   624   992   656   768      733.3   540.3     533     520     826     546       640            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 524288   64    881.0  648.4   640   624  1008   656   768      734.2   540.3     533     520     840     546       640            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 1048576   64    881.0  649.0   640   624  1008   656   768      734.2   540.8     533     520     840     546       640            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 1572864.0   64    891.0  659.5   656   624  1072   736   880      742.5   549.6     546     520     893     613       733            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 2097152   64    903.0  671.6   656   624  1040   736   912      752.5   559.6     546     520     866     613       760            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 4194304   64    938.0  706.0   736   624  1056   752   944      781.7   588.3     613     520     880     626       786            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 8388608   64    955.0  723.4   736   624  1088   752   944      795.8   602.9     613     520     906     626       786            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 16777216   64    964.0  732.0   736   624  1120   752   944      803.3   610.0     613     520     933     626       786            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 33554432   64    968.0  736.4   736   624  1104   752   944      806.7   613.7     613     520     920     626       786            0    2097152
  LAT_DMA_RD Rand   DWarm  0  0 67108864   64    971.0  738.6   736   640  1120   752   944      809.2   615.5     613     533     933     626       786            0    2097152


  LAT_DMA_RD Rand   HWarm  0  0  8192   64    903.0  672.6   672   640   816   688   704      752.5   560.5     560     533     680     573       586            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 65536   64    904.0  672.7   672   640   768   688   704      753.3   560.6     560     533     640     573       586            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 262144   64    903.0  672.4   672   640   768   688   704      752.5   560.3     560     533     640     573       586            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 524288   64    903.0  672.3   672   640   752   688   704      752.5   560.2     560     533     626     573       586            0    2097152
  LAT_DMA_RD Rand   HWarm  0  0 1048576   64    904.0  672.4   672   624   768   688   704      753.3   560.3     560     520     640     573       586            0    2097152
