Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_RD,Seq,HWarm,0,0,4096,4,873,640.4077301025391,640.0,624,2512,656.0,848.0,727.5,533.6731084187826,533.3333333333334,520.0,2093.3333333333335,546.6666666666666,706.6666666666666,3,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,8,872,640.6476669311523,640.0,624,2592,656.0,848.0,726.6666666666666,533.8730557759603,533.3333333333334,520.0,2160.0,546.6666666666666,706.6666666666666,2,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,16,875,644.0967788696289,640.0,624,2496,656.0,848.0,729.1666666666666,536.7473157246908,533.3333333333334,520.0,2080.0,546.6666666666666,706.6666666666666,1,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,24,879,647.9479370117188,640.0,624,2624,656.0,880.0,732.5,539.9566141764323,533.3333333333334,520.0,2186.6666666666665,546.6666666666666,733.3333333333334,2,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,32,883,651.5179138183594,656.0,624,2592,656.0,864.0,735.8333333333334,542.9315948486328,546.6666666666666,520.0,2160.0,546.6666666666666,720.0,2,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,48,889,658.799072265625,656.0,640,2576,672.0,912.0,740.8333333333334,548.9992268880209,546.6666666666666,533.3333333333334,2146.6666666666665,560.0,760.0,2,2097152
LAT_CMD_RD,Seq,HWarm,0,0,4096,64,891,660.4142913818359,656.0,640,2544,672.0,880.0,742.5,550.3452428181967,546.6666666666666,533.3333333333334,2120.0,560.0,733.3333333333334,1,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,4,895,642.9133529663086,640.0,624,2656,656.0,672.0,745.8333333333334,535.7611274719238,533.3333333333334,520.0,2213.3333333333335,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,900,643.0117721557617,640.0,624,2656,656.0,672.0,750.0,535.8431434631348,533.3333333333334,520.0,2213.3333333333335,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,16,915,649.3324279785156,656.0,624,2672,656.0,672.0,762.5,541.1103566487631,546.6666666666666,520.0,2226.6666666666665,546.6666666666666,560.0,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,24,932,655.3086395263672,656.0,640,2672,672.0,688.0,776.6666666666666,546.0905329386393,546.6666666666666,533.3333333333334,2226.6666666666665,560.0,573.3333333333334,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,32,947,661.2927703857422,656.0,640,2768,672.0,688.0,789.1666666666666,551.0773086547852,546.6666666666666,533.3333333333334,2306.6666666666665,560.0,573.3333333333334,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,48,983,675.8321914672852,672.0,656,2768,688.0,704.0,819.1666666666666,563.1934928894043,560.0,546.6666666666666,2306.6666666666665,573.3333333333334,586.6666666666666,2,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,64,992,665.2528533935547,672.0,640,2784,672.0,688.0,826.6666666666666,554.3773778279623,560.0,533.3333333333334,2320.0,560.0,573.3333333333334,1,2097152
