#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_CMD_RD Rand    Cold  0  0  1024   64    895.0  663.7   656   640  2528   672   864      745.8   553.1     546     533    2106     560       720            1    2097152
  LAT_CMD_RD Rand    Cold  0  0  4096   64    895.0  663.8   656   640  2512   672   864      745.8   553.1     546     533    2093     560       720            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 16384   64    895.0  663.7   656   640  2592   672   864      745.8   553.1     546     533    2160     560       720            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 262144   64    894.0  663.5   656   640  2576   672   864      745.0   552.9     546     533    2146     560       720            2    2097152
  LAT_CMD_RD Rand    Cold  0  0 524288   64    901.0  669.6   656   640  2544   672  1040      750.8   558.0     546     533    2120     560       866            1    2097152
  LAT_CMD_RD Rand    Cold  0  0 1048576   64   1078.0  846.8  1008   640  2560  1024  1232      898.3   705.7     840     533    2133     853      1026            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 1572864.0   64   1138.0  906.1  1008   640  2864  1040  1264      948.3   755.1     840     533    2386     866      1053            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 2097152   64   1167.0  935.0  1008   640  2512  1040  1280      972.5   779.2     840     533    2093     866      1066            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 3145728   64   1196.0  964.3  1024   640  2624  1040  1280      996.7   803.6     853     533    2186     866      1066            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 4194304   64   1210.0  979.0  1024   640  2528  1040  1264     1008.3   815.8     853     533    2106     866      1053            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 8388608   64   1313.0 1001.6  1024   640  2512  1040  1280     1094.2   834.7     853     533    2093     866      1066            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 16777216   64   1365.0 1012.7  1024   640  2528  1040  1280     1137.5   843.9     853     533    2106     866      1066            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 33554432   64   1391.0 1018.2  1024   640  2672  1040  1280     1159.2   848.5     853     533    2226     866      1066            0    2097152
  LAT_CMD_RD Rand    Cold  0  0 67108864   64   1403.0 1020.6  1024   640  2608  1040  1280     1169.2   850.5     853     533    2173     866      1066            0    2097152


  LAT_CMD_RD Rand DThrash  0  0  1024   64    898.0  666.3   656   640  2528   672   864      748.3   555.2     546     533    2106     560       720            1    2097152
  LAT_CMD_RD Rand DThrash  0  0  4096   64    893.0  661.7   656   480  2512   672   864      744.2   551.4     546     400    2093     560       720            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 16384   64    897.0  665.2   672   480  2528   672   864      747.5   554.3     560     400    2106     560       720            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 262144   64    894.0  662.9   656   480  2544   672   864      745.0   552.5     546     400    2120     560       720            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 524288   64    902.0  670.2   672   480  2528   672  1040      751.7   558.5     560     400    2106     560       866            1    2097152
  LAT_CMD_RD Rand DThrash  0  0 1048576   64   1079.0  847.1   864   480  2544  1040  1232      899.2   705.9     720     400    2120     866      1026            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 1572864.0   64   1138.0  906.2  1024   480  2704  1040  1280      948.3   755.1     853     400    2253     866      1066            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 2097152   64   1166.0  934.3  1024   480  2544  1040  1264      971.7   778.6     853     400    2120     866      1053            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 3145728   64   1194.0  963.8  1024   480  2864  1040  1280      995.0   803.2     853     400    2386     866      1066            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 4194304   64   1210.0  978.6  1024   480  2720  1040  1280     1008.3   815.5     853     400    2266     866      1066            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 8388608   64   1313.0 1001.2  1024   480  2528  1040  1280     1094.2   834.4     853     400    2106     866      1066            0    2097152
  LAT_CMD_RD Rand DThrash  0  0 16777216   64   1365.0 1012.2  1024   480  2720  1056  1280     1137.5   843.5     853     400    2266     880      1066            0    2097152
