Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_WRRD,Seq,HWarm,0,0,8192,64,1168,937.692626953125,944.0,912,2928,944.0,960.0,973.3333333333334,781.4105224609375,786.6666666666666,760.0,2440.0,786.6666666666666,800.0,1,2097152
LAT_DMA_WRRD,Seq,HWarm,1,0,8192,64,1187,957.1872634887695,960.0,928,2912,960.0,992.0,989.1666666666666,797.656052907308,800.0,773.3333333333334,2426.6666666666665,800.0,826.6666666666666,1,2097152
LAT_DMA_WRRD,Seq,HWarm,2,0,8192,64,1186,957.0928115844727,960.0,928,2976,960.0,992.0,988.3333333333334,797.5773429870605,800.0,773.3333333333334,2480.0,800.0,826.6666666666666,1,2097152
LAT_DMA_WRRD,Seq,HWarm,3,0,8192,64,1187,957.0559005737305,960.0,928,2928,960.0,992.0,989.1666666666666,797.546583811442,800.0,773.3333333333334,2440.0,800.0,826.6666666666666,2,2097152
LAT_DMA_WRRD,Seq,HWarm,4,0,8192,64,1184,954.688835144043,960.0,928,2880,960.0,976.0,986.6666666666666,795.5740292867025,800.0,773.3333333333334,2400.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,6,0,8192,64,1186,957.1916809082031,960.0,944,3008,960.0,992.0,988.3333333333334,797.6597340901693,800.0,786.6666666666666,2506.6666666666665,800.0,826.6666666666666,1,2097152
LAT_DMA_WRRD,Seq,HWarm,8,0,8192,64,1182,952.3182220458984,960.0,928,2880,960.0,976.0,985.0,793.598518371582,800.0,773.3333333333334,2400.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,12,0,8192,64,1182,952.1574478149414,960.0,928,2896,960.0,976.0,985.0,793.4645398457845,800.0,773.3333333333334,2413.3333333333335,800.0,813.3333333333334,1,2097152
LAT_DMA_WRRD,Seq,HWarm,16,0,8192,64,1181,950.941650390625,944.0,928,2880,960.0,976.0,984.1666666666666,792.4513753255209,786.6666666666666,773.3333333333334,2400.0,800.0,813.3333333333334,0,2097152
LAT_DMA_WRRD,Seq,HWarm,20,0,8192,64,1182,952.1667633056641,960.0,928,2896,960.0,976.0,985.0,793.4723027547201,800.0,773.3333333333334,2413.3333333333335,800.0,813.3333333333334,1,2097152
LAT_DMA_WRRD,Seq,HWarm,25,0,8192,64,1182,952.0738525390625,944.0,928,2896,960.0,976.0,985.0,793.3948771158854,786.6666666666666,773.3333333333334,2413.3333333333335,800.0,813.3333333333334,1,2097152
LAT_DMA_WRRD,Seq,HWarm,32,0,8192,64,1177,947.7072296142578,944.0,928,3024,960.0,976.0,980.8333333333334,789.7560246785482,786.6666666666666,773.3333333333334,2520.0,800.0,813.3333333333334,1,2097152
LAT_DMA_WRRD,Seq,HWarm,41,0,8192,64,1188,958.3576431274414,960.0,944,2896,976.0,992.0,990.0,798.6313692728678,800.0,786.6666666666666,2413.3333333333335,813.3333333333334,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,48,0,8192,64,1183,953.464225769043,960.0,928,2880,960.0,992.0,985.8333333333334,794.5535214742025,800.0,773.3333333333334,2400.0,800.0,826.6666666666666,0,2097152
LAT_DMA_WRRD,Seq,HWarm,63,0,8192,64,1191,960.8365859985352,960.0,944,2896,976.0,992.0,992.5,800.6971549987793,800.0,786.6666666666666,2413.3333333333335,813.3333333333334,826.6666666666666,0,2097152
