Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_DMA_RD,Seq,HWarm,0,0,8192,4,1024,793.2285842895508,784.0,768,2704,800.0,1040.0,853.3333333333334,661.0238202412924,653.3333333333334,640.0,2253.3333333333335,666.6666666666666,866.6666666666666,4,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,8,1024,792.8460998535156,784.0,768,2704,800.0,1040.0,853.3333333333334,660.7050832112631,653.3333333333334,640.0,2253.3333333333335,666.6666666666666,866.6666666666666,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,16,1025,795.243278503418,784.0,768,2640,800.0,1040.0,854.1666666666666,662.7027320861816,653.3333333333334,640.0,2200.0,666.6666666666666,866.6666666666666,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,24,1031,799.20166015625,800.0,768,2736,816.0,1040.0,859.1666666666666,666.0013834635416,666.6666666666666,640.0,2280.0,680.0,866.6666666666666,4,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,32,1033,801.3758392333984,800.0,784,2656,816.0,1056.0,860.8333333333334,667.8131993611654,666.6666666666666,653.3333333333334,2213.3333333333335,680.0,880.0,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,48,1043,811.7570953369141,816.0,784,2768,816.0,976.0,869.1666666666666,676.4642461140951,680.0,653.3333333333334,2306.6666666666665,680.0,813.3333333333334,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,64,1041,810.3800430297852,800.0,784,2672,816.0,1008.0,867.5,675.3167025248209,666.6666666666666,653.3333333333334,2226.6666666666665,680.0,840.0,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,128,1071,839.9063415527344,832.0,800,2848,848.0,1040.0,892.5,699.9219512939453,693.3333333333334,666.6666666666666,2373.3333333333335,706.6666666666666,866.6666666666666,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,256,1124,891.0940551757812,880.0,864,2800,896.0,1136.0,936.6666666666666,742.578379313151,733.3333333333334,720.0,2333.3333333333335,746.6666666666666,946.6666666666666,2,2097152
LAT_DMA_RD,Seq,HWarm,0,0,8192,512,1223,991.8444366455078,992.0,960,2880,1008.0,1232.0,1019.1666666666666,826.5370305379232,826.6666666666666,800.0,2400.0,840.0,1026.6666666666667,0,2097152
