#        Test  PAT   Cache HO DO WinSZ   SZ     TAvg    Avg   Med   Min   Max   95% 99.9%   TAvg(ns) Avg(ns) Med(ns) Min(ns) Max(ns) 95%(ns) 99.9%(ns)    #outliers   #samples
  LAT_DMA_RD  Seq   HWarm  0  0  8192  240   1122.0  889.5   880   864  2848   896  1136      935.0   741.2     733     720    2373     746       946            4    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  241   1133.0  899.4   896   864  2896   912  1152      944.2   749.5     746     720    2413     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  242   1133.0  899.5   896   864  2752   912  1152      944.2   749.6     746     720    2293     760       960            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  243   1133.0  899.4   896   864  2768   912  1152      944.2   749.5     746     720    2306     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  244   1133.0  899.6   896   864  2752   912  1152      944.2   749.6     746     720    2293     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  245   1133.0  899.3   896   864  2848   912  1152      944.2   749.4     746     720    2373     760       960            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  246   1133.0  899.6   896   864  2944   912  1152      944.2   749.6     746     720    2453     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  247   1133.0  899.3   896   864  2832   912  1152      944.2   749.4     746     720    2360     760       960            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  248   1126.0  892.8   896   864  2864   896  1152      938.3   744.0     746     720    2386     746       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  249   1133.0  899.5   896   864  2880   912  1152      944.2   749.6     746     720    2400     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  250   1133.0  899.5   896   864  2752   912  1152      944.2   749.6     746     720    2293     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  251   1133.0  899.7   896   864  2752   912  1152      944.2   749.8     746     720    2293     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  252   1133.0  899.6   896   864  2848   912  1152      944.2   749.6     746     720    2373     760       960            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  253   1133.0  899.7   896   864  2736   912  1152      944.2   749.7     746     720    2280     760       960            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  254   1133.0  899.5   896   864  2880   912  1152      944.2   749.6     746     720    2400     760       960            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  255   1133.0  899.9   896   864  2752   912  1152      944.2   749.9     746     720    2293     760       960            2    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  256   1124.0  891.4   880   864  2832   912  1136      936.7   742.9     733     720    2360     760       946            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  257   1156.0  923.1   912   880  2752   960  1168      963.3   769.3     760     733    2293     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  258   1156.0  923.1   912   880  2784   960  1168      963.3   769.2     760     733    2320     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  259   1156.0  923.3   912   880  2752   960  1168      963.3   769.4     760     733    2293     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  260   1156.0  922.9   912   880  2752   960  1168      963.3   769.1     760     733    2293     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  261   1156.0  922.8   912   880  2768   960  1168      963.3   769.0     760     733    2306     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  262   1156.0  922.9   912   880  2896   960  1168      963.3   769.1     760     733    2413     800       973            1    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  263   1156.0  922.8   912   880  2800   960  1168      963.3   769.0     760     733    2333     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  264   1156.0  922.6   912   880  2768   960  1168      963.3   768.8     760     733    2306     800       973            0    2097152
  LAT_DMA_RD  Seq   HWarm  0  0  8192  265   1171.0  941.0   928   896  2784   992  1120      975.8   784.1     773     746    2320     826       933            0    2097152
