Test,PAT,Cache,HO,DO,WinSZ,SZ,Time(cyc),Time,Bytes,Trans,BW (GB/s),Trans/s
BW_DMA_RD,Rand,Cold,0,0,4096,64,155078928,129232440.0,536870912,8388608,33.23443630716869,64911008.412438855
BW_DMA_RD,Rand,Cold,0,0,16384,64,201681408,168067840.0,536870912,8388608,25.554962186697942,49912035.52089442
BW_DMA_RD,Rand,Cold,0,0,262144,64,207048080,172540066.66666666,536870912,8388608,24.89257932360445,48618318.99141494
BW_DMA_RD,Rand,Cold,0,0,524288,64,207607696,173006413.33333334,536870912,8388608,24.825480242312402,48487266.098266415
BW_DMA_RD,Rand,Cold,0,0,1048576,64,207652720,173043933.33333334,536870912,8388608,24.820097493545955,48476752.91708194
BW_DMA_RD,Rand,Cold,0,0,1572864.0,64,206689440,172241200.0,536870912,8388608,24.935772022024928,48702679.73051743
BW_DMA_RD,Rand,Cold,0,0,2097152,64,206383216,171986013.33333334,536870912,8388608,24.97277082454224,48774943.01668406
BW_DMA_RD,Rand,Cold,0,0,3145728,64,206137616,171781346.66666666,536870912,8388608,25.00252430977954,48833055.292538166
BW_DMA_RD,Rand,Cold,0,0,4194304,64,205922848,171602373.33333334,536870912,8388608,25.02860078547476,48883985.909130394
BW_DMA_RD,Rand,Cold,0,0,8388608,64,205483824,171236520.0,536870912,8388608,25.082075342339355,48988428.40300655
BW_DMA_RD,Rand,Cold,0,0,16777216,64,205519728,171266440.0,536870912,8388608,25.07769353996031,48979870.195234984
BW_DMA_RD,Rand,Cold,0,0,33554432,64,205523536,171269613.33333334,536870912,8388608,25.077228893142436,48978962.68191882
BW_DMA_RD,Rand,Cold,0,0,67108864,64,205553472,171294560.0,536870912,8388608,25.073576744060055,48971829.578242294
BW_DMA_RD,Rand,DThrash,0,0,4096,64,218690752,182242293.33333334,536870912,8388608,23.56734662104047,46029973.869219676
BW_DMA_RD,Rand,DThrash,0,0,16384,64,206375504,171979586.66666666,536870912,8388608,24.973704026423604,48776765.6766086
BW_DMA_RD,Rand,DThrash,0,0,262144,64,207551120,172959266.66666666,536870912,8388608,24.83224737693538,48500483.15807691
BW_DMA_RD,Rand,DThrash,0,0,524288,64,207980320,173316933.33333334,536870912,8388608,24.781002140971797,48400394.80658554
BW_DMA_RD,Rand,DThrash,0,0,1048576,64,207954768,173295640.0,536870912,8388608,24.784047053924727,48406341.90219673
BW_DMA_RD,Rand,DThrash,0,0,1572864.0,64,207122576,172602146.66666666,536870912,8388608,24.88362618278753,48600832.3882569
BW_DMA_RD,Rand,DThrash,0,0,2097152,64,206757600,172298000.0,536870912,8388608,24.92755166049519,48686624.33690466
BW_DMA_RD,Rand,DThrash,0,0,3145728,64,206575184,172145986.66666666,536870912,8388608,24.94956390889624,48729617.00956297
BW_DMA_RD,Rand,DThrash,0,0,4194304,64,206307584,171922986.66666666,536870912,8388608,24.981925798714215,48792823.8256137
BW_DMA_RD,Rand,DThrash,0,0,8388608,64,205796304,171496920.0,536870912,8388608,25.04399085417977,48914044.637069866
BW_DMA_RD,Rand,DThrash,0,0,16777216,64,205839792,171533160.0,536870912,8388608,25.038699782595973,48903710.51288276
BW_DMA_RD,Rand,DThrash,0,0,33554432,64,205904336,171586946.66666666,536870912,8388608,25.030851002574323,48888380.86440297
BW_DMA_RD,Rand,DThrash,0,0,67108864,64,205892512,171577093.33333334,536870912,8388608,25.03228847487178,48891188.427483946
BW_DMA_RD,Rand,DWarm,0,0,4096,64,155072080,129226733.33333333,536870912,8388608,33.23590394350808,64913874.889664225
BW_DMA_RD,Rand,DWarm,0,0,16384,64,155054800,129212333.33333333,536870912,8388608,33.23960790120654,64921109.18204404
BW_DMA_RD,Rand,DWarm,0,0,262144,64,155056656,129213880.0,536870912,8388608,33.23921002913929,64920332.08816266
BW_DMA_RD,Rand,DWarm,0,0,524288,64,154988288,129156906.66666667,536870912,8388608,33.25387241647575,64948969.5634292
BW_DMA_RD,Rand,DWarm,0,0,1048576,64,154975536,129146280.0,536870912,8388608,33.25660867661074,64954313.82150535
BW_DMA_RD,Rand,DWarm,0,0,1572864.0,64,190597456,158831213.33333334,536870912,8388608,27.041078424467532,52814606.29778815
BW_DMA_RD,Rand,DWarm,0,0,2097152,64,197429376,164524480.0,536870912,8388608,26.105338828604715,50986989.89961859
BW_DMA_RD,Rand,DWarm,0,0,3145728,64,202343296,168619413.33333334,536870912,8388608,25.471368990648447,49748767.559860244
BW_DMA_RD,Rand,DWarm,0,0,4194304,64,203933296,169944413.33333334,536870912,8388608,25.272777208484875,49360892.98532202
BW_DMA_RD,Rand,DWarm,0,0,8388608,64,205389632,171158026.66666666,536870912,8388608,25.09357802053027,49010894.57134818
BW_DMA_RD,Rand,DWarm,0,0,16777216,64,205825360,171521133.33333334,536870912,8388608,25.040455438532938,48907139.52838464
BW_DMA_RD,Rand,DWarm,0,0,33554432,64,206031856,171693213.33333334,536870912,8388608,25.015358572511232,48858122.211936
BW_DMA_RD,Rand,DWarm,0,0,67108864,64,206061168,171717640.0,536870912,8388608,25.011800162173206,48851172.191744536
BW_DMA_RD,Rand,HWarm,0,0,4096,64,216755104,180629253.33333334,536870912,8388608,23.77780573600703,46441026.828138724
BW_DMA_RD,Rand,HWarm,0,0,16384,64,204600064,170500053.33333334,536870912,8388608,25.190416143760345,49200031.530781925
BW_DMA_RD,Rand,HWarm,0,0,262144,64,205978736,171648946.66666666,536870912,8388608,25.021809800794195,48870722.26717616
BW_DMA_RD,Rand,HWarm,0,0,524288,64,206472688,172060573.33333334,536870912,8388608,24.961949229817744,48753807.08948778
BW_DMA_RD,Rand,HWarm,0,0,1048576,64,206469728,172058106.66666666,536870912,8388608,24.96230709036436,48754506.035867885
BW_DMA_RD,Rand,HWarm,0,0,1572864.0,64,205372608,171143840.0,536870912,8388608,25.095658108407523,49014957.242983446
BW_DMA_RD,Rand,HWarm,0,0,2097152,64,205017216,170847680.0,536870912,8388608,25.139160777600257,49099923.3937505
BW_DMA_RD,Rand,HWarm,0,0,3145728,64,204769312,170641093.33333334,536870912,8388608,25.169595506576687,49159366.22378259
BW_DMA_RD,Rand,HWarm,0,0,4194304,64,204567632,170473026.66666666,536870912,8388608,25.194409813572072,49207831.66713295
